review,rating,date,language,restaurant
היינו אשתי והילדים היתה חוויה מעולה האוכל היה מדהים והשירות היה מעולה. נהיננו מכל רגע שם לגמרי שווה ביקור,50,אוקטובר 2019,CO.IL,La Gastronomica Burgers
"קבלנו המלצה מהמלון, מנות יפות וטעמות להפליא, מחומרים משובחים, בישול ואפיה מדוייק. מנהל שחיי את המקום ומארח מדהים.
שווה כל אגורה!!",50,מאי 2019,CO.IL,La Gastronomica Burgers
"אכלנו מספר מנות. האוקטופוס מעולה, גם הטרטר סלמון וגם הבוראטה. שירות חמוד, מקום טעים עם תמחור הגון, אוירה נעימה",50,נובמבר 2018,CO.IL,La Gastronomica Burgers
מנות מיוחדות.עם הרבה תשומת לב ודיוק.תמחור הוגן מאד.האוקטופוס מומלץ מאד.לזוג פחות נוח כיוון שאין שולחן ל2 והאופציה היא הדלפק בלבד.,50,נובמבר 2018,CO.IL,La Gastronomica Burgers
Tripadvisor הביאה אותנו לכאן וזה אכן היה שווה את זה! תפריט קטן אבל ניסינו כמעט הכל וזה היה ממש טעים!עוד,50,ינואר 2020,CO.IL,La Gastronomica Burgers
אכלנו בלה גסטרונומיקה בשבוע שעבר וחסרנו מזה! בד הפטאטאס היה ללא ספק הטוב ביותר שהיה לנו. הייתה לנו גם מנה פטרייתית מעורבת טעימה. ממליץ בחום על המקום המקסים הזה!,50,נובמבר 2019,CO.IL,La Gastronomica Burgers
דאגו להגיע מוקדם בכדי לקבל מקום. היה פגישה של 15 - 20 איש בשעה הפתיחה שמילאה אוכל פנים. כל מה שהיה לנו היה מעולה לחלוטין. המטבח הפתוח הקטן התנהל בצורה חלקה ויעילה. התמזל מזלנו כדי להשיג מקום בדלפק והם הסבירו כל מנה כשסיימו והגישו אותה....אחת הארוחות הטובות שאכלנו בספרד.עוד,50,נובמבר 2019,CO.IL,La Gastronomica Burgers
"מסעדה מדהימה. תמנון, צדפות צדפות ומדבריות. הכי טוב בעולם. לעולם אל תטעם מטבח כזה. בלתי יאומן.",50,אוקטובר 2019,CO.IL,La Gastronomica Burgers
"מסעדה מקסימה עם צוות מעולה, מסעדה די קטנה עם זאת ידידותית ואווירה. אוכל טוב במחיר סביר ממליץ בשמחה.",50,יולי 2019,CO.IL,La Gastronomica Burgers
"המסעדה הטובה ביותר אי פעם. מומלץ מאוד. כל ארוחה soooo טעים! ! ! במיוחד תמנון, סומון, בשר, ירקות ואחרים ???",50,מאי 2019,CO.IL,La Gastronomica Burgers
