review,rating,date,language,restaurant
Mer,50,februar 2023,NO,Faire Brunch & Drinks
,50,februar 2023,NO,Faire Brunch & Drinks
,50,januar 2023,NO,Faire Brunch & Drinks
Mer,50,januar 2023,NO,Faire Brunch & Drinks
Mer,50,desember 2022,NO,Faire Brunch & Drinks
Mer,50,november 2022,NO,Faire Brunch & Drinks
,50,november 2022,NO,Faire Brunch & Drinks
Mer,50,oktober 2022,NO,"Tino, esto no es una pizzería"
Mer,50,september 2022,NO,"Tino, esto no es una pizzería"
Mer,50,august 2022,NO,"Tino, esto no es una pizzería"
Mer,50,juli 2022,NO,"Tino, esto no es una pizzería"
Mer,50,juni 2022,NO,"Tino, esto no es una pizzería"
Mer,50,mai 2022,NO,"Tino, esto no es una pizzería"
Mer,50,april 2022,NO,"Tino, esto no es una pizzería"
"Veldig god juice, kaffe og frokost. Koselig og renslige lokaler og veldig hyggelige ansatte. Ville absolutt dratt her igjen.",40,juni 2022,NO,Lato Café - Breakfast Brunch y Ceviches
Veldig god mat og bra service! Deilig juice og god omelett med valgfri fyll. Perfekt sted å spise frokost eller lunsj. Anbefales!,50,juni 2022,NO,Lato Café - Breakfast Brunch y Ceviches
"Fantastisk god juice, deilig omelett med fyll etter valg, servert på stykke brød toppet med frisk avocado. Ingenting å utsette på kaffen heller. Litt støy fra veien, da vi hadde bord ute på fortauet.",40,juni 2022,NO,Lato Café - Breakfast Brunch y Ceviches
"Stedet var i nærheten, og de hadde fantastisk mat og god service. Kommer forhåpentligvis snart, ikke mye pizza av god kvalitet i nærheten.",50,mars 2020,NO,Dal Presidente Bar
"For en herlig gruppe mennesker! Mens vi så på menyen utenfor, ble vi raskt møtt av eierens kone som spurte om vi hadde noen spørsmål om maten. Vi hadde flere livlige samtaler med ansatte, som viste seg å være like minneverdige som den autentiske italienske...pinsaen de serverte oss.Mer",50,juli 2019,NO,Dal Presidente Bar
"Eieren er så hyggelig og glad pizzaen er enda bedre, sa han at familien er for Italia og foreslo å prøve pastaen, men velg en annen pizza fordi smaken av den første. Det andre toppet det! Prøv dette stedet",50,juli 2019,NO,Dal Presidente Bar
