review,rating,date,language,restaurant
"Super lekkere koffie, heerlijke pannenkoekjes en shakshuka in een hip interieur. Je voelt je in een woonkamer van de jaren 60-70. Een echte aanrader!
Alles is vegetarisch (en toch lekker 😉)",50,januari 2023,NL,Faire Brunch & Drinks
Leuke gasten met lekker vegetarisch eten. Echt een aanrader!! Ook goede koffie en cocktails trouwens. Je moet ff naar TOM vragen. Die heeft altijd wel een goed verhaal.,50,mei 2022,NL,Faire Brunch & Drinks
Gezellige brunch tent met heerlijk eten en goede 80s muziek! Kan de boozy smoothies en de vegan pancake zeker aanraden!,50,december 2022,NL,Faire Brunch & Drinks
Mijn vriendin en ik kwamen tijdens een weekendje Barcelona langs  Faire en hebben ontzettend lekker gebruncht. Wat een fijne plek met fijne mensen en heerlijk eten waar volle aandacht is voor jou en kwaliteit!,50,december 2022,NL,Faire Brunch & Drinks
"Ook voor niet vegetariërs een aanrader. .. Alles klopt.
Eten, bediening , interieur, 
Het maakt je van je brunch bij Fair een happening.",50,november 2022,NL,Faire Brunch & Drinks
"Beste vegetarische burger die ik ooit heb. Niet te onderscheiden van vlees!! Erg goede bediening, lekkere muziek en leuke inrichting! Must see!",50,september 2022,NL,Faire Brunch & Drinks
"Heerlijk gegeten en erg goede service. Daarnaast is het interieur ook echt geweldig. Kortom, een echte aanrader!",50,september 2022,NL,Faire Brunch & Drinks
"Deze tent vonden we echt top! Hele goede bediening en super lekker eten. Goede sfeer, dus wij komen zeker terug!",50,mei 2022,NL,Faire Brunch & Drinks
"Hele chille sfeer, top bediening en het is eten was ook nog eens erg lekker! Voor de koffie gebruiken ze goede kwaliteit bonen",50,maart 2022,NL,Faire Brunch & Drinks
"Deze gasten weten waar ze mee bezig zijn. Goede kwaliteit eten, leuke sfeer en op en top locatie! Echt een aanrader!",50,mei 2022,NL,Faire Brunch & Drinks
"Heerlijk veganistische keuzes op het menu! Echt bijna alles geprobeerd en alles is lekker. Vergeet de koffie niet, die is ook uitmuntend, wat een fantastische barista! Daarnaast super aardige en lieve bediening, die altijd voor een praatje klaar staan. 5 out of 5 stars, zeker!",50,mei 2022,NL,Faire Brunch & Drinks
"Geweldig! Zoek niet verder! Supergoed eten, bijzondere atmosfeer en supervriendelijke mensen! Wat een plek om te genieten.",50,mei 2022,NL,Faire Brunch & Drinks
Leuk tentje om te zitten. De creamy burrata (to share) was echt super lekker! De volgende keer ga ik hier zeker weer heen.,50,maart 2022,NL,Faire Brunch & Drinks
"Wat een heerlijke lunch heb ik hier gegeten. Prachtige stijl, sfeer en de bediening is erg aardig. Heerlijk om even uit de drukte van Barcelona te onkomen.",50,mei 2022,NL,Faire Brunch & Drinks
"Lekker gegeten en leuke bediening en een verrassende menu kaart, tenminste niet zo,n doorsnee menu en goed verzorgt",40,april 2022,NL,Faire Brunch & Drinks
"Super mooi ingerichte tent. Het eten en de drankjes waren niet alleen heel lekker, maar zagen er ook nog geweldig uit! Personeel was ook heel vriendelijk en behulpzaam.",50,augustus 2021,NL,Faire Brunch & Drinks
