review,rating,date,language,restaurant
"Gikk hit første kvelden vi var i Barcelona og angret ikke ett sekund på det. Her får du servert meget gode burgere. Utebordene var kanskje litt nærme veien men det tenkte vi ikke på etter at vi fikk servert maten vår.
Servitøren snakket godt engelsk...og forklarte gladelig om de forskjellige valgene vi hadde.
Maten vi fikk servert gjorde at vi gikk til eierens andre resturant neste dag.Mer",40,november 2022,NO,La Gastronomica Burgers
"En veldig god burger laget med kjærlighet. Pulled pork langsomt stekt over 9 timer, eller en cheseburger med både cheddar og edamer. Mellom hjemmelaget brød. Burde få alle som liker en god burger til å vurdere å avlegge denne lille koselige restauranten et besøk. Her...tar de ikke imot reservasjoner, så her må man enten være tidlig ute, eller smøre seg med tålmodighet.Mer",50,august 2022,NO,La Gastronomica Burgers
"Knøtt lite lokale, tar ikke bordbestilling , men verdt å vente om det er fullt når du kommer. Kjempegod burger. En kan selv velge ulik saus, poteter eller french fries.

Er du heldig får du bord ute, eller ved langbordet inne, da stolene er vonde....Der vi satt var det også dårlig plass til bena. Men rask servering og god mat veier opp for dårlig sittekomfort, dette er uansett ikke et sted for lange middager.Mer",50,juli 2022,NO,La Gastronomica Burgers
"Flere bord på fortauet uformell barmøbler med middels sittekomfort innendørs.
Vennlig og hjelpsom betjening som anbefalte gode retter og vin.
Fantastisk mat perfekt behandlet og pent presentert",50,juli 2019,NO,La Gastronomica Burgers
"Bare dra hit!!! Intimt og unik sted med fantastiske smaker, alt var helt nydelig. En annerledes tapas som du ikke får på La Rambla. Og koselig å se litt av byen ellers og hvor lokal befolkningen holder til:)",50,juli 2019,NO,La Gastronomica Burgers
"Super mat. Fikk kun servert en og en rett, kunne gjerne fått grønnsakene sammen med kjøttet. Men rettene i sin helhet var kjempe gode:)",40,mai 2019,NO,La Gastronomica Burgers
Utrolig god mat i et lite lokale med sjarm. Kveldens anbefaling fra kokken var Nebraska steak som smakte helt nydelig!,50,januar 2019,NO,La Gastronomica Burgers
"Utrolig god mat, bra atmosfære, og ikke minst en hyggelig servitør. Anbefales på det sterkeste! 😊😊",50,mars 2018,NO,La Gastronomica Burgers
"Jeg er faktisk så heldig å ha oppdaget den andre inkarnasjonen av dette stedet, Restaurante la Gastronomica 2, som ligger i Carrer Calabria. Velg, nøye hentede produkter som ikke kunne blitt tilberedt eller presentert bedre. Legg til et vennlig servitør, og det er ikke så...rart hvorfor de måtte åpne en annenplass.

Jeg bestilte burrata-forrett som ble servert med ruccola og terninger soltørkede tomater. Alt var så friskt som kunne være og presentert på en ikke-tull måte. For mitt viktigste: skjørtbiff tilberedt til perfeksjon, mør og krydret med akkurat nok salt og servert igjen, på en elegant, men ikke pretensiøs måte. Avsluttet med en sjokolade smeltet ørken med bare et snev av ingefær servert med vaniljeis. Jeg likte det så mye, jeg drar tilbake til middag i kveld bare for å prøve noe annet. Bravo!Mer",40,mars 2020,NO,La Gastronomica Burgers
"Tripadvisor fikk oss hit, og det var virkelig verdt det! Liten meny, men vi prøvde nesten alt, og det var virkelig deilig!Mer",50,januar 2020,NO,La Gastronomica Burgers
