,Name,Website,Reviews,Rating
0, Brugarol Barcelona,/Restaurant_Review-g187497-d15673484-Reviews-Brugarol_Barcelona-Barcelona_Catalonia.html,367,5.0
1, Tucco Real Food Eixample,/Restaurant_Review-g187497-d17651083-Reviews-Tucco_Real_Food_Eixample-Barcelona_Catalonia.html,376,5.0
2, LAB Restaurant,/Restaurant_Review-g187497-d14962029-Reviews-LAB_Restaurant-Barcelona_Catalonia.html,296,5.0
3, My Way Lounge Restaurant,/Restaurant_Review-g187497-d1080185-Reviews-My_Way_Lounge_Restaurant-Barcelona_Catalonia.html,2287,4.5
4, Don Kilo Restaurant,/Restaurant_Review-g187497-d15081706-Reviews-Don_Kilo_Restaurant-Barcelona_Catalonia.html,1814,5.0
5, La Carmelina,/Restaurant_Review-g187497-d13927930-Reviews-La_Carmelina-Barcelona_Catalonia.html,929,5.0
6, Sumac & Mambo,/Restaurant_Review-g187497-d21503781-Reviews-Sumac_Mambo-Barcelona_Catalonia.html,545,5.0
7, Eixampeling Brunch Cafe & Bar,/Restaurant_Review-g187497-d12356083-Reviews-Eixampeling_Brunch_Cafe_Bar-Barcelona_Catalonia.html,1103,5.0
8, La Terraza Miro,/Restaurant_Review-g187497-d8675078-Reviews-La_Terraza_Miro-Barcelona_Catalonia.html,1144,4.5
9, Dona Rosa,/Restaurant_Review-g187497-d10285793-Reviews-Dona_Rosa-Barcelona_Catalonia.html,1156,4.5
10, The Venue Steak House,/Restaurant_Review-g187497-d6979673-Reviews-The_Venue_Steak_House-Barcelona_Catalonia.html,590,4.5
11, Almalibre Acai House Barcelona,/Restaurant_Review-g187497-d12697767-Reviews-Almalibre_Acai_House_Barcelona-Barcelona_Catalonia.html,132,5.0
12, Narciso,/Restaurant_Review-g187497-d12702776-Reviews-Narciso-Barcelona_Catalonia.html,337,5.0
13, Senor Pina Secret Garden,/Restaurant_Review-g187497-d18931246-Reviews-Senor_Pina_Secret_Garden-Barcelona_Catalonia.html,161,5.0
14, Bodega Biarritz 1881,/Restaurant_Review-g187497-d3832462-Reviews-Bodega_Biarritz_1881-Barcelona_Catalonia.html,4629,4.5
15, Chaka Khan,/Restaurant_Review-g187497-d12787272-Reviews-Chaka_Khan-Barcelona_Catalonia.html,2303,5.0
16, Xiloka,/Restaurant_Review-g187497-d12354904-Reviews-Xiloka-Barcelona_Catalonia.html,473,5.0
17, Pizzeria Bar Ottantotto,/Restaurant_Review-g187497-d13763198-Reviews-Pizzeria_Bar_Ottantotto-Barcelona_Catalonia.html,296,5.0
18, Miss Simona Cafe Brunch & Tapas,/Restaurant_Review-g187497-d15619851-Reviews-Miss_Simona_Cafe_Brunch_Tapas-Barcelona_Catalonia.html,236,5.0
19, Zed restaurant,/Restaurant_Review-g187497-d12232816-Reviews-Zed_restaurant-Barcelona_Catalonia.html,705,4.5
20, Micu Maku,/Restaurant_Review-g187497-d6216371-Reviews-Micu_Maku-Barcelona_Catalonia.html,2160,4.5
21, La Peninsular,/Restaurant_Review-g187497-d4541296-Reviews-La_Peninsular-Barcelona_Catalonia.html,2991,4.5
22, Restaurante Don Angelo,/Restaurant_Review-g187497-d997633-Reviews-Restaurante_Don_Angelo-Barcelona_Catalonia.html,182,5.0
23, Madre Taberna Moderna,/Restaurant_Review-g187497-d23348829-Reviews-Madre_Taberna_Moderna-Barcelona_Catalonia.html,350,4.5
24, Santa Rita Experience,/Restaurant_Review-g187497-d7057940-Reviews-Santa_Rita_Experience-Barcelona_Catalonia.html,509,5.0
25, Sato I Tanaka,/Restaurant_Review-g187497-d13189781-Reviews-Sato_I_Tanaka-Barcelona_Catalonia.html,145,5.0
26, Casa Cheli,/Restaurant_Review-g187497-d20158536-Reviews-Casa_Cheli-Barcelona_Catalonia.html,220,5.0
27, Cellarer Wine Bar,/Restaurant_Review-g187497-d10456682-Reviews-Cellarer_Wine_Bar-Barcelona_Catalonia.html,327,5.0
28, Hungaryto,/Restaurant_Review-g187497-d3164386-Reviews-Hungaryto-Barcelona_Catalonia.html,429,4.5
