review,rating,date,language,restaurant
Еще,50,февраль 2023 г.,RU,Faire Brunch & Drinks
,50,февраль 2023 г.,RU,Faire Brunch & Drinks
,50,январь 2023 г.,RU,Faire Brunch & Drinks
Еще,50,январь 2023 г.,RU,Faire Brunch & Drinks
Еще,50,декабрь 2022 г.,RU,Faire Brunch & Drinks
Еще,50,ноябрь 2022 г.,RU,Faire Brunch & Drinks
,50,ноябрь 2022 г.,RU,Faire Brunch & Drinks
"Вкусная пицца, хорошие порции. Десерты тоже вкусные. Максимально удобно брать с собой. Сейчас работают только на вынос, но готовят быстро. Пиццы ""You are beautiful""  и ""Tаrantino"" топ. За свои деньги 10/10.",50,февраль 2022 г.,RU,"Tino, esto no es una pizzería"
"Я пошел с друзьями, и мне понравилось это место. Идея тропического / андского бранча - гениальна! Наш лучший выбор: бенедикты (вафли из юкки, бекон и яйца-пашот!) И французские тосты (они идут с соусом из тамаринда?). Соки были очень хорошими, а специальный кофе супер вкусным и...очень хорошо представлен (у меня на капучино лама?). Персонал был приятным. Совершенно особенный сюрприз в Барселоне!Еще",50,октябрь 2020 г.,RU,Lato Café - Breakfast Brunch y Ceviches
"Мне очень понравилось это место.
Украшение, обслуживание, разнообразие блюд - все было на высоте.
Соотношение цена / качество, все ингредиенты свежие, и мне очень понравилась еда.
Владелец супер хороший
Очень понравилось и обязательно вернусь.
PS
У них есть красивая терраса на улице, поэтому, если вы...собираетесь пойти со своей собакой, не стесняйтесь: -)Еще",50,октябрь 2020 г.,RU,Lato Café - Breakfast Brunch y Ceviches
"Очень красивое место, и персонал очень дружелюбный. «Блины cl sicos» очень вкусные! Вам нужно их попробовать. Также здесь представлен широкий выбор блюд без глютена и лактозы. Пятница и суббота - вечер севиче и коктейлей. Писко сауэр был так хорош. Очень хороший ресторан, который обязательно нужно...посетить!Еще",50,сентябрь 2020 г.,RU,Lato Café - Breakfast Brunch y Ceviches
"Очень хорошее и красивое место. Дружелюбный персонал. Еда просто восхитительная. Отличное место для того, чтоб вкусно покушать и хорошо отдохнуть.",50,февраль 2022 г.,RU,Cremat Lounge
"Безумно вкусная пицца, громкий текно и очень милый официант Алессандро. Мне очень понравилось! Место маленькое, но уютное. Хорошое вино. Обязательно попробуйте пиццу со свежей бурратой.",50,февраль 2022 г.,RU,Dal Presidente Bar
"Придется попробовать фирменную пиццу из дома.
Это 14 евро. Но это хуже всего. И очень теплый внимательный и гостеприимный персонал. По ощущениям ты в Италии",50,сентябрь 2020 г.,RU,Dal Presidente Bar
