,Name,Cuisine_Type,Rating,Review_Count
0,Bella Venezia,['Italian'],5.0,102
1,La Gastronomica Burgers,['Street Food'],5.0,1694
2,BelleBuon,"['Italian', 'Neapolitan']",5.0,3430
3,Desoriente,"['Asian', 'Japanese Fusion']",5.0,302
4,Vrutal,"['Bar', 'Healthy']",5.0,1036
5,Le Romane,"['Italian', 'Pizza']",5.0,3679
6,Fan Dim Sum,"['Chinese', 'Asian']",4.5,51
7,Xera Restaurant,"['Spanish', 'Catalan']",5.0,140
8,La Patsa Lab,"['Italian', 'Mediterranean']",5.0,2806
9,La Gastronomica Platillos,"['Mediterranean', 'Spanish']",5.0,626
10,Bodega Biarritz 1881 Tapas bar,"['Mediterranean', 'Spanish']",5.0,6473
11,Zenith Brunch & Cocktails,"['Cafe', 'International']",5.0,1709
12,YUBI Barcelona,"['French', 'Japanese']",4.0,15
13,Blu Bar,"['Bar', 'Mediterranean']",5.0,1552
14,La Parrillada,['Grill'],5.0,276
15,Bella Italia,"['Italian', 'Pizza']",5.0,1659
16,9 Nine,"['Steakhouse', 'International']",4.5,1822
17,"We love italy, Pasta & Pizza, Restaurante Barcelona","['Italian', 'Pizza']",5.0,344
18,Bivac,"['Italian', 'Mediterranean']",5.0,3
19,Faire Brunch & Drinks,['International'],5.0,148
20,"Tino, esto no es una pizzeria","['Italian', 'Pizza']",5.0,224
21,Kiltro Restobar,"['Mexican', 'Latin']",5.0,271
22,Lato Cafe - Breakfast Brunch y Ceviches,"['Latin', 'South American']",5.0,200
23,Cremat Lounge,"['American', 'International']",5.0,106
24,makis,"['Sushi', 'Asian']",4.5,78
25,Dal Presidente Bar,"['Italian', 'Pizza']",5.0,209
26,Paisano Bistro,"['Italian', 'Cafe']",5.0,999
27,Locavore Barcelona,"['Spanish', 'Contemporary']",5.0,184
28,Con Gracia,"['Mediterranean', 'Spanish']",4.5,2287
29,Jara Sushi Degustacion,"['Japanese', 'Sushi']",5.0,376
30,Casa Bangla,"['Indian', 'Bangladeshi']",4.5,5
31,Bodega Oliva,['Catalan'],5.0,75
32,Don Asador,"['Steakhouse', 'Grill']",5.0,679
33,Babula Bar 1937,"['Mediterranean', 'European']",5.0,1577
34,Off-Street,"['Italian', 'Pizza']",5.0,203
35,Don Kilo Gourmet,"['Pizza', 'Southern-Italian']",5.0,456
36,Sushi Yoi,"['Japanese', 'Sushi']",5.0,1
37,Casa Bangla,"['Indian', 'Bangladeshi']",4.5,5
38,Prado de Flores,"['Mediterranean', 'Spanish']",4.5,1078
39,Diegos Bar Restaurant,"['Mediterranean', 'Spanish']",5.0,272
40,RAO Restaurant,"['Spanish', 'Mediterranean']",5.0,1842
41,La Terraza De Anna By Vida Mona,"['Mediterranean', 'Spanish']",5.0,102
42,Swagatam Bar-Restaurant Hindu,"['Indian', 'Asian']",4.5,1089
43,Bella Venezia,['Italian'],5.0,102
44,Cremat 11,"['European', 'International']",5.0,572
45,Anema E Core,"['Italian', 'Pizza']",5.0,95
46,La Cala Barceloneta,"['Cafe', 'Mediterranean']",5.0,219
47,Wine Mood,"['Italian', 'Mediterranean']",5.0,510
48,Taps,"['Mediterranean', 'European']",4.5,1254
49,Bivac,"['Italian', 'Mediterranean']",5.0,3
50,Viana,"['International', 'Mediterranean']",5.0,4954
51,Billy Brunch & Garden,"['French', 'American']",5.0,342
52,b Restaurant,"['American', 'Contemporary']",5.0,150
53,Bar Xapako,"['Bar', 'Mediterranean']",5.0,1012
54,Anita Flow,"['International', 'Mediterranean']",5.0,2064
55,YUBI Barcelona,"['French', 'Japanese']",4.0,15
56,Casa Amalia 1950,"['Mediterranean', 'Spanish']",5.0,1241
57,Kimchi Mama,"['Asian', 'Korean']",5.0,171
58,Billy Brunch,"['Cafe', 'European']",5.0,1100
59,Brunch & Bakery,"['American', 'Cafe']",5.0,210
60,Jobs Restaurant,"['Mediterranean', 'European']",5.0,287
61,makis,"['Sushi', 'Asian']",4.5,78
62,Andele Paris,"['Mexican', 'Latin']",5.0,846
63,La Tartareria . Raw food .,"['Mediterranean', 'Healthy']",5.0,215
64,Indian Herbs,"['Indian', 'Healthy']",5.0,157
65,My Way Lounge Restaurant,"['International', 'Spanish']",4.5,2283
66,LAB Restaurant,"['Mediterranean', 'European']",5.0,295
67,Sushi Yoi,"['Japanese', 'Sushi']",5.0,1
68,Boraz,"['Mediterranean', 'European']",5.0,121
69,Olivos Comida y Vinos,"['Mediterranean', 'European']",5.0,233
70,Sumac & Mambo,"['Barbecue', 'Mediterranean']",5.0,542
71,Pizzeria Da Nanni Barcelona,"['Italian', 'Pizza']",5.0,2096
72,Don Kilo Restaurant,"['Italian', 'Pizza']",5.0,1810
73,Restaurant Junca,"['Bar', 'Grill']",5.0,7
74,Malaysian Street Delights,"['Chinese', 'Asian']",5.0,22
75,La Terraza Miro,"['Mediterranean', 'European']",4.5,1141
76,Blavis,"['Mediterranean', 'European']",5.0,892
77,Brugarol Barcelona,"['Catalan', 'International']",5.0,367
78,The Venue Steak House,"['Steakhouse', 'European']",4.5,587
79,La Carmelina,"['Bar', 'Mediterranean']",5.0,929
80,La Cervesera Artesana,"['Bar', 'Pub']",4.0,189
81,Tucco Real Food Eixample,"['Mediterranean', 'Italian']",5.0,372
82,Aula Restaurant,"['Mediterranean', 'European']",5.0,188
83,Eixampeling Brunch Cafe & Bar,"['Cafe', 'Healthy']",5.0,1103
84,Dona Rosa,"['Bar', 'Mediterranean']",4.5,1146
85,Senor Pina Secret Garden,"['Healthy', 'Hawaiian']",5.0,160
86,Bella Venezia,['Italian'],5.0,102
87,Gusto,"['Italian', 'Pizza']",4.5,1953
