level_0,index,Restaurant,Review original,Language,Translated Review,Compound,Rating,Date,Cuisine,Total Rating
8986,9193,"Tino, esto no es una pizzería","طعام ممتاز ، مفهوم أصلي للغاية! أنصح بشدة. لقد جربت ثلاثة أنواع مختلفة من ""التينو"" وكانوا جميعًا أفضل من بعضهم البعض. الحلوى كانت ممتازة جدا!",Arabic,"Excellent food, a very original concept!I advise strongly.I tried three different types of ""tino"" and they were all better than each other.The dessert was very excellent!",0.9296,50,July 2022,"['Italian', 'Pizza']",5.0
8987,9194,Lato Café - Breakfast Brunch y Ceviches,المزيد,Arabic,More,0.0,50,February 2023,"['Latin', 'South American']",5.0
8988,9195,Lato Café - Breakfast Brunch y Ceviches,,Arabic,Into,0.0,50,November 2022,"['Latin', 'South American']",5.0
8989,9196,Lato Café - Breakfast Brunch y Ceviches,المزيد,Arabic,More,0.0,50,November 2022,"['Latin', 'South American']",5.0
8990,9197,Lato Café - Breakfast Brunch y Ceviches,المزيد,Arabic,More,0.0,50,October 2022,"['Latin', 'South American']",5.0
8991,9198,Lato Café - Breakfast Brunch y Ceviches,,Arabic,Into,0.0,50,October 2022,"['Latin', 'South American']",5.0
8992,9199,Lato Café - Breakfast Brunch y Ceviches,المزيد,Arabic,More,0.0,50,September 2022,"['Latin', 'South American']",5.0
8993,9200,Lato Café - Breakfast Brunch y Ceviches,,Arabic,Into,0.0,50,September 2022,"['Latin', 'South American']",5.0
8994,9201,Lato Café - Breakfast Brunch y Ceviches,المزيد,Arabic,More,0.0,50,August 2022,"['Latin', 'South American']",5.0
8995,9202,Cremat Lounge,,Arabic,Into,0.0,50,February 2023,"['American', 'International']",5.0
8996,9203,Cremat Lounge,المزيد,Arabic,More,0.0,50,,"['American', 'International']",5.0
8997,9204,Cremat Lounge,المزيد,Arabic,More,0.0,50,December 2022,"['American', 'International']",5.0
8998,9205,Cremat Lounge,المزيد,Arabic,More,0.0,50,July 2022,"['American', 'International']",5.0
8999,9206,Dal Presidente Bar,المكان قريب وكان لديهم طعام رائع وخدمة رائعة. سوف يعود قريبا ونأمل ، وليس هناك الكثير من البيتزا ذات النوعية الجيدة في مكان قريب.,Arabic,"The place was close and they had great food and great service.It will return soon and hope, and there is not a lot of good quality pizza nearby.",0.8656,50,March 2020,"['Italian', 'Pizza']",5.0
9000,9207,Dal Presidente Bar,يا لها من مجموعة جميلة من الناس! أثناء النظر إلى القائمة في الخارج ، تم الترحيب بنا على الفور من قبل زوجة المالك الذي سألنا عما إذا كان لدينا أي أسئلة حول الطعام. كان لدينا العديد من المحادثات الحيوية مع الموظفين ، الذين أثبتوا أنهم...لا ينسى مثل دبابيس الإيطالية الأصيلة التي خدمونا.المزيد,Arabic,"What a beautiful group of people!While looking at the list abroad, we were immediately welcomed by the owner's wife who asked if we had any questions about the food.We had many vital conversations with the employees, who proved that they ... unforgettable like the authentic Italian pins that served us. More",0.8832,50,July 2019,"['Italian', 'Pizza']",5.0
