level_0,index,Restaurant,Review original,Language,Translated Review,Compound,Rating,Date,Cuisine,Total Rating
2285,2332,La Gastronomica Burgers,Φανταστικό burger!!! Είναι σίγουρα το καλύτερο της Βαρκελωνης. Ο Σερβιτόρος πολύ εξυπηρετικός μας εξήγησε με κάθε λεπτομέρεια τα πάντα!,Greek,Fantastic Burger !!!It is definitely the best of Barcelon.The waiter very helpful explained everything in every detail!,0.9409,50,January 2023,['Street Food'],5.0
2286,2333,La Gastronomica Burgers,Πολύ καλό και ποιοτικό. Άριστη και γρήγορη εξυπηρέτηση. Τιμές προσιτές. Κοζι περιβάλλον. Αξίζει η επίσκεψη έστω και για την δοκιμή.,Greek,Very good and quality.Excellent and quick service.Affordable prices.KOZI environment.It is worth a visit even for the test.,0.624,50,May 2022,['Street Food'],5.0
2287,2334,La Gastronomica Burgers,Πολύ νόστιμο burger. Εξαιρετική εξυπηρέτηση. Ο υπάλληλος μας εξήγησε εκτενώς κάθε επιλογή από τα φαγητά καθώς και από τις μπίρες που είχαν.,Greek,Very tasty burger.Excellent service.Our employee explained extensively every choice of the food as well as the beers they had.,0.2732,50,December 2021,['Street Food'],5.0
2288,2335,La Gastronomica Burgers,"Ένα από τα καλύτερα burgerαδικα στην Βαρκελώνη πατατουλες κομμένες στο χέρι, εξαιρετικό κρέας και καλή διάθεση,  ευχαριστούμε Joel",Greek,"One of the best burger in Barcelona Potatoles cut, excellent meat and good mood, thank you Joel",0.9042,50,,['Street Food'],5.0
2289,2336,La Gastronomica Burgers,"Απολύτως εκπληκτικό! Η υπηρεσία ήταν φανταστική και το φαγητό ήταν εξαιρετικό! Αυτό το εστιατόριο, πρέπει να έχει όταν στη Βαρκελώνη. Το επιδόρπιο είναι επίσης πολύ καλό!

Stephano, ήταν εξαιρετικά εξυπηρετικό και πολύ γλυκό, θα τον αγαπήσετε! ! ! ;

Οι εικόνες λένε όλα! ! !Περισσότερα",Greek,"Absolutely amazing!The service was fantastic and the food was great!This restaurant must have when in Barcelona.The dessert is also very good!

Stephano, it was extremely helpful and very sweet, you will love him!!!;

The pictures say everything!!! More",0.9615,50,February 2020,['Street Food'],5.0
2290,2337,La Gastronomica Burgers,"Πραγματικά εξαιρετικό φαγητό, φιλική εξυπηρέτηση και καθόλου ακριβό! Το εστιατόριο δεν είναι πολύ μεγάλο, γι 'αυτό θα πρότεινα να έρθει νωρίτερα.Περισσότερα",Greek,"Really great food, friendly service and no expensive!The restaurant is not too big, so I would suggest coming earlier.",0.7875,50,February 2020,['Street Food'],5.0
2291,2338,La Gastronomica Burgers,"Όχι κακά τρόφιμα μαγειρεμένα με τη μέθοδο sous-vide, αλλά τα πλευρά είχαν πολύ λίπος. Τα μερίδια είναι μικρά (αλλά ο σερβιτόρος το εξήγησε μπροστά).
Η δική μας τιμή / ποιότητα είναι 3 στα 5.Περισσότερα",Greek,"Not bad foods cooked with the sous-video method, but the sides were very fat.The shares are small (but the waiter explained it forward).
Our price / quality is 3 in 5. more",0.6301,30,January 2020,['Street Food'],5.0
2292,2339,La Gastronomica Burgers,"Φανταστικός. Αν ήμουν στην πόλη για λίγο θα ήμουν τακτική. Αισθανθείτε ένοχες φαγητό σε ένα μέρος πολλές φορές σε 4 διανυκτερεύσεις όμως. Φανταστικό φαγητό και περιβάλλον, μου αρέσει η ανοιχτή κουζίνα, ώστε να μπορώ να παρακολουθώ κάθε βήμα της μαγειρικής τους διαδικασίας και να ξεδιψάσω....Και πάλι, όλα έμοιαζαν απίστευτα και όλα όσα έφαγα ήταν απίστευτα. Επίσης εξαιρετικά λογικές τιμές για την ποιότητα των τροφίμων που παίρνετε, αν οι άνθρωποι λένε αλλιώς ότι είναι χρήση για Cracker Barrel. 3 πιάτα και δύο ποτήρια κρασιού για περίπου 44 ευρώ. Θα ήταν περίπου 80 στην μικρή μου πόλη της Νέας Αγγλίας. Καλή εξυπηρέτηση πάρα πολύ, πάντα μεγάλη όταν έχουν τη διασκέδαση να κάνουν τη δουλειά τους!Περισσότερα",Greek,"Fantastic.If I were in the city for a while I would be regular.Feel guilty food in one place many times in 4 nights though.Fantastic food and environment, I like the open kitchen so that I can watch every step of their cooking process and thirst .... again, everything looked incredible and everything I ate was incredible.Also extremely reasonable prices for the quality of the food you get if people say it is use for Barrel Cracker.3 plates and two glasses of wine for about 44 euros.It would be about 80 in my small town of New England.Good service too, always great when they have the fun to do their job! More",0.8122,50,January 2020,['Street Food'],5.0
2293,2340,La Gastronomica Burgers,"Τι υπέροχο γεύμα. Το προσωπικό είναι εξαιρετικό, καταρτισμένο και φιλικό. Το φαγητό είναι μερικά από τα καλύτερα στη Βαρκελώνη.
Δεν νομίζω ότι η La Gastronomica χρειάζεται την αναθεώρησή μου για να την ωθήσω ψηλότερα στον κατάλογο, αλλά ξεχάσαμε να φέρουμε νομίσματα για μια συμβουλή, οπότε...μια καλή ειλικρινής αναθεώρηση ήταν το ελάχιστο που θα μπορούσα να κάνω.Περισσότερα",Greek,"What a wonderful meal.The staff are excellent, trained and friendly.Food is some of the best in Barcelona.
I don't think La Gastronomica needs my review to push it higher on the list, but we forgot to bring coins for a tip, so ... a good honest review was the least I could do.",0.947,50,July 2019,['Street Food'],5.0
2294,2341,La Gastronomica Burgers,"Υπέροχο εστιατόριο με εξαιρετικό προσωπικό, εστιατόριο αρκετά μικρό, ωστόσο φιλικό και ατμοσφαιρικό. Καλό φαγητό σε δίκαιη τιμή θα συνιστούσα ευτυχώς.",Greek,"Wonderful restaurant with great staff, quite small restaurant, but friendly and atmospheric.Good food at a fair price I would recommend happily.",0.9652,50,July 2019,['Street Food'],5.0
