level_0,index,Restaurant,Review original,Language,Translated Review,Compound,Rating,Date,Cuisine,Total Rating
8149,8356,Faire Brunch & Drinks,"מסעדה מצוינת של ארוחת בוקר עם טעמים מוכרים לחיך הישראלי ❤️
המסעדה 100% צמחונית ומציעה אפשרויות טבעוניות רבות 
האוכל מצוין, השירות נהדר והאווירה כיפית 
נ.ב 
הבייקון בתמונה טבעוני!",Hebrew,"A great breakfast restaurant with familiar flavors for the Israeli palate ❤️
The restaurant is 100% vegetarian and offers many vegan options
The food is excellent, the service is great and the fun atmosphere
post Scriptum
The bacon in a vegan image!",0.9476,50,February 2023,['International'],5.0
8150,8357,"Tino, esto no es una pizzería",עוד,Hebrew,More,0.0,50,February 2023,"['Italian', 'Pizza']",5.0
8151,8358,"Tino, esto no es una pizzería",,Hebrew,Into,0.0,50,November 2022,"['Italian', 'Pizza']",5.0
8152,8359,"Tino, esto no es una pizzería",עוד,Hebrew,More,0.0,50,October 2022,"['Italian', 'Pizza']",5.0
8153,8360,"Tino, esto no es una pizzería",עוד,Hebrew,More,0.0,50,November 2022,"['Italian', 'Pizza']",5.0
8154,8361,"Tino, esto no es una pizzería",עוד,Hebrew,More,0.0,50,,"['Italian', 'Pizza']",5.0
8155,8362,"Tino, esto no es una pizzería",עוד,Hebrew,More,0.0,50,August 2022,"['Italian', 'Pizza']",5.0
8156,8363,"Tino, esto no es una pizzería",עוד,Hebrew,More,0.0,50,July 2022,"['Italian', 'Pizza']",5.0
8157,8364,"Tino, esto no es una pizzería",עוד,Hebrew,More,0.0,50,June 2022,"['Italian', 'Pizza']",5.0
8158,8365,"Tino, esto no es una pizzería",עוד,Hebrew,More,0.0,50,,"['Italian', 'Pizza']",5.0
8159,8366,"Tino, esto no es una pizzería",עוד,Hebrew,More,0.0,50,April 2022,"['Italian', 'Pizza']",5.0
8160,8367,Lato Café - Breakfast Brunch y Ceviches,,Hebrew,Into,0.0,50,October 2022,"['Latin', 'South American']",5.0
8161,8368,Lato Café - Breakfast Brunch y Ceviches,,Hebrew,Into,0.0,50,September 2022,"['Latin', 'South American']",5.0
8162,8369,Cremat Lounge,,Hebrew,Into,0.0,50,February 2023,"['American', 'International']",5.0
8163,8370,Cremat Lounge,עוד,Hebrew,More,0.0,50,January 2023,"['American', 'International']",5.0
8164,8371,Cremat Lounge,עוד,Hebrew,More,0.0,50,December 2022,"['American', 'International']",5.0
8165,8372,Dal Presidente Bar,אחלה פיצה שירות נהדר אנשים מצחיקים מאוד נקי מאוד חברותיים ומאוד סבבה  מכינים הכל במקום ואין בעיות עם כלום מגוון מדהים ווסהכ נחמד מומלץ,Hebrew,Ahla Pizza great service is very funny people and very sociable and very round prepare everything in place and there are no problems with nothing amazing and nice diced recommended,0.4556,50,November 2021,"['Italian', 'Pizza']",5.0
8166,8373,Dal Presidente Bar,"המקום היה בקרבת מקום והיו להם אוכל פנטסטי ושירות נהדר. יחזור בתקווה בקרוב, לא הרבה פיצה באיכות טובה בקרבת מקום.",Hebrew,"The place was nearby and had a fantastic food and great service.Will come back hopefully soon, not much good quality pizza nearby.",0.8399,50,March 2020,"['Italian', 'Pizza']",5.0
8167,8374,Dal Presidente Bar,"איזו קבוצת אנשים מקסימה! תוך כדי התבוננות בתפריט שבחוץ, בירכה מייד אשתו של הבעלים ששאלה אם יש לנו שאלות לגבי האוכל. קיימנו כמה שיחות מלאות חיים עם הצוות, שהוכחו כבלתי נשכח כמו הפינסה האיטלקית האותנטית שהגישו לנו.",Hebrew,"What a lovely group of people!While looking at the outside menu, the owner's wife immediately welcomed whether we had any questions about the food.We have held some live conversations with the team, which have been proven to be as memorable as the authentic Italian Pinsen who submitted to us.",0.7574,50,July 2019,"['Italian', 'Pizza']",5.0
