level_0,index,Restaurant,Review original,Language,Translated Review,Compound,Rating,Date,Cuisine,Total Rating
7615,7822,Faire Brunch & Drinks,,Korean,Into,0.0,50,February 2023,['International'],5.0
7616,7823,Faire Brunch & Drinks,,Korean,Into,0.0,50,January 2023,['International'],5.0
7617,7824,Faire Brunch & Drinks,더 보기,Korean,see more,0.0,50,,['International'],5.0
7618,7825,Faire Brunch & Drinks,더 보기,Korean,see more,0.0,50,December 2022,['International'],5.0
7619,7826,Faire Brunch & Drinks,,Korean,Into,0.0,50,November 2022,['International'],5.0
7620,7827,"Tino, esto no es una pizzería",더 보기,Korean,see more,0.0,50,October 2022,"['Italian', 'Pizza']",5.0
7621,7828,"Tino, esto no es una pizzería",더 보기,Korean,see more,0.0,50,,"['Italian', 'Pizza']",5.0
7622,7829,"Tino, esto no es una pizzería",더 보기,Korean,see more,0.0,50,August 2022,"['Italian', 'Pizza']",5.0
7623,7830,"Tino, esto no es una pizzería",더 보기,Korean,see more,0.0,50,July 2022,"['Italian', 'Pizza']",5.0
7624,7831,"Tino, esto no es una pizzería",더 보기,Korean,see more,0.0,50,June 2022,"['Italian', 'Pizza']",5.0
7625,7832,"Tino, esto no es una pizzería",더 보기,Korean,see more,0.0,50,May 2022,"['Italian', 'Pizza']",5.0
7626,7833,"Tino, esto no es una pizzería",더 보기,Korean,see more,0.0,50,April 2022,"['Italian', 'Pizza']",5.0
7627,7834,Lato Café - Breakfast Brunch y Ceviches,,Korean,Into,0.0,50,October 2022,"['Latin', 'South American']",5.0
7628,7835,Lato Café - Breakfast Brunch y Ceviches,,Korean,Into,0.0,50,September 2022,"['Latin', 'South American']",5.0
7629,7836,Dal Presidente Bar,"이 얼마나 멋진 그룹! 밖에있는 메뉴를보고있는 동안, 우리는 음식에 대해 질문이 있는지 물어 본 주인의 아내가 신속하게 인사했습니다. 우리는 그들이 정성을 기울인 이탈리아 피나만큼 기억에 남는 것으로 입증 된 직원들과 활발한 대화를 나누었습니다.",Korean,"How wonderful the group!While watching the menu outside, we quickly greeted the owner's wife who asked if there was a question about the food.We had a vigorous conversation with employees who were as memorable as Italy, who was devoted to it.",0.8313,50,July 2019,"['Italian', 'Pizza']",5.0
7630,7837,Dal Presidente Bar,"주인은 피자가 매우 좋고 행복하다라고 말한다 그는 가족이 이탈리아를 위해있다라고 말했고, 파스타를 시험해 보겠다고 말했다. 그러나 첫번째 피자를 선택하기 때문에 다른 피자를 고른다. 두 번째는 그것을 얹었다! 이 곳을 봐라.",Korean,"The owner says the pizza is very good and happy. He said his family was for Italy and said he would try pasta.But because he chooses the first pizza, he chooses another pizza.The second is it!Look at this place.",0.8151,50,July 2019,"['Italian', 'Pizza']",5.0
7631,7838,Dal Presidente Bar,"귀하가받는 서비스는 훌륭하고, 매우 친절하며, 음식과 음료에 열정적입니다.
우리에게는 공유 할 피자가 있었다. 그리고 그것은 믿어지지 않았다. 모두에게 권할 것입니다. 우리는 돌아올 것이다",Korean,"The services you receive are great, very kind, passionate about food and drinks.
We had a pizza to share.And it was incredible.I will recommend it to everyone.We will come back",0.9322,50,July 2019,"['Italian', 'Pizza']",5.0
