level_0,index,Restaurant,Review original,Language,Translated Review,Compound,Rating,Date,Cuisine,Total Rating
10394,10601,La Gastronomica Burgers,"Gikk hit første kvelden vi var i Barcelona og angret ikke ett sekund på det. Her får du servert meget gode burgere. Utebordene var kanskje litt nærme veien men det tenkte vi ikke på etter at vi fikk servert maten vår.
Servitøren snakket godt engelsk...og forklarte gladelig om de forskjellige valgene vi hadde.
Maten vi fikk servert gjorde at vi gikk til eierens andre resturant neste dag.Mer",Norwegian,"Went here the first night we were in Barcelona and did not regret it for one second.Here you will be served very good burgers.The outdoor tables may have been a little close to the road but we did not think about it after we were served our food.
The waiter spoke good English ... and happily explained about the different choices we had.
The food we were served made us go to the owner's second restaurant the next day. MM.",0.9178,40,,['Street Food'],5.0
10395,10602,La Gastronomica Burgers,"En veldig god burger laget med kjærlighet. Pulled pork langsomt stekt over 9 timer, eller en cheseburger med både cheddar og edamer. Mellom hjemmelaget brød. Burde få alle som liker en god burger til å vurdere å avlegge denne lille koselige restauranten et besøk. Her...tar de ikke imot reservasjoner, så her må man enten være tidlig ute, eller smøre seg med tålmodighet.Mer",Norwegian,"A very good burger made with love.Pulled pork slowly fried over 9 hours, or a cheseburger with both cheddar and edamer.Between homemade bread.Should get everyone who likes a good burger to consider taking this little cozy restaurant a visit.Here ... they do not receive reservations, so here you must either be out early, or lubricate with patience. More.",0.8476,50,,['Street Food'],5.0
10396,10603,La Gastronomica Burgers,"Knøtt lite lokale, tar ikke bordbestilling , men verdt å vente om det er fullt når du kommer. Kjempegod burger. En kan selv velge ulik saus, poteter eller french fries.

Er du heldig får du bord ute, eller ved langbordet inne, da stolene er vonde....Der vi satt var det også dårlig plass til bena. Men rask servering og god mat veier opp for dårlig sittekomfort, dette er uansett ikke et sted for lange middager.Mer",Norwegian,"Kind little room, does not take a table order, but worth waiting if it is full when you come.Great burger.You can choose different sauce, potatoes or french fries.

If you are lucky you get a table outside, or at the long table inside, as the chairs are painful .... Where we sat there was also bad room for the legs.But fast serving and good food weigh up for bad seating comfort, this is not a place for long dinners.",0.0,50,July 2022,['Street Food'],5.0
10397,10604,La Gastronomica Burgers,"Flere bord på fortauet uformell barmøbler med middels sittekomfort innendørs.
Vennlig og hjelpsom betjening som anbefalte gode retter og vin.
Fantastisk mat perfekt behandlet og pent presentert",Norwegian,"More tables on the sidewalk Informal mercy furniture with medium sitting comfort indoors.
Friendly and helpful service that recommended good dishes and wine.
Fantastic food perfectly processed and nicely presented",0.9761,50,July 2019,['Street Food'],5.0
10398,10605,La Gastronomica Burgers,"Bare dra hit!!! Intimt og unik sted med fantastiske smaker, alt var helt nydelig. En annerledes tapas som du ikke får på La Rambla. Og koselig å se litt av byen ellers og hvor lokal befolkningen holder til:)",Norwegian,"Just go here !!!Intimate and unique place with wonderful flavors, everything was absolutely beautiful.A different tapas that you do not get on La Rambla.And nice to see some of the city otherwise and where the local population is :)",0.8854,50,,['Street Food'],5.0
10399,10606,La Gastronomica Burgers,"Super mat. Fikk kun servert en og en rett, kunne gjerne fått grønnsakene sammen med kjøttet. Men rettene i sin helhet var kjempe gode:)",Norwegian,"Super food.Only served one and one dishes, could have gotten the vegetables with the meat.But the dishes in their entirety were great :)",0.9001,40,,['Street Food'],5.0
10400,10607,La Gastronomica Burgers,Utrolig god mat i et lite lokale med sjarm. Kveldens anbefaling fra kokken var Nebraska steak som smakte helt nydelig!,Norwegian,Incredibly good food in a small room with charm.Tonight's recommendation from the chef was Nebraska Steak that tasted absolutely beautiful!,0.8261,50,January 2019,['Street Food'],5.0
10401,10608,La Gastronomica Burgers,"Utrolig god mat, bra atmosfære, og ikke minst en hyggelig servitør. Anbefales på det sterkeste! 😊😊",Norwegian,"Incredibly good food, good atmosphere, and not least a nice waitress.Highly recommended!😊😊",0.8255,50,,['Street Food'],5.0
10402,10609,La Gastronomica Burgers,"Jeg er faktisk så heldig å ha oppdaget den andre inkarnasjonen av dette stedet, Restaurante la Gastronomica 2, som ligger i Carrer Calabria. Velg, nøye hentede produkter som ikke kunne blitt tilberedt eller presentert bedre. Legg til et vennlig servitør, og det er ikke så...rart hvorfor de måtte åpne en annenplass.

Jeg bestilte burrata-forrett som ble servert med ruccola og terninger soltørkede tomater. Alt var så friskt som kunne være og presentert på en ikke-tull måte. For mitt viktigste: skjørtbiff tilberedt til perfeksjon, mør og krydret med akkurat nok salt og servert igjen, på en elegant, men ikke pretensiøs måte. Avsluttet med en sjokolade smeltet ørken med bare et snev av ingefær servert med vaniljeis. Jeg likte det så mye, jeg drar tilbake til middag i kveld bare for å prøve noe annet. Bravo!Mer",Norwegian,"I am actually lucky enough to have discovered the second incarnation of this site, Restaurante La Gastronomica 2, located in Carrer Calabria.Choose, carefully retrieved products that could not be prepared or presented better.Add a friendly waitress, and it's not that ... strange why they had to open a second place.

I ordered the burrata appetizer that was served with ruccola and cubes sun-dried tomatoes.Everything was so fresh that could be and presented in a non-fool way.For my most important: skirt steak prepared for perfection, tender and seasoned with just enough salt and served again, in an elegant but not pretentious way.Ended with a chocolate melted desert with just a hint of ginger served with vanilla ice cream.I liked it so much, I go back to dinner tonight just to try something else.Bravo! More",0.9155,40,mars 2020,['Street Food'],5.0
10403,10610,La Gastronomica Burgers,"Tripadvisor fikk oss hit, og det var virkelig verdt det! Liten meny, men vi prøvde nesten alt, og det var virkelig deilig!Mer",Norwegian,"Tripadvisor got us here, and it was really worth it!Small menu but we tried almost everything and it was really delicious! More",0.8257,50,,['Street Food'],5.0
10404,10611,La Gastronomica Burgers,"Ikke dårlig mat tilberedt av sous-vide-metoden, men ribbeina hadde for mye fett. Delene er små (men servitør forklarte det foran).
Vår pris / kvalitet er 3 av 5.Mer",Norwegian,"Not bad food prepared by the sous-video method, but the ribs had too much fat.The parts are small (but the waiter explained it in front).
Our price / quality is 3 of 5.Mer",0.1511,30,,['Street Food'],5.0
10405,10612,La Gastronomica Burgers,"Bery fint sted for middag, ganske lite, men med deilig mat. Svineribbe er som en drøm i tallerkenen din. Blekkspruten er også fantastisk. Du må sannsynligvis bestille et bord på forhånd siden stedet bare har få bord.",Norwegian,"Bery nice place for dinner, pretty little, but with delicious food.Pork ribs are like a dream in your plate.The squid is also fantastic.You probably have to book a table in advance since the place has only a few tables.",0.9247,50,,['Street Food'],5.0
10406,10613,La Gastronomica Burgers,"Vi fant denne restauranten via Trip Advisor for et sted å spise etter å ha sett Magic Fountain. Det var 6 av oss, og det var travelt, men den vennlige og imøtekommende servitøren sa at vi kunne ha et bord klart på 45 minutter. Maten...var fantastisk, tapas å starte, og da hadde jeg svineribbe som var så øm og servert med en deilig saus. Vennene mine hadde biff som var en spesiell rett for kvelden. Tjenesten var imøtekommende og vennlige. Vil virkelig anbefale å prøve dette fantastiske stedet. Veldig koselig og lite, men det handler om maten! !Mer",Norwegian,"We found this restaurant via Trip Advisor for a place to eat after watching Magic Fountain.It was 6 of us, and it was busy, but the friendly and welcoming waitress said we could have a table ready in 45 minutes.The food ... was fantastic, tapas to start, and then I had pork ribs that were so tender and served with a delicious sauce.My friends had beef that was a special dish for the evening.The service was welcoming and friendly.Would really recommend trying this wonderful place.Very cozy and small, but it's about the food!! More",0.9929,50,november 2019,['Street Food'],5.0
10407,10614,La Gastronomica Burgers,"Vi dro hit på grunn av vurderingene vi så på tripadvisor, og vi ble ikke skuffet i det hele tatt.
maten var fantastisk, vi hadde svinekjøtt ribbe (smelter i munnen), blekksprut? (super velsmakende) og patatas bravas også super bra.
personalet var vennlig, de rådet oss...også hva vi kan besøke i BCN, og de var veldig tålmodige med spanskene våre (vi prøver å lære det)

vil definitivt komme igjen
absolutt verdt 5 stjernerMer",Norwegian,"We went here because of the assessments we saw on Tripadvisor, and we were not disappointed at all.
The food was fantastic, we had pork ribs (melts in the mouth), squid?(super tasty) and Patatas Bravas also super good.
The staff was friendly, they advised us ... also what we can visit in BCN, and they were very patient with our Spanks (we try to learn it)

will definitely come again
Certainly worth 5 stars",0.9689,50,september 2019,['Street Food'],5.0
10408,10615,La Gastronomica Burgers,"Nydelig restaurant med utmerket stab, restaurant ganske liten, men vennlig og atmosfærisk. God mat til en rimelig pris vil gjerne anbefale.",Norwegian,"Lovely restaurant with excellent staff, restaurant quite small, but friendly and atmospheric.Good food at a reasonable price would like to recommend.",0.9427,50,,['Street Food'],5.0
10409,10616,La Gastronomica Burgers,"Vi hadde en fantastisk tapas opplevelse her. Klarte å få de to siste plassene i restauranten, i baren rett foran kokken. Tapas var så deilig og presentert så godt. Stor verdi for pengene også! Ansatte tydelig jobber veldig hardt for å gjøre dette stedet så...fantastisk. Så glad vi endte opp med å spise her, et høydepunkt i vår Barcelona tur!Mer",Norwegian,"We had a fantastic tapas experience here.Managed to get the last two places in the restaurant, in the bar right in front of the chef.Tapas were so delicious and presented so well.Great value for money too!Employees clearly work very hard to make this place so ... fantastic.So glad we ended up eating here, a highlight of our Barcelona trip! More",0.96,50,mars 2019,['Street Food'],5.0
10410,10617,La Gastronomica Burgers,"Min kone og jeg hadde middag her i kveld. Vi ankom rundt 8: 30 og de var veldig opptatt, men et bord åpnet i ca 5 minutter. Dette er et lite sted, kanskje omtrent 30 eller så seter inne og en annen 12 utenfor. Det...er også sitteplasser i baren. Eieren sitter oss og forklarte menyen som er ideell for å dele noen plater. Vi bestilte 3 forskjellige plater som inkluderte en veggie røre yngel, en laks tartare og en grillet biff som serveres skiver. Alle var deilig. Eieren tok oss noen gamle Manchego OST å prøve. Det var eksepsjonell. Vi endte med og epletert med vanilje iskrem. Tjenesten var utmerket. Med et par glass vin var regningen 38 euro. Sterkt anbefalt.Mer",Norwegian,"My wife and I had dinner here tonight.We arrived around 8:30 and they were very busy, but a table opened for about 5 minutes.This is a small place, maybe about 30 or so seats inside and another 12 outside.That ... is also seating in the bar.The owner sits us and explained the menu which is ideal for sharing some discs.We ordered 3 different plates that included a veggie stir fry, a salmon tartare and a grilled steak served sliced.Everyone was delicious.The owner took us some old Manchego cheese to try.It was exceptional.We ended up and apple with vanilla ice cream.The service was excellent.With a few glasses of wine, the bill was 38 euros.Strongly recommended. More",0.8885,50,,['Street Food'],5.0
10411,10618,La Gastronomica Burgers,"Vi bestemte oss å prøve La Gastronomica i går kveld, og det skuffet ikke. Vi satt rett foran kokk Juan og hans mannskap. Sammen med utsøkt mat, glede de oss med deres skam og profesjonalitet. Utmerket service og timing av måltidene var fantastisk. Svinekjøtt og...biff var så øm og smelter i munnen. Vi hadde 4 retter som inkluderte patatas bravas og stekt aubergine med honning som var utrolig. Vi kunne ikke motstå å få mandel souffl og tartan for ørkenen også.
Det blir opptatt ganske raskt, men det er verdt ventetiden.Mer",Norwegian,"We decided to try La Gastronomica last night, and it didn't disappoint.We sat in front of chef Juan and his crew.Together with exquisite food, they enjoy us with their shame and professionalism.Excellent service and timing of meals was fantastic.Pork and ... beef were so tender and melting in the mouth.We had 4 dishes that included Patatas bravas and fried eggplant with honey that was incredible.We couldn't resist getting almond souffl and tartan for the desert as well.
It gets busy pretty quickly, but it's worth the wait. More",0.6187,50,mars 2019,['Street Food'],5.0
10412,10619,La Gastronomica Burgers,"En god restaurant med svært velsmakende mat og hyggelig personale. Men før du går dit, sørg for at det er gratis bord der eller bestill via telefon / online.",Norwegian,"A good restaurant with very tasty food and nice staff.But before you go there, make sure there is free tables there or order by phone / online.",0.8834,50,February 2019,['Street Food'],5.0
10413,10620,La Gastronomica Burgers,"Kunne ikke anbefale dette stedet mer - maten var fantastisk, prisene var veldig veldig rimelig (stor verdi) og ansatte var fantastisk. Våre Kelner, Jairo, og hans kolleger var vennlige, imøtekommende og hjelpsomme, men ikke overveldende i det hele tatt. Stopp å se etter et sted...å spise middag og gå her. Du vil ikke angre på det. Vi har vært i Sevilla, Granada, Gibraltar og vært i Barcelona i to dager. Dette var det beste måltidet vi har spist, hendene ned. Takk dere, fortsett det store arbeidet!Mer",Norwegian,"Couldn't recommend this place anymore - the food was fantastic, the prices were very reasonable (great value) and employees were fantastic.Our waiter, Jairo, and his colleagues were friendly, welcoming and helpful, but not overwhelming at all.Stop looking for a place ... to have dinner and go here.You won't regret it.We have been to Seville, Granada, Gibraltar and been in Barcelona for two days.This was the best meal we have eaten, hands down.Thanks you, keep the big work! More",0.9412,50,august 2018,['Street Food'],5.0
10414,10621,Desoriente,"Dette er nok en veldig bra restaurant om du er veganer. Det som er grunnen til at det blir laveste karakter er at den står under sushi. Den har veldig gode anmeldelser på Tripadvisor, sikkert fordi det er fantastisk veganmat. Men, for de som er...glad i vanlig sushi er dette ikke bra. De går skuffet derfra. Det burde kommet bedre frem at all sushi er 100 % vegan. Bortsett fra det, har stedet hyggelige ansatte og et fint lokale.Mer",Norwegian,"This is probably a very good restaurant if you are vegan.The reason why it becomes the lowest character is that it is under sushi.It has very good reviews on Tripadvisor, probably because it is fantastic vegan food.But, for those who are ... happy in regular sushi this is not good.They go disappointed from there.It should be better that all sushi is 100 % vegan.Apart from that, the place has nice staff and a nice room.",0.9688,10,,"['Asian', 'Japanese Fusion']",5.0
10415,10622,BelleBuon,"Dro ditt på grunn av gode anmeldelser, i følge Tripadvisor skal restauranten være the best of det best. Vi ble dessverre skuffet av maten. Stor porsjon, men veldig kjedelig smak. Ville aldri dratt bort igjen, da maten strekker ikke til forventninger.",Norwegian,"Done yours because of good reviews, according to TripAdvisor, the restaurant should be the best of the best.Unfortunately, we were disappointed by the food.Large portion, but very dull taste.Would never pull away again, as the food does not extend to expectations.",-0.5051,30,July 2022,"['Italian', 'Neapolitan']",5.0
10416,10623,BelleBuon,God mat ekte italiensk stemning og meny som er en slik restaurant verdig. Kvaliteten tatt i betraktning så er prisene rimelige.,Norwegian,"Good food real Italian atmosphere and menu, which is such a restaurant worthy.Considering the quality, prices are reasonable.",0.4404,40,October 2019,"['Italian', 'Neapolitan']",5.0
10417,10624,BelleBuon,"Veldig hyggelig liten italiensk restaurant som ligger litt utenfor ""sentrum"".
Kjempe god mat, og hyggelige folk.",Norwegian,"Very nice little Italian restaurant located just outside the ""center"".
Great food, and nice people.",0.883,50,June 2018,"['Italian', 'Neapolitan']",5.0
10418,10625,BelleBuon,"Helt grei mat, reiste ett stykke for å dra hit så ble litt skuffet. Trivelige ansatte mens maten var dessverre gjennomsnittlig.",Norwegian,"Quite decent food, traveled one piece to go here so was a little disappointed.Nice staff while the food was unfortunately average.",-0.34,30,,"['Italian', 'Neapolitan']",5.0
10419,10626,BelleBuon,"Min familie og jeg (inkludert vår datter, som er vegansk) spiste middag på BelleBuon. Alle de tingene vi bestilte, inkludert vin, salat og forrettene var godt - forberedt (pasta var litt al dente, som jeg elsker) og deilig. spesiell merknad, var imidlertid min datters måltid...(Gnocchi) som kokken var snill nok til å forberede uten ost eller krem) , i stedet før det på en enkel og nydelig rød saus. Det var utmerket.

De ansatte var veldig imøtekommende uavhengig av det faktum at de var opptatt og kokken selv laget tid til å prate med oss og kontroller at alt var i orden, som det faktisk var.

Alt i alt, et herlig måltid på et fint sted (restauranten ligger i en rolig gate, og vi likte å spise ute) . Jeg anbefaler på det sterkeste å komme hit (og gjøre reservasjoner) !Mer",Norwegian,"My family and I (including our daughter, who are vegan) ate dinner at Bellebuon.All the things we ordered, including wine, lettuce and the starters were good - prepared (pasta was a little al dente, which I love) and delicious.Special note, however, was my daughter's meal ... (gnocchi) as the chef was kind enough to prepare without cheese or cream), instead before it on a simple and lovely red sauce.It was excellent.

The employees were very accommodating regardless of the fact that they were busy and the chef themselves made time to talk to us and make sure everything was in order, as it actually was.

All in all, a wonderful meal in a nice place (the restaurant is in a quiet street, and we enjoyed eating outside).I strongly recommend to come here (and make reservations)! More",0.9844,50,Into,"['Italian', 'Neapolitan']",5.0
10420,10627,BelleBuon,"God mat, store porsjoner og super service. Veldig hyggelig atmosfære. Rolig restaurant. Nær sa grada familia 😊",Norwegian,"Good food, large portions and super service.Very nice atmosphere.Quiet restaurant.Nearly, Grada Familia 😊",0.8625,50,,"['Italian', 'Neapolitan']",5.0
10421,10628,BelleBuon,"Denne restauranten var fantastisk! Giovanni og Dan gjorde opplevelsen vår så hyggelig. Maten var deilig. Du vil ikke angre på at du besøker dette stedet, og du trenger definitivt en reservasjon.",Norwegian,This restaurant was fantastic!Giovanni and Dan made our experience so nice.The food was delicious.You will not regret visiting this place and you definitely need a reservation.,0.6513,50,January 2020,"['Italian', 'Neapolitan']",5.0
10422,10629,BelleBuon,"Spektakulær mat og service! Dette lille stedet er virkelig fantastisk. Pastaen er frisk, smakfull og tilberedt kjærlig. Absolutt alt vi bestilte var deilig. Personalet har den perfekte balansen mellom varm og vennlig og effektiv og profesjonell. Ikke prøv å gå hit uten reservasjoner. En liten...ettertanke vil sikre at du kan nyte et strålende måltid.Mer",Norwegian,"Spectacular food and service!This little place is really amazing.The pasta is fresh, tasty and cooked loving.Absolutely everything we ordered was delicious.The staff has the perfect balance between warm and friendly and efficient and professional.Don't try to go here without reservations.A small ... reflection will ensure that you can enjoy a brilliant meal.",0.9712,50,July 2019,"['Italian', 'Neapolitan']",5.0
10423,10630,BelleBuon,"Strålende mat! ! Vi kom uten bestilling, og de flyttet alt for å passe inn i oss. Ville definitivt komme tilbake hit når du er tilbake i Barcelona. Beste italienske maten vi begge noen gang har hatt.",Norwegian,"Brilliant food!!!We came without ordering, and they moved everything to fit into us.Would definitely come back here when you are back in Barcelona.Best Italian food we have both ever had.",0.8713,50,november 2019,"['Italian', 'Neapolitan']",5.0
10424,10631,BelleBuon,Kan ikke si nok om middagen. Personalet gikk ut av deres måte å hjelpe oss med en god middag. Veldig imøtekommende for disse amerikanerne!,Norwegian,Can't say enough about dinner.The staff went out of their way of helping us with a good dinner.Very accommodating for these Americans!,0.6588,50,,"['Italian', 'Neapolitan']",5.0
10425,10632,BelleBuon,"Starter med den unike tjenesten og med god humor, ble vi veldig godt mottatt i restauranten! Vi ba om forslag på menyen, og elsket det! Vi spiste lasagna, ravioli og tagliatella! Alt veldig utrolig! Koselig sted, gode viner! Flott opplevelse",Norwegian,"Starting with the unique service and with good humor, we were very well received in the restaurant!We asked for suggestions on the menu and loved it!We ate lasagna, ravioli and tagliatella!Everything very incredible!Cozy place, good wines!Great experience",0.9367,50,July 2019,"['Italian', 'Neapolitan']",5.0
10426,10633,BelleBuon,Perfekt sted å spise på noen måte! Tjenesten og menneskene er utmerket og snill. Og maten. . . ikke la meg begynne å snakke om maten! DET ER PERFEKT!,Norwegian,Perfect place to eat in any way!The service and people are excellent and kind.And the food...Don't let me start talking about the food!IT IS PERFECT!,0.9288,50,July 2019,"['Italian', 'Neapolitan']",5.0
10427,10634,BelleBuon,En må gå sted for italiensk mat. Lasagne til å dø for. Selv besluttet å ta en pizza å gå etter middag - det var så bra!,Norwegian,One must go for Italian food.Lasagna to die for.Even decided to take a pizza to go after dinner - it was so good!,-0.1156,50,,"['Italian', 'Neapolitan']",5.0
