level_0,index,Restaurant,Review original,Language,Translated Review,Compound,Rating,Date,Cuisine,Total Rating
2664,2711,La Gastronomica Burgers,"Нашли по многочисленным хорошим отзывам. Небольшой ресторан с изумительной едой. Порции небольшие, но очень вкусно. Обслуживание прекрасное!",Russian,"Found according to numerous good reviews.A small restaurant with amazing food.The portions are small, but very tasty.The service is beautiful!",0.8748,50,,['Street Food'],5.0
2665,2712,La Gastronomica Burgers,"Маленький ресторан , в центре города, с маленьким , но невероятно вкусным меню!!!! Мы с мужем на двоих заказали тунца, осьминога и в качестве закусок семгу на тостах! Порции были маленькие, но достаточно сытные! Всем советую посетить это заведение , по телефону не бронируют, в...порядке живой очереди! Нам пришлось минут 20 погулять , но это того стоило !!!!Еще",Russian,"A small restaurant, in the center of the city, with a small, but incredibly tasty menu !!!!My husband and I ordered tuna, octopus and as snacks, salmon on toasts!The portions were small, but quite satisfying!I advise everyone to visit this institution, they don’t book on the phone, in ... a living queue!We had to take a walk for 20 minutes, but it was worth it !!!!",0.5451,50,July 2019,['Street Food'],5.0
2666,2713,La Gastronomica Burgers,"Замечательно провели время. Понравилось абсолютно всё что заказали! 
Кабачки в тончайшей панировке просто невероятные! 
Треска и осьминог также очень рекомендую. 
Южноамериканская нежнейшая телятина и безумные десерты. 
Обязательно стоит попасть сюда будучи в Барсе! 
Отдельное спасибо персоналу! Вы лучшие! 🥇",Russian,"We had a wonderful time.I liked absolutely everything I ordered!
The zucchini in the finest breading is simply incredible!
I also highly recommend cod and octopus.
South American tender veal and crazy desserts.
Be sure to get here in Bars!
Special thanks to the staff!You are best!🥇",0.9429,50,,['Street Food'],5.0
2667,2714,La Gastronomica Burgers,"Были с коллегой в данном гастропабе. Еда на неплохом уровне. Порции маленькие, но чувства голода после них нет. 1 балл ставлю за следующее. Мы поужинали, выпили вина и потом оказалось, что заказать ещё вина без еды невозможно. Считаю это совсем недопустимым, для нормального заведения. Получается...что я для того, чтобы выпить, должен обязательно ещё поесть. Официант сказал, что они не бар, для них заказ только вина неприемлем. Интересный подход к бизнесу. Больше сюда не приду. И для меня было очень тесно, не готов я за еду, терпеть тесноту. Всем удачи)Еще",Russian,"Were with a colleague in this gastropab.Food at a good level.The portions are small, but there is no feeling after them.I put 1 point for the following.We had dinner, drank wine and then it turned out that it was impossible to order more wine without food.I think this is completely unacceptable for a normal institution.It turns out ... that I must still eat in order to drink.The waiter said that they were not a bar, for them an order only is unacceptable.An interesting approach to business.I will not come here anymore.And for me it was very cramped, I am not ready for food, tolerate the crowds.Good luck) yet",-0.5653,10,April 2019,['Street Food'],5.0
2668,2715,La Gastronomica Burgers,"Небольшая кафешка с минимальным выбором блюд, но все очень вкусно, оригинально и душевно. Придем еще раз обязательно!",Russian,"A small cafe with a minimum choice of dishes, but everything is very tasty, original and sincere.We will come again!",0.5661,50,April 2019,['Street Food'],5.0
2669,2716,La Gastronomica Burgers,"Великолепная кухня. Прекрасный сервис. Если вы не знаете с чего начать, смело доверьтесь рекомендациям официанта. Отдельно отмечу местное каталонское вино. Понимаю, вопрос вина очень субъективный, лично мое мнение.
Итого: Еда 5
Вино 5
Десерт 5",Russian,"Great kitchen.Great service.If you do not know where to start, feel free to trust the waiter's recommendations.Separately, I will note the local Catalan wine.I understand that the issue of wine is very subjective, my person is personally.
Total: Food 5
Wine 5
Dessert 5",0.8934,50,March 2019,['Street Food'],5.0
2670,2717,La Gastronomica Burgers,"В крайний день пребывания в Барселоне решили поужинать и обратились к Tripadvisor , хотелось попробовать именно  местную кухню , выбор пал на тапас бар, как оказалось это заведение находится всего в 300 метрах от отеля , где мы остановились . Заранее прочитал в отзывах, что...данное заведение не резервирует столики, но мы решили рискнуть и пришли в 19:30, свободных мест не оказалось , и это во вторник !!!!! Нас попросили придти через полчаса , мы согласились . В итоге освободилось два места у барной стойки . Мы заказали баклажаны гриль, осьминога ,  мясо гриль, буррату и на десерт яблочный пирог с мороженым .  Все блюда в сочетании с отлично подобранным вином были выше всяческих похвал!  За 5 блюд и 4 бокала вина счет  более чем приемлемый. Искренне Рекомендую данное заведение к посещению , не пожалеете !Еще",Russian,"On the last day of stay in Barcelona, they decided to have dinner and turned to Tripadvisor, I wanted to try the local cuisine, the choice fell on the tapas bar, as it turned out this institution is only 300 meters from the hotel where we stopped.I read in advance in the reviews that ... this institution does not reserve tables, but we decided to take a chance and came at 19:30, there were no free places, and this is on Tuesday !!!!!We were asked to come in half an hour, we agreed.As a result, two places at the bar were freed.We ordered eggplant grill, octopus, grill meat, burrata and an apple pie with ice cream for dessert.All dishes combined with perfectly selected wine were beyond praise!For 5 dishes and 4 glasses of wine, the score is more than acceptable.I sincerely recommend this institution to visit, you will not regret it! Yet",0.9748,50,March 2019,['Street Food'],5.0
2671,2718,La Gastronomica Burgers,"+невероятно вкусная кухня(стейк и тартар из лосося невероятные); невероятно позитивный официант; 
-очень маленькое заведение как и порции собственно; для плотного обеда дороговато, место больше для перекуса 
Обратите внимание на часы работы",Russian,"+incredibly tasty kitchen (incredible steak and tartar);incredibly positive waiter;
-very small institution like portions proper;for a tight dinner, a little expensive, the place is larger for a snack
Pay attention to the opening hours",0.7152,40,March 2019,['Street Food'],5.0
2672,2719,La Gastronomica Burgers,"Это был наш случай. Классический гастробар, с лаконичной обстановкой, маленькой открытой кухней и большими окнами. Посадочных мест совсем не много, причём половина из них, это контактная барная стойка.  
Вкусовые впечатления от еды у меня сохранились надолго. Жаренные во фритюре баклажаны с мёдом, просто шикарно....Еще",Russian,"It was our case.Classic gastrobar, with a laconic atmosphere, small open kitchen and large windows.There are not many seats at all, and half of them, this is a contact bar counter.
The taste impressions of food have been preserved for a long time.Freeded eggplant with honey, just gorgeous ....",0.7096,50,,['Street Food'],5.0
2673,2720,La Gastronomica Burgers,"Данное заведение выбрали по отзывам, решили с женой тут поужинать. Брони стола у них нет. Пришли в 19:20, заведение открывается в 19:00 людей в ресторане было бы уже много, 9 человек, если учесть его маленькие размеры. Нас посадили за бар, аргументируя, что мест нет, так...Еще",Russian,"This institution was chosen according to reviews, they decided with his wife to have dinner here.They have no table armor.They came at 19:20, the institution opened at 19:00 in the restaurant there would already be a lot, 9 people, given its small size.We were put by the bar, arguing that there were no places, so ... more",-0.7506,30,,['Street Food'],5.0
