level_0,index,Restaurant,Review original,Language,Translated Review,Compound,Rating,Date,Cuisine,Total Rating
2031,2078,La Gastronomica Burgers,"Mycket trevlig personal. Bra vällagad mat. Åt tre olika rätter, mycket gott. Ribbs, patata bravas och grillade grönsaker. Till det ett gott prisvärt Katalanskt rödvin.",Swedish,"Very nice staff.Good well -cooked food.Ate three different dishes, very good.Ribbs, patata bravas and grilled vegetables.To it a good affordable Catalan red wine.",0.8104,50,July 2019,['Street Food'],5.0
2032,2079,La Gastronomica Burgers,"Suverän service, mycket hjälpsam och trevlig personal, det var fullt när vi kom, de föreslog en bar tvärs över gatan där de hämtade oss när det vart ett bord ledigt,  suverän mat.",Swedish,"Superb service, very helpful and nice staff, it was full when we arrived, they suggested a bar across the street where they picked us up when there was a table vacant, superb food.",0.9366,50,maj 2019,['Street Food'],5.0
2033,2080,La Gastronomica Burgers,"Vad kan man säga....?alla smakerna lever fortfarande kvar,brukar drömma om denna restaurang!
Efterrätterna unika i sitt slag!",Swedish,"What can you say ....? All the flavors still live, usually dream about this restaurant!
The desserts unique in their kind!",0.717,50,november 2018,['Street Food'],5.0
2034,2081,La Gastronomica Burgers,"Trevlig personal, växlade till engelska direkt. Förklarade upplägget med maten, gav tips om några bra tallrikar. Allergier var inga problem, det löste de fint. Riktigt bra råvaror på detta ställe och killarna vet hur det ska tillagas! Rekommenderas! 
Är ni i närheten och är hungriga...tveka inte!Mer",Swedish,"Nice staff, switched to English directly.Explained the arrangement with the food, gave tips on some good plates.Allergies were no problems, they solved nicely.Really good ingredients at this place and the guys know how to cook!Recommended!
Are you nearby and are hungry ... Don't hesitate! More more",0.8171,50,september 2018,['Street Food'],5.0
2035,2082,La Gastronomica Burgers,Både jag och frun har allergier men fick ett otroligt bra mottagande. Ägaren förklarade allt och ordnade specialregler till oss. Och vilken mat! Wow!,Swedish,Both me and the wife have allergies but received an incredibly good reception.The owner explained everything and arranged special rules for us.And what a food!Wow!,0.8564,50,maj 2018,['Street Food'],5.0
2036,2083,La Gastronomica Burgers,"Mycket bra mat och mycket trevligt bemötande! Restaurangen var nyöppnad och därför endast ett fåtal recensioner här, men det kommer bli fler 🙂",Swedish,"Very good food and very nice care!The restaurant was newly opened and therefore only a few reviews here, but there will be more 🙂",0.5323,50,October 2017,['Street Food'],5.0
2037,2084,La Gastronomica Burgers,"Riktigt bra mat, vänlig service och inte dyra alls! Restaurangen är inte så stor så jag skulle rekommendera att komma tidigt.Mer",Swedish,"Really good food, friendly service and not expensive at all!The restaurant is not that big so I would recommend coming early.Mores",0.8666,50,February 2020,['Street Food'],5.0
2038,2085,La Gastronomica Burgers,"Från början till slut är denna plats toppklass. Vi satt utanför som var bra eftersom de hade en rymdvärmare bredvid oss hålla oss bekväma. Servern gjorde ett enastående jobb som gav oss rekommendationer från drycker, förrätter, huvudrätter och till och med dessert. Jag försökte bläckfisken...sedan servern rekommenderade det och det smakade överraskande underbart. Hade Egg Plant Tapas för starter. Estrella Galicia öl kompletterar allt bra eller du kan ha ett glas vin. Ett absolut måste om du är i Barcelona!Mer",Swedish,"From beginning to end, this place is top class.We sat outside which was good because they had a space heater next to us keep us comfortable.The server did an outstanding job that gave us recommendations from drinks, starters, main courses and even dessert.I tried the octopus ... since the server recommended it and it tasted surprisingly wonderful.Had egg plant tapas for starts.Estrella Galicia beer complements everything well or you can have a glass of wine.An absolute must if you are in Barcelona! More",0.92,50,mars 2019,['Street Food'],5.0
2039,2086,La Gastronomica Burgers,"Bästa måltid hittills denna resa! Jag gillar inte ens bläckfisk vanligtvis men bläckfisken var sooooo öm och krämig (inte rubbery!). Burrata var enorm och perfekt. Enorma, ömma fläskfibrer. Mjukt kokt ägg med potatis och kryddig chorizo (åt det innan vi kunde få en bild, oj)....Manchegoostmoussen till efterrätt var komplex och perfekt sammansatt. En sådan stor måltid. Varje maträtt var väl genomtänkt och flavorful. Vi städade varje platta. 5 stjärnor.Mer",Swedish,"Best meal so far this trip!I don't even like octopus but the octopus was sooooo sore and creamy (not RUBbery!).Burrata was huge and perfect.Huge, tender pork fibers.Soft boiled egg with potatoes and spicy chorizo (ate it before we could get a picture, oh) .... The manchegoost mousse for dessert was complex and perfectly composed.Such a large meal.Each dish was well thought out and flavorful.We cleaned each plate.5 stars.mer",0.8952,50,mars 2019,['Street Food'],5.0
2040,2087,La Gastronomica Burgers,"Vi hade en sådan fantastisk tapas upplevelse här. Klarade sig få de två sista platserna i restaurangen, i baren precis framför kocken. Tapas var så läckra och presenterade så bra. Stort värde för pengarna också! Personalen fungerar tydligt riktigt hårt för att göra denna plats...så fantastisk. Så glad vi slutade äta här, en höjdpunkt i vår Barcelona resa!Mer",Swedish,"We had such a fantastic tapas experience here.Made the last two places in the restaurant, in the bar just in front of the chef.Tapas was so delicious and presented so well.Great value for money too!The staff clearly works really hard to make this place ... so amazing.So happy we stopped eating here, a highlight in our Barcelona trip! More",0.9589,50,mars 2019,['Street Food'],5.0
