level_0,index,Restaurant,Review original,Language,Translated Review,Compound,Rating,Date,Cuisine,Total Rating
8701,8908,Faire Brunch & Drinks,เพิ่มเติม,Thai,more,0.0,50,,['International'],5.0
8702,8909,Faire Brunch & Drinks,,Thai,Into,0.0,50,,['International'],5.0
8703,8910,Faire Brunch & Drinks,,Thai,Into,0.0,50,,['International'],5.0
8704,8911,Faire Brunch & Drinks,เพิ่มเติม,Thai,more,0.0,50,,['International'],5.0
8705,8912,Faire Brunch & Drinks,เพิ่มเติม,Thai,more,0.0,50,December 2022,['International'],5.0
8706,8913,Faire Brunch & Drinks,เพิ่มเติม,Thai,more,0.0,50,,['International'],5.0
8707,8914,Faire Brunch & Drinks,,Thai,Into,0.0,50,November 2022,['International'],5.0
8708,8915,"Tino, esto no es una pizzería",หาร้านของกินใกล้ๆโรงแรม เจอร้านนี้ บวกกับรีวิวดีมากเลยมาลอง ตอนแรกไม่ได้คาดหวังเท่าไหร่คิดว่าคงเป็นขนมปังแล้วก็มีไส้แบบธรรมดาๆ แต่พอมาลองแล้วไม่ใช่เลย ตัวแป้งจะคล้ายๆแป้งพิซซ่าแต่ไม่เหมือนซะทีเดียว แป้งกรอบนอกนุ่มใน แล้วไส้ให้เยอะมาก แบบไส้ทะลัก เรากับแฟนสั่งมาลองคนละชิ้น พอสั่งแล้วเค้าจะอบให้ใหม่ๆตามออเดอร์ใช้เวลาประมาณ 8 นาที แต่เชื่อเถอะคุ้มกับการรอแน่นอน มันอร่อยจนอยากสั่งอีกแต่เสียดายต้องรีบไปที่อื่นต่อ ใครมาบาร์เซโลน่าหรือแวะมาแถวนี้คือห้ามพลาดจริงๆ ราคาไม่แพงด้วย แนะนำมากๆค่ะ,Thai,"Looking for a restaurant near the hotel, found this shop, plus the review is very good, so come to tryAt first I didn't expect much. I thought it was a bread and there was a normal filling.But after trying it, not at allThe dough is similar to pizza flour, but not quite like.Crispy flour on the outside, soft insideAnd a lot of filling, like the filling, spilling us and our girlfriend ordered to try each pieceOnce ordered, they will bake new orders. It takes about 8 minutes, but believe it, definitely worth the wait.It's so delicious that I want to order again, but I have to hurry to go somewhere else.Whoever comes to Barcelona or visiting this area is really not to be missed.Affordable price too. Very recommended.",0.9696,50,December 2022,"['Italian', 'Pizza']",5.0
8709,8916,Lato Café - Breakfast Brunch y Ceviches,เพิ่มเติม,Thai,more,0.0,50,October 2022,"['Latin', 'South American']",5.0
8710,8917,Lato Café - Breakfast Brunch y Ceviches,,Thai,Into,0.0,50,October 2022,"['Latin', 'South American']",5.0
8711,8918,Lato Café - Breakfast Brunch y Ceviches,เพิ่มเติม,Thai,more,0.0,50,September 2022,"['Latin', 'South American']",5.0
8712,8919,Lato Café - Breakfast Brunch y Ceviches,,Thai,Into,0.0,50,September 2022,"['Latin', 'South American']",5.0
8713,8920,Lato Café - Breakfast Brunch y Ceviches,เพิ่มเติม,Thai,more,0.0,50,August 2022,"['Latin', 'South American']",5.0
8714,8921,Cremat Lounge,เพิ่มเติม,Thai,more,0.0,50,July 2022,"['American', 'International']",5.0
