level_0,index,Restaurant,Review original,Language,Translated Review,Compound,Rating,Date,Cuisine,Total Rating
7883,8090,Faire Brunch & Drinks,Thêm,Vietnamese,More,0.0,50,,['International'],5.0
7884,8091,Faire Brunch & Drinks,,Vietnamese,Into,0.0,50,February 2023,['International'],5.0
7885,8092,Faire Brunch & Drinks,,Vietnamese,Into,0.0,50,January 2023,['International'],5.0
7886,8093,Faire Brunch & Drinks,Thêm,Vietnamese,More,0.0,50,January 2023,['International'],5.0
7887,8094,Faire Brunch & Drinks,Thêm,Vietnamese,More,0.0,50,December 2022,['International'],5.0
7888,8095,Faire Brunch & Drinks,Thêm,Vietnamese,More,0.0,50,November 2022,['International'],5.0
7889,8096,Faire Brunch & Drinks,,Vietnamese,Into,0.0,50,November 2022,['International'],5.0
7890,8097,"Tino, esto no es una pizzería",Thêm,Vietnamese,More,0.0,50,October 2022,"['Italian', 'Pizza']",5.0
7891,8098,"Tino, esto no es una pizzería",Thêm,Vietnamese,More,0.0,50,September 2022,"['Italian', 'Pizza']",5.0
7892,8099,"Tino, esto no es una pizzería",Thêm,Vietnamese,More,0.0,50,August 2022,"['Italian', 'Pizza']",5.0
7893,8100,"Tino, esto no es una pizzería",Thêm,Vietnamese,More,0.0,50,July 2022,"['Italian', 'Pizza']",5.0
7894,8101,"Tino, esto no es una pizzería",Thêm,Vietnamese,More,0.0,50,June 2022,"['Italian', 'Pizza']",5.0
7895,8102,"Tino, esto no es una pizzería",Thêm,Vietnamese,More,0.0,50,May 2022,"['Italian', 'Pizza']",5.0
7896,8103,"Tino, esto no es una pizzería",Thêm,Vietnamese,More,0.0,50,April 2022,"['Italian', 'Pizza']",5.0
7897,8104,Lato Café - Breakfast Brunch y Ceviches,,Vietnamese,Into,0.0,50,,"['Latin', 'South American']",5.0
7898,8105,Lato Café - Breakfast Brunch y Ceviches,,Vietnamese,Into,0.0,50,September 2022,"['Latin', 'South American']",5.0
7899,8106,Dal Presidente Bar,"Địa điểm gần đó và họ có thức ăn tuyệt vời và dịch vụ tuyệt vời. Hy vọng sẽ sớm trở lại, không có nhiều bánh pizza chất lượng tốt gần kề.",Vietnamese,"The nearby place and they have excellent food and great service.Hope to return soon, there are not many good quality pizza near adjacent.",0.7502,50,,"['Italian', 'Pizza']",5.0
7900,8107,Dal Presidente Bar,"Thật là một nhóm người đáng yêu! Trong khi nhìn vào thực đơn bên ngoài, chúng tôi đã nhanh chóng được chào đón bởi người vợ của chủ sở hữu, người hỏi rằng chúng tôi có bất kỳ câu hỏi nào về thực phẩm không....Chúng tôi đã có một vài cuộc trò chuyện sôi nổi với các nhân viên, những người đã chứng minh là đáng nhớ như những chiếc ghim Ý chính hiệu mà họ phục vụ chúng tôi.Thêm",Vietnamese,"What a lovely group of people!While looking at the external menu, we were quickly welcomed by the owner of the owner, who asked if we have any questions about food ....The exciting conversation with the staff, who proved to be memorable as the genuine staples they serve us.",0.8655,50,July 2019,"['Italian', 'Pizza']",5.0
7901,8108,Dal Presidente Bar,Chủ sở hữu là rất tốt và hạnh phúc pizza thậm chí còn tốt hơn anh ấy nói gia đình là cho italy và đề nghị thử mì ống nhưng chọn một chiếc bánh pizza khác vì hương vị của đầu tiên. Đứng thứ hai!...Hãy thử giả dược nàyThêm,Vietnamese,The owner is very good and the happiness of pizza is even better than he says the family is for Italy and asks to try the pasta but choose another pizza because of the first taste.Second rank! ... Try this placebo,0.6847,50,,"['Italian', 'Pizza']",5.0
7902,8109,Dal Presidente Bar,"Dịch vụ bạn nhận được là tuyệt vời, rất thân thiện và đam mê thức ăn và đồ uống của anh ấy.
Chúng tôi đã có một chiếc bánh pizza để chia sẻ và thật không thể tin được. Xin giới thiệu với mọi người....Chúng tôi sẽ trở lạiThêm",Vietnamese,"The service you receive is great, very friendly and passionate about his food and drink.
We had a pizza to share and it was unbelievable.Introducing to everyone .... We will return",0.9254,50,July 2019,"['Italian', 'Pizza']",5.0
7903,8110,Dal Presidente Bar,"Hola la comida thời đại muy bien. La pizza kỷ nguyên perfecto y el cafe es maravilloso. Somos es grupos de siete y disfrutamos Las comida.
Dịch vụ này rất tuyệt và cặp vợ chồng điều hành nhà hàng rất tốt.

Chúng tôi sẽ đến...đây một lần nữaThêm",Vietnamese,"Hola La Comida Muy Bien era.La Pizza Perfecto Y El Cafe Es Maravilloso.Somos Es Grupos de Siet Y Disfrutamos Las Comida.
This service is great and the couple operates the restaurant very well.

We will come ... here again",0.8313,50,June 2019,"['Italian', 'Pizza']",5.0
7904,8111,Dal Presidente Bar,"Được điều hành bởi một cặp đôi người Ý đáng yêu Alessio và Carol. Dịch vụ rất thân thiện, thức ăn tuyệt vời, đặc biệt là pizza romana và cà phê Ý ngon nhất trong thành phố! Họ cũng có một lựa chọn bia tuyệt...vời. Nếu bạn đang ở trong khu vực chắc chắn kiểm tra nơi này ra!Thêm",Vietnamese,"Revied by a lovely pair of Italians Alessio and Carol.The service is very friendly, excellent food, especially Pizza Romana and the best Italian coffee in the city!They also have a great beer option.If you are in the area, check this place!",0.9689,50,June 2019,"['Italian', 'Pizza']",5.0
7905,8112,Con Gracia,"Thật là một nơi tuyệt vời cho một bữa tối lộng lẫy! Nơi này đã có một sự rung cảm rất thư giãn, nhờ chủ nhà Jos và nhân viên của mình. Thức ăn thật tuyệt. Sự kết hợp rượu vang tuyệt vời (tất cả...Tây Ban Nha) làm cho đây là một nhà hàng tuyệt đối phải ghé thăm.Thêm",Vietnamese,"What a great place for a gorgeous dinner!This place had a very relaxing vibe, thanks to the host Jos and his staff.The food is great.The great combination of wine (all ... Spain) makes this an absolute restaurant to visit.",0.9645,50,October 2019,"['Mediterranean', 'Spanish']",4.5
7906,8113,Con Gracia,"Với nhiều năm hơn tôi quan tâm thừa nhận, đây là trải nghiệm ăn uống tuyệt vời nhất từ đầu đến cuối. Jose chủ sở hữu và Sabrina tự hào và tình yêu trong tất cả các khía cạnh của dịch vụ và thực phẩm...mà từ ngữ KHÔNG BAO GIỜ có thể truyền đạt. Trái tim tôi đã được sưởi ấm, sự mong đợi của tôi đã vượt qua và cuối cùng là một trải nghiệm ăn uống hoàn toàn thỏa mãn. Bạn sẽ cảm ơn tôi cho đề nghị này. Chúc tôi có thể trở lại vào ngày mai. Cảm ơn cả hai, Carolyn Davis USAThêm",Vietnamese,"With many years than I am interested in admitting, this is the best eating experience from start to finish.Jose owners and Sabrina are proud and love in all aspects of service and food ... that words can never be conveyed.My heart was warmed, my expectations were overcome and finally a complete diet experience.You will thank me for this proposal.Wish me can return tomorrow.Thank you both, Carolyn Davis usathema",0.9571,50,October 2019,"['Mediterranean', 'Spanish']",4.5
7907,8114,Con Gracia,"Con Gr cia cho đến nay là trải nghiệm ẩm thực tuyệt vời nhất tôi từng có trong đời. Trong kinh nghiệm hạn chế 20 năm của tôi, tôi phải nói rằng bầu không khí một mình là không thể tin được. Chủ sở hữu...Jos, là người đàn ông tốt bụng và dễ dàng nhất mà tôi từng có niềm vui được gặp. Trong khi tôi sẽ nói rằng ngay từ cái nhìn đầu tiên vào menu tôi đã hơi lo lắng. Nhưng Jos đã sớm thuyết phục tôi rằng anh ta có thể thích nghi với bất kỳ sự không thích và lo lắng nào của tôi. Các món ăn là không thể tả. Nó đạt đến mọi ý nghĩa và nâng cao những gì tôi nghĩ là có thể trong một bữa ăn. Risotto rất tinh tế đến nỗi tôi thậm chí bắt đầu khóc những giọt nước mắt của niềm vui. Máy chủ Sabrina và chủ sở hữu của chúng tôi tỏa ra sự tích cực và tình yêu và thực sự tin tưởng vào những gì họ đang tạo ra và trình bày. Mỗi bữa ăn được mô tả cho bạn đầy đủ. Đây là một nơi tôi mong muốn quay trở lại và tôi mong họ không có gì tốt hơn là điều hành tốt nhất nhà hàng tuyệt vời này. Tôi chỉ còn lại hai từ. Hoàn toàn tuyệt đẹp.Thêm",Vietnamese,"The GR CIA so far is the best culinary experience I have ever had in my life.In my 20 -year limited experience, I have to say that the atmosphere alone is unbelievable.Owner ... JOS, is the most kind and easiest man I have ever met.While I would say that at first sight at the menu I was a little worried.But JOS soon convinced me that he could adapt to any of my disapproval and worries.The dishes are indescribable.It achieves all meanings and improves what I think may be in a meal.Risotto was so delicate that I even started crying the tears of joy.The Sabrina server and our owner radiate positive and love and really believe in what they are creating and presenting.Each meal is fully described.This is a place I want to come back and I hope they are nothing better than running this best restaurant.I have only two words left.Completely beautiful.",0.9835,50,October 2019,"['Mediterranean', 'Spanish']",4.5
7908,8115,Con Gracia,Một nhà hàng Catalan với hai thực đơn nếm thử. Các món ăn là đặc biệt. . . nhiều kết hợp thực sự hiệu quả. Chủ sở hữu là siêu tốt đẹp với một khiếu hài hước tuyệt vời. Chắc chắn là phải. . ..... và ra khỏi khu vực du lịch ở Gracia.Thêm,Vietnamese,A Catalan restaurant with two tasting menu.The dishes are special...Many combinations are really effective.The owner is super good with a great humor.Definitely right....... and out of the tourist area in Gracia.,0.8979,50,October 2019,"['Mediterranean', 'Spanish']",4.5
7909,8116,Con Gracia,Một trải nghiệm tuyệt vời ở Barcelona. Giá trị rất tốt cho thực phẩm và dịch vụ đặc biệt. Một nơi nhỏ mà bạn có thể dành buổi tối thưởng thức sự kết hợp thú vị của các thành phần tuyệt vời. Rất đáng thời...gian!Thêm,Vietnamese,A great experience in Barcelona.Very good value for special food and service.A small place you can spend evening enjoying the interesting combination of great ingredients.Very worthy ... time!,0.9764,50,October 2019,"['Mediterranean', 'Spanish']",4.5
