level_0,index,Restaurant,Review original,Language,Translated Review,Compound,Rating,Date,Cuisine,Total Rating
732,759,La Gastronomica Burgers,"Endroit intimiste, serveur hyper sympa et bien sûr, une qualité indéniable, c’est bien simple, les meilleurs burger sont ici, ne cherchez plus!",French,"Intimate place, super nice server and of course, an undeniable quality, it's very simple, the best burger are here, don't look for it!",0.9092,50,,['Street Food'],5.0
733,760,La Gastronomica Burgers,"Super resto personnel bilingue qui explique bien le menu un Incontournable 🥹🥹 
Des frites au burger en passant par la bière tout vous est conseillé à la perfection 👍",French,"Super bilingual personal restaurant that explains the menu a must -see 🥹🥹
From fries to burger through beer everything is advised to you perfection 👍",0.8225,50,,['Street Food'],5.0
734,761,La Gastronomica Burgers,"Un super burger avec des belles viandes et une équipe au top, je recommande fortement si vous voulez un burger sur Barcelone 👍",French,"A super burger with beautiful meats and a top team, I highly recommend if you want a burger on Barcelona 👍",0.9134,50,,['Street Food'],5.0
735,762,La Gastronomica Burgers,"Molt bon servei, hamburgueses de qualitat i acompanyaments molt bons. El cambrer molt amable i atent!",French,"Very good service, quality burgers and very good accompaniments.The waiter very friendly and attentive!",0.8799,50,,['Street Food'],5.0
736,763,La Gastronomica Burgers,"Nous sommes venus ce soir dans ce restaurant grâce aux avis de TripAdvisor. Ne paie pas de mine de l'extérieur !
Carte très courte qui sous-entend que les produits sont frais.
Nous avons pris le burger pulled pork (costilla de cordo). Le pain est ultra...moelleux, la viande très juteuse. Les frites sont fraîches ce qui est très rare à Barcelone.
Nous avons été servis rapidement. 
Le serveur était au petit soin et soucieux de connaître notre ressenti tout au long du repas.
En dessert, nous avons pris le cœur coulant maison avec une quenelle de glace et un biscuit émietté.
Je vous recommande le cœur coulant à l'amande avec la glace au lait cru.
Tout est très bon et rapport qualité/prix très correct.Plus",French,"We came this evening to this restaurant thanks to TripAdvisor's opinions.Don't look like a look outside!
Very short card that implies that the products are fresh.
We took the Burger Pulled Pork (Costilla de Cordo).The bread is ultra ... soft, the meat very juicy.The fries are fresh which is very rare in Barcelona.
We were served quickly.
The server was very careful and anxious to know our feelings throughout the meal.
For dessert, we took the heart flowing home with an ice quenelle and a crumbled cookie.
I recommend your heart flowing with almond with raw milk ice cream.
Everything is very good and very correct quality/price ratio.",0.8751,50,September 2022,['Street Food'],5.0
737,764,La Gastronomica Burgers,"Excellente adresse, service impeccable et aimable. Burgers de très grande qualité. Rapide et abordable. Recommandé 100%. 
.",French,"Excellent address, impeccable and kind service.Very high quality burgers.Fast and affordable.Recommended 100%.
.",0.7964,50,,['Street Food'],5.0
738,765,La Gastronomica Burgers,Une très bonne adresse pour un burger à Barcelone. Un accueil formidable et une rapidité de service très bien.,French,A very good address for a burger in Barcelona.A great welcome and a speed of service very well.,0.9133,50,,['Street Food'],5.0
739,766,La Gastronomica Burgers,"La cuisine est très fine et délicieuse, le personnel est attentif et sympathique. C'est vraiment un incontournable pour une visite à Barcelone",French,"The kitchen is very fine and delicious, the staff are attentive and friendly.It is really a must for a visit to Barcelona",0.7233,50,August 2022,['Street Food'],5.0
740,767,La Gastronomica Burgers,"Incroyable, le meilleur burger de ma vie alors que j’en ai manger beaucoup, il faut y aller absolument si vous passez à barcelone",French,"Incredible, the best burger of my life when I have a lot of eating it, you have to go absolutely if you go to Barcelona",0.6369,50,,['Street Food'],5.0
741,768,La Gastronomica Burgers,"Vraiment bon avec un accueil super sympathique !
En plus, Pas très loin de l’arena… à faire absolument !",French,"Really good with a super friendly welcome!
In addition, not very far from the Arena ... to do absolutely!",0.9342,50,,['Street Food'],5.0
742,769,La Gastronomica Burgers,Un des meilleurs burgers que j’ai mangé de ma vie. Personnel très chaleureux et accueillant. Recommande vivement !,French,One of the best burgers I have eaten in my life.Very warm and welcoming staff.Highly recommend!,0.8955,50,,['Street Food'],5.0
743,770,La Gastronomica Burgers,Accueil chaleureux. Prix raisonnables et très bons burgers. Mention spéciale pour leur pains et le burger au porc à cuisson lente : fondant !,French,Heartwarming welcome.Reasonable prices and very good burgers.Special mention for their breads and the pork burger with slow cooking: fondant!,0.7639,50,,['Street Food'],5.0
744,771,La Gastronomica Burgers,"Très bon accueil par une personne quadrilingue, carte en Anglais et Espagnol.
Burger excellent, et que dire du dessert....
Le tout dans un cadre cosy...
Je recommande +++",French,"Very welcome by a quadrilingual person, card in English and Spanish.
Excellent burger, and what about dessert ....
All in a cozy setting ...
I recommend +++",0.8588,50,,['Street Food'],5.0
745,772,La Gastronomica Burgers,"Petit restaurant mais très bonne cuisine ! Je n’ai jamais mangé un hamburger maison aussi bon , vraiment excellent, je recommande",French,"Small restaurant but very good kitchen!I have never eaten a homemade hamburger so good, really excellent, I recommend",0.9658,50,May 2022,['Street Food'],5.0
746,773,La Gastronomica Burgers,"Magnifique endroit, burger excellent et abordable, personnel adorable, je recommande ce lieu pour passer un bon moment",French,"Beautiful place, excellent and affordable burger, adorable staff, I recommend this place to have a good time",0.9451,50,,['Street Food'],5.0
747,774,La Gastronomica Burgers,"Excellent, parfait les plats sont savoureux et la viande est un délice. Le personnel est hyper gentil et accueillant. Aucune attente c’est vraiment un excellent restaurant",French,"Excellent, perfect the dishes are tasty and meat is a delight.The staff are super kind and welcoming.No wait is a great restaurant",0.9628,50,,['Street Food'],5.0
748,775,La Gastronomica Burgers,"Nous avons été très bien reçus dans ce petit restaurant où nous avons dégusté de délicieux burgers. Vrai steack haché de bouché, vrai pain de boulangerie, vrai cheddar, ketchup maison, Etc,.
Franchement, j'avais déjà mangé de très bons burgers mais là  c'est le meilleur !",French,"We were very well received in this small restaurant where we tasted delicious burgers.True steak chopped with clogged, real baked bread, real cheddar, homemade ketchup, etc.
Frankly, I had already eaten very good burgers but this is the best!",0.9049,50,,['Street Food'],5.0
749,776,La Gastronomica Burgers,"C’était très bon et le service est très sympa. Le restaurant est bien situé, proche des lieux touristiques de Montjuic. Je recommande",French,"It was very good and the service is very nice.The restaurant is well located, close to the tourist places of Montjuic.I recommend",0.7778,50,,['Street Food'],5.0
750,777,La Gastronomica Burgers,"Nous avons passé un très bon moment et nous nous sommes régalés ! Très bon rapport qualité prix, rare à Barcelone! De la très bonne viande. Et un serveur très sympa qui fait l’effort de nous parler français! Franchement je recommande 👍👍",French,"We had a great time and we really enjoyed it!Very good value for money, rare in Barcelona!Very good meat.And a very nice server that makes the effort to speak to us French!Frankly I recommend 👍👍",0.9716,50,,['Street Food'],5.0
751,778,La Gastronomica Burgers,"Les burgers étaient vraiment très bon et les produits de bonne qualités (bœuf maturé, poulet cuisson lente etc…) et les quantités sont très bien aussi.
Le prix est très raisonnable.
Le personnel très accueillant et le serveur a fait l’effort de nous parler en Français...Plus",French,"The burgers were really very good and the products of good quality (matured beef, slow cooking chicken etc ...) and the quantities are very good too.
The price is very reasonable.
The very welcoming staff and the server made the effort to speak to us in French ... more",0.9275,50,avril 2022,['Street Food'],5.0
752,779,Desoriente,"Une expérience gustative hors du commun, chaque bouchée est un voyage. 
Bravo à toute l'équipe👏 L'accueil, l'ambiance,le service et les plats sont divins. Merci pour ce bon moment.
Une adresse à ne pas manquer!!!",French,"An extraordinary taste experience, each bite is a trip.
Bravo to the whole team👏 the welcome, the atmosphere, the service and the dishes are divine.Thank you for this good time.
An address not to be missed!!!",0.8458,50,December 2022,"['Asian', 'Japanese Fusion']",5.0
753,780,Desoriente,"Petit restaurant japonais proposant (pour la plupart) des plats végétariens. Tout est excellent et fait sur place. La fusion entre les makis/rolls et les légumes méditerranéen est top.

Gros coup de coeur pour les Gyozas qui sont juste excellent .
Ne pas hésiter, c'est à...goûter.Plus",French,"Small Japanese restaurant offering (mostly) vegetarian dishes.Everything is excellent and done on site.The merger between makis/rolls and Mediterranean vegetables is top.

Big crush on gyozas which are just excellent.
Do not hesitate, it is to ... taste.Plus",0.856,50,August 2022,"['Asian', 'Japanese Fusion']",5.0
754,781,Desoriente,"Nous avons passé une superbe soirée : très bonne cuisine, de qualité avec une équipe super sympa :) !",French,"We had a superb evening: very good kitchen, quality with a super nice team :)!",0.9358,50,August 2022,"['Asian', 'Japanese Fusion']",5.0
755,782,Desoriente,"Délicieux !! Tous les plats sont succulents et originaux (explosion de saveurs!!!), le lieu est grave stylé, le service au top... Nous reviendrons, c'est certain !!",French,"Delicious !!All the dishes are delicious and original (explosion of flavors !!!), the place is serious stylish, the service at the top ... we will come back, that's for sure !!",0.9283,50,August 2022,"['Asian', 'Japanese Fusion']",5.0
756,783,Desoriente,"Un restaurant à la déco superbe et aux serveurs et serveuses adorables avec une carte 100% vegan asiatique originale et très bien travaillée !
Mention spéciale pour le pad thaï qui été totalement dinguePlus",French,"A restaurant with superb decor and adorable waiters and waitresses with an original and very well worked Asian vegan card!
Special mention for the Thai pad which was completely crazy",0.906,50,,"['Asian', 'Japanese Fusion']",5.0
757,784,Desoriente,"La relation qualité-prix est très bonne, le service a été rapide et efficace et l'ambiance très beau et calme. Parfait pour une date ou un repas avec la famille.",French,"The value for money is very good, the service has been fast and efficient and the atmosphere very beautiful and calm.Perfect for a date or meal with the family.",0.9116,50,June 2022,"['Asian', 'Japanese Fusion']",5.0
758,785,BelleBuon,"Très bon, un incontournable à chaque fois que je viens sur Barcelone !
¡ Buenissima, cada vez !
Very good italian ! A must every time I go to Barcelona !",French,"Very good, a must every time I come to Barcelona!
¡Buenissima, Cada Vez!
Very Good Italian!A must every time i go to barcelona!",0.8203,50,February 2023,"['Italian', 'Neapolitan']",5.0
