level_0,index,Restaurant,Review original,Language,Translated Review,Compound,Rating,Date,Cuisine,Total Rating
8420,8627,Faire Brunch & Drinks,更多,Chinese,More,0.0,50,February 2023,['International'],5.0
8421,8628,Faire Brunch & Drinks,,Chinese,Into,0.0,50,February 2023,['International'],5.0
8422,8629,Faire Brunch & Drinks,,Chinese,Into,0.0,50,January 2023,['International'],5.0
8423,8630,Faire Brunch & Drinks,更多,Chinese,More,0.0,50,January 2023,['International'],5.0
8424,8631,Faire Brunch & Drinks,更多,Chinese,More,0.0,50,December 2022,['International'],5.0
8425,8632,Faire Brunch & Drinks,更多,Chinese,More,0.0,50,November 2022,['International'],5.0
8426,8633,Faire Brunch & Drinks,,Chinese,Into,0.0,50,November 2022,['International'],5.0
8427,8634,"Tino, esto no es una pizzería",新发现的宝藏餐厅！点外卖到家食物还很热，像刚从烤箱里拿出来。包装的设计也非常用心。一盒里面有四种不同口味，每一个口味都千差万别，又极具特色，最重要的是食材用的都特别新鲜。自制的柠檬汁也很好喝，我会推荐给我的朋友👍,Chinese,"Newly discovered treasure restaurant!The food at home is still very hot, just like it has just taken out of the oven.The design of the packaging is also very careful.There are four different flavors in a box. Each taste is very different and very distinctive. The most important thing is that the ingredients are particularly fresh.Homemade lemon juice is also very delicious, I will recommend it to my friends 👍",0.9451,50,April 2022,"['Italian', 'Pizza']",5.0
8428,8635,"Tino, esto no es una pizzería",在巴塞罗那这个能找到各种世界好吃的食物的地方，竟然有这种结合意大利披萨和Empanada的叫做tino的食品，外酥里柔，能感觉出食材非常新鲜，甜品也很赞。下单后很快就收到了，我们几个人都很喜欢吃，下次还会再来点其他的口味试试。,Chinese,"In Barcelona, a place that can find delicious foods in all kinds of worlds, there are even this kind of food called TINO combined with Italian pizza and Empanada. It can feel that the ingredients are very fresh and the desserts are very good.After placing an order, I received it quickly. A few of us liked to eat very much, and we will try some other flavors next time.",0.8439,50,January 2022,"['Italian', 'Pizza']",5.0
8429,8636,Lato Café - Breakfast Brunch y Ceviches,更多,Chinese,More,0.0,50,October 2022,"['Latin', 'South American']",5.0
8430,8637,Lato Café - Breakfast Brunch y Ceviches,,Chinese,Into,0.0,50,October 2022,"['Latin', 'South American']",5.0
8431,8638,Lato Café - Breakfast Brunch y Ceviches,更多,Chinese,More,0.0,50,September 2022,"['Latin', 'South American']",5.0
8432,8639,Lato Café - Breakfast Brunch y Ceviches,,Chinese,Into,0.0,50,September 2022,"['Latin', 'South American']",5.0
8433,8640,Lato Café - Breakfast Brunch y Ceviches,更多,Chinese,More,0.0,50,August 2022,"['Latin', 'South American']",5.0
8434,8641,Cremat Lounge,更多,Chinese,More,0.0,50,July 2022,"['American', 'International']",5.0
8435,8642,Dal Presidente Bar,地方就在附近，他们有美味的食物和优质的服务。希望很快会回来，附近没有很多优质的比萨。,Chinese,"The place is nearby, they have delicious food and high -quality services.I hope I will return soon, there are not many high -quality pizza nearby.",0.765,50,March 2020,"['Italian', 'Pizza']",5.0
