level_0,index,Restaurant,Review original,Language,Translated Review,Compound,Rating,Date,Cuisine,Total Rating
18052,18395,Faire Brunch & Drinks,"The Faire restaurant in Barcelona offers a delightful brunch experience that has something for everyone… who loves vegetarian food. From savory dishes like eggs Benedict, to sweet treats like cheesecakes and fruitbowls. you are sure to find something to satisfy your appetite.

The atmosphere is...both relaxed and inviting, and the staff is friendly and helpful. The decor is modern and stylish yet cozy, with plenty of comfortable seating. 
The food is of excellent quality and expertly prepared. The eggs Benedict that I had, is exceptionally tasty and cooked to perfection. The crepes are also delicious, with a variety of savory and sweet fillings to choose from. 
The drinks selection is also impressive. I am a kombucha fan, so I was happy with my tasteful rosemary, mint, lavender combination. 
Overall, the Faire is a great spot for brunch in Barcelona. The food is top-notch, the drinks are well-crafted, and the atmosphere is relaxed and inviting. Whether you're looking for a leisurely meal or a quick snack, the Faire is sure to please. And next to their customers, they’re also very earth friendly. So it’s a win-win for everyone!More",English,"The Faire restaurant in Barcelona offers a delightful brunch experience that has something for everyone… who loves vegetarian food. From savory dishes like eggs Benedict, to sweet treats like cheesecakes and fruitbowls. you are sure to find something to satisfy your appetite.

The atmosphere is...both relaxed and inviting, and the staff is friendly and helpful. The decor is modern and stylish yet cozy, with plenty of comfortable seating. 
The food is of excellent quality and expertly prepared. The eggs Benedict that I had, is exceptionally tasty and cooked to perfection. The crepes are also delicious, with a variety of savory and sweet fillings to choose from. 
The drinks selection is also impressive. I am a kombucha fan, so I was happy with my tasteful rosemary, mint, lavender combination. 
Overall, the Faire is a great spot for brunch in Barcelona. The food is top-notch, the drinks are well-crafted, and the atmosphere is relaxed and inviting. Whether you're looking for a leisurely meal or a quick snack, the Faire is sure to please. And next to their customers, they’re also very earth friendly. So it’s a win-win for everyone!More",0.9973,50,February 2023,['International'],5.0
18053,18396,Faire Brunch & Drinks,"Enjoyed a delicious brunch here. Chose the ‘Popeye’. Essentially eggs on spinach, avocado on the side. Not easy to make spinach flavoursome but whoever cooked this knew what they were doing. Came with toast on the side. Not just any toast. This was the perfect...grainy wholemeal, toasted to crispy perfection. 
Had a cuppa tea too. Wanted ordinary….not available here! Assam in a test tube to infuse no less. Big bowl of it, on a saucer with various trimmings such as a bit of honey on the spoon with some lavender just in case I wanted to stir it in. Other options on the saucer were a white chocolate button and mint leaf and was that a bit of cinnamon? There was clearly an artist on duty. 
My charming waiter didn’t bat an eyelid  when I asked for a little bit of cold milk on the side. At that point I hadn’t realised quite what I’d ordered so at least I didn’t feel too Philistine-like. 
Then there is the decor……retro heaven. Menu QRs on cassettes/Sophia Loren’s cookery book/flat cap on a hat stand etc. Loved the lighting in particular. 
Just one thing, as per usual
in Barcelona as I was solo I was directed to the area opposite the bar to perch on a stool. Why is this?  I’m not a bird I don’t want to perch. My request for a table was accommodated v courteously though - as was the request by a fellow. I did feel a bit apprehensive that a larger group might come in though and that I may have to move. 
Maybe they knew what they were doing though….I may have ended up staying overnight….the music is fab! I defy anyone not to enjoy it. 
Maybe fewer large tables? Maybe start a campaign against directing solo eaters to perches? This place exudes too much classy perfection for that. 
And, just to hit this point home, every bill paid means a tree is planted! 
Love this place. Only open Thurs-Sun according to the website. Whaaat?!More",English,"Enjoyed a delicious brunch here. Chose the ‘Popeye’. Essentially eggs on spinach, avocado on the side. Not easy to make spinach flavoursome but whoever cooked this knew what they were doing. Came with toast on the side. Not just any toast. This was the perfect...grainy wholemeal, toasted to crispy perfection. 
Had a cuppa tea too. Wanted ordinary….not available here! Assam in a test tube to infuse no less. Big bowl of it, on a saucer with various trimmings such as a bit of honey on the spoon with some lavender just in case I wanted to stir it in. Other options on the saucer were a white chocolate button and mint leaf and was that a bit of cinnamon? There was clearly an artist on duty. 
My charming waiter didn’t bat an eyelid  when I asked for a little bit of cold milk on the side. At that point I hadn’t realised quite what I’d ordered so at least I didn’t feel too Philistine-like. 
Then there is the decor……retro heaven. Menu QRs on cassettes/Sophia Loren’s cookery book/flat cap on a hat stand etc. Loved the lighting in particular. 
Just one thing, as per usual
in Barcelona as I was solo I was directed to the area opposite the bar to perch on a stool. Why is this?  I’m not a bird I don’t want to perch. My request for a table was accommodated v courteously though - as was the request by a fellow. I did feel a bit apprehensive that a larger group might come in though and that I may have to move. 
Maybe they knew what they were doing though….I may have ended up staying overnight….the music is fab! I defy anyone not to enjoy it. 
Maybe fewer large tables? Maybe start a campaign against directing solo eaters to perches? This place exudes too much classy perfection for that. 
And, just to hit this point home, every bill paid means a tree is planted! 
Love this place. Only open Thurs-Sun according to the website. Whaaat?!More",0.993,50,November 2021,['International'],5.0
18054,18397,Faire Brunch & Drinks,"Friendly management, very good food, vegetarian, with vegan alternatives. You can plant a tree by choosing the right option in the menu. Also, great music and a real espresso.",English,"Friendly management, very good food, vegetarian, with vegan alternatives. You can plant a tree by choosing the right option in the menu. Also, great music and a real espresso.",0.8883,50,February 2023,['International'],5.0
18055,18398,Faire Brunch & Drinks,"The food was just amazing! We ordered the croissant Benedict’s and the pancakes. The staff is super friendly and the place looks great, super cozy!",English,"The food was just amazing! We ordered the croissant Benedict’s and the pancakes. The staff is super friendly and the place looks great, super cozy!",0.9661,50,February 2023,['International'],5.0
18056,18399,Faire Brunch & Drinks,Two big avocado toasts with some salad plus decent size of green smoothie made the visit worthwhile!,English,Two big avocado toasts with some salad plus decent size of green smoothie made the visit worthwhile!,0.4003,50,February 2023,['International'],5.0
18057,18400,Faire Brunch & Drinks,"I got a glowing recommendation to go here from a friend and I was thoroughly impressed with my experience. The atmosphere was cozy and inviting, with a mixture of vintage and modern décor and the service was warm and friendly. The menu offered a nice...selection of brunch favourites and I decided to go with the avocado toast and tofu scramble with a side salad. It was a generous portion, but the meal didn’t feel heavy, and it was all really fresh and tasty. I also tried an Upraising coffee with active mushrooms and nootropics. Everything was soooo good. Overall, I highly recommend this brunch spot. The food was excellent, the service was great, and the atmosphere was enjoyable. I will definitely be back for another brunch in the future.More",English,"I got a glowing recommendation to go here from a friend and I was thoroughly impressed with my experience. The atmosphere was cozy and inviting, with a mixture of vintage and modern décor and the service was warm and friendly. The menu offered a nice...selection of brunch favourites and I decided to go with the avocado toast and tofu scramble with a side salad. It was a generous portion, but the meal didn’t feel heavy, and it was all really fresh and tasty. I also tried an Upraising coffee with active mushrooms and nootropics. Everything was soooo good. Overall, I highly recommend this brunch spot. The food was excellent, the service was great, and the atmosphere was enjoyable. I will definitely be back for another brunch in the future.More",0.9919,50,February 2023,['International'],5.0
18058,18401,Faire Brunch & Drinks,Delicious healthy food. Super pretty and the waitress so lovely nice and good looking!:D I will come again.,English,Delicious healthy food. Super pretty and the waitress so lovely nice and good looking!:D I will come again.,0.9767,50,January 2023,['International'],5.0
18059,18402,Faire Brunch & Drinks,This place was so nice! I went for lunch and had the Avacado and beetroot toast it was amazing! Then I had a slice of vegan banana bread and that was also incredible could not tell it was vegan at all :)))) I would recommend...for lunch/brunch!!!More,English,This place was so nice! I went for lunch and had the Avacado and beetroot toast it was amazing! Then I had a slice of vegan banana bread and that was also incredible could not tell it was vegan at all :)))) I would recommend...for lunch/brunch!!!More,0.8619,50,January 2023,['International'],5.0
18060,18403,Faire Brunch & Drinks,"This was the best brunch by far, fresh ingredients and amazing presentation! Will definitely visit again. 
Staff were super friendly and helpful.",English,"This was the best brunch by far, fresh ingredients and amazing presentation! Will definitely visit again. 
Staff were super friendly and helpful.",0.9726,50,January 2023,['International'],5.0
18061,18404,Faire Brunch & Drinks,"Lovely location, food was delicious and the staff very friendly and all were speaking english! Didnt expect this to be so lovely, interior had a nice design and food came Fast and very tasty ! 
Would definetely recomend and would come again if ever in...barcelona again!More",English,"Lovely location, food was delicious and the staff very friendly and all were speaking english! Didnt expect this to be so lovely, interior had a nice design and food came Fast and very tasty ! 
Would definetely recomend and would come again if ever in...barcelona again!More",0.9663,50,December 2022,['International'],5.0
18062,18405,Faire Brunch & Drinks,Amazing menu in a great decorated atmosphere and lovely music! You should definitely try avocado toast and delicious coffee that you may fall in love❣️,English,Amazing menu in a great decorated atmosphere and lovely music! You should definitely try avocado toast and delicious coffee that you may fall in love❣️,0.9606,50,December 2022,['International'],5.0
18063,18406,Faire Brunch & Drinks,Great hospitality and perfect taste... The presentation of the food was very good. Thanks a lot to the chef and the staff.,English,Great hospitality and perfect taste... The presentation of the food was very good. Thanks a lot to the chef and the staff.,0.9345,50,November 2022,['International'],5.0
18064,18407,Faire Brunch & Drinks,"The place with the beautiful interior and delicious food, what is a really rare wonderful mix in the touristic cities! 

Amazing cozy atmosphere. Even in a rainy weather the mood here is inspirational and positive. Of course, thanks to the attentive, polite and professional staff!...Thank you!
Highly recommended!!

Can not add the photos of the dishes, as all of them were eat before the review;)More",English,"The place with the beautiful interior and delicious food, what is a really rare wonderful mix in the touristic cities! 

Amazing cozy atmosphere. Even in a rainy weather the mood here is inspirational and positive. Of course, thanks to the attentive, polite and professional staff!...Thank you!
Highly recommended!!

Can not add the photos of the dishes, as all of them were eat before the review;)More",0.982,50,November 2022,['International'],5.0
18065,18408,Faire Brunch & Drinks,"This place has an amazing brunch! The service is fantastic, the owner and waiters are super friendly and kind! The food is tasty, also vegan options available!",English,"This place has an amazing brunch! The service is fantastic, the owner and waiters are super friendly and kind! The food is tasty, also vegan options available!",0.9627,50,November 2022,['International'],5.0
18066,18409,Faire Brunch & Drinks,Perfect place perfect meals perfect staff best place i visited for brunch in barcelona. You should try vegan bacon it has the same taste,English,Perfect place perfect meals perfect staff best place i visited for brunch in barcelona. You should try vegan bacon it has the same taste,0.946,50,November 2022,['International'],5.0
18067,18410,"Tino, esto no es una pizzería","Very good food at a very good price and very kind seller. For those who are vegans, you can enter without a problem because they have options",English,"Very good food at a very good price and very kind seller. For those who are vegans, you can enter without a problem because they have options",0.9069,50,February 2023,"['Italian', 'Pizza']",5.0
18068,18411,"Tino, esto no es una pizzería","I love the concept of Tino. Not a pizza, not an empanada, not a burrito. Genius. I ordered 4 of them and they were all so good, but my favorite one was the Tacotino. Delicious. The Oreo mousse and the lemonade were so good too,...you can tell they're homemade. I loved it!More",English,"I love the concept of Tino. Not a pizza, not an empanada, not a burrito. Genius. I ordered 4 of them and they were all so good, but my favorite one was the Tacotino. Delicious. The Oreo mousse and the lemonade were so good too,...you can tell they're homemade. I loved it!More",0.9794,50,February 2023,"['Italian', 'Pizza']",5.0
