level_0,index,Restaurant,Review original,Language,Translated Review,Compound,Rating,Date,Cuisine,Total Rating
1444,1491,La Gastronomica Burgers,"Een heel gezellig restaurantje, met een heel goede service en vooral heel erg lekkere hamburgers. We werden zeer gastvrij ontvangen en goed bediend . De manager vond het gezellig om een praatje met ons te maken omdat hij aangaf Nederlandse gasten erg leuk te vinden....Meer",Dutch,"A very nice restaurant, with a very good service and especially very tasty hamburgers.We were received very hospitably and served well.The manager enjoyed having a chat with us because he said he would like Dutch guests very much .... more",0.9019,50,,['Street Food'],5.0
1445,1492,La Gastronomica Burgers,Zalige burgers en een zeer leuke en vlotte bediening. Gezellig plekje met een kleinere kaart maar toch genoeg opties voor iedereen (vegetarisch etc) en je kan zelf nog dingen veranderen aan de burgers als je wil. Als Belg een Stella terugvinden op restaurant is altijd...een toppertje 😉 Prijs-kwaliteit ook super! De pulled pork is zeker een aanrader!Meer,Dutch,Blessed burgers and a very nice and smooth service.Cozy place with a smaller menu but still enough options for everyone (vegetarian etc) and you can still change things to the burgers if you want.If Belgian find a Stella on a restaurant is always ... a winner 😉 Price-quality also super!The pulled pork is definitely recommended! More,0.9435,50,February 2023,['Street Food'],5.0
1446,1493,La Gastronomica Burgers,"Klein restaurant met enthousiaste eigenaar en dito bediening. Zeker de moeite waard om langs te gaan voor een topburger (met blauwe kaas). Beperkt menu met alleen burgers, maar voor echte liefhebber een must. Eigenaar kent twee Nederlandse woorden: Gruwelijk lekker! en dat klopt helemaal.",Dutch,"Small restaurant with enthusiastic owner and service.Definitely worthwhile to visit a top burger (with blue cheese).Limited menu with only citizens, but a must for real enthusiasts.Owner has two Dutch words: horribly tasty!And that is completely true.",0.4645,50,October 2022,['Street Food'],5.0
1447,1494,La Gastronomica Burgers,"Hierheen gegaan net als alle Tripadvisor foodies omdat de beoordeling zo bizar hoog is. 
Inderdaad klein restaurant, maar de burger was super, netjes medium rare zoals gewenst. Bediening ook erg enthousiast. 
Ga er weer heen.",Dutch,"Going here just like all Tripadvisor Foodies because the assessment is so bizarre high.
Indeed a small restaurant, but the burger was super, neat medium weird as desired.Service also very enthusiastic.
Go there again.",0.9299,50,,['Street Food'],5.0
1448,1495,La Gastronomica Burgers,Nav revieuws opgezocht en er is niks teveel gezegd. Super enthousiaste bediening en gruwlijk lekker!,Dutch,Looked up navrieuws and nothing too much has been said.Super enthusiastic service and horribly tasty!,-0.126,50,,['Street Food'],5.0
1449,1496,La Gastronomica Burgers,Heel gezellig restaurant. Echt de lekkerste burgers die wij ooit hebben gegeten. Super vriendelijk personeel. Als je naar Barcelona gaat dan moet je hier zeker gaan eten!,Dutch,Very cozy restaurant.Really the tastiest burgers we have ever eaten.Super friendly staff.If you go to Barcelona then you should definitely eat here!,0.7345,50,augustus 2022,['Street Food'],5.0
1450,1497,La Gastronomica Burgers,"Heerlijk klein tentje met goede burgers en lekkere drankjes maar ook super attente bediening.
Echt genoten met 6 man",Dutch,"Wonderfully small tent with good burgers and tasty drinks but also super attentive service.
Really enjoyed with 6 men",0.9397,50,,['Street Food'],5.0
1451,1498,La Gastronomica Burgers,"Aangetrokken door de hoge rating op Tripadvisor ging ik hier alleen naar toe. De bediening geeft een fijne uitleg over de bereidingswijze die het water al in de mond brengt. Ik ging voor de Pulled pork burger en die stelde niet teleur. Heerlijk! 

Het is...een klein restaurant en ik zat aan een tafeltje langs de straat. Het geeft wat ""streetfood vibes"". Erg fijn! Ik kom zeker terug bij mijn volgende bezoek aan Barcelona.Meer",Dutch,"Attracted by the high rating on TripAdvisor I went here alone.The service provides a fine explanation about the preparation method that the water already puts into the mouth.I went for the Pulled Pork Burger and he did not disappoint.Delicious!

It is ... a small restaurant and I sat at a table along the street.It gives some ""street food vibes"".Very nice!I will definitely be back at my next visit to Barcelona",0.7835,50,July 2022,['Street Food'],5.0
1452,1499,La Gastronomica Burgers,"Vriendelijke en snelle bediening, lekkere hamburgers en suggestie die nog niet op de kaart stond (kip burger). Sterk aanbevolen.",Dutch,"Friendly and fast service, tasty hamburgers and suggestion that was not yet on the menu (chicken burger).Strongly recommended.",0.6124,40,February 2022,['Street Food'],5.0
1453,1500,La Gastronomica Burgers,Onwijs leuk restaurant met super leuke bediening. Het eten was werkelijk fantastisch en in zijn totaliteit een ervaring om niet meer te vergeten,Dutch,Very nice restaurant with super nice service.The food was really fantastic and in its totality an experience not to forget anymore,0.9397,50,,['Street Food'],5.0
1454,1501,La Gastronomica Burgers,"Ik wil meer bolletjes inkleuren dan vijf, dit was echt top (tapas) heerlijk gegeten!! Het interieur is uitnodigend en vriendelijk sprekend Engels personeel. Prijs is laag en kwaliteit echt hoog. 

De recensies en foto’s bekeken via TripAdvisor. Voordat de voetbalwedstrijd begon en we naar het...Meer",Dutch,"I want to color more balls than five, this was really great (tapas) delicious ate !!The interior is inviting and friendly speaking English staff.Price is low and quality really high.

The reviews and photos viewed via TripAdvisor.Before the football match started and we go to it ... more",0.9279,50,september 2019,['Street Food'],5.0
1455,1502,La Gastronomica Burgers,"Écht een aanrader!
De betere tapas, heerlijk op elkaar afgestemde smaken!
En ontzettende vriendelijke en gedreven bediening!",Dutch,"Really recommended!
The better tapas, wonderfully coordinated flavors!
And incredibly friendly and driven service!",0.9264,50,,['Street Food'],5.0
1456,1503,Desoriente,Meer,Dutch,More,0.0,50,February 2023,"['Asian', 'Japanese Fusion']",5.0
1457,1504,Desoriente,,Dutch,Into,0.0,50,January 2023,"['Asian', 'Japanese Fusion']",5.0
1458,1505,Desoriente,Meer,Dutch,More,0.0,50,,"['Asian', 'Japanese Fusion']",5.0
1459,1506,Desoriente,Meer,Dutch,More,0.0,50,,"['Asian', 'Japanese Fusion']",5.0
1460,1507,BelleBuon,N.a.v de goede rating op TripAdvisor hier terecht gekomen. Super vriendelijk personeel dat aan tafel een uitleg komt geven over de menu. Suggestie van de tagliatelle met truffel genomen en geen seconde spijt van gehad. Ook het voorgerecht en dessert waren zeer goed. Afgesloten met...een gratis limoncello.Meer,Dutch,N.a.v de Goede Rating ended up here on TripAdvisor.Super friendly staff at the table give an explanation about the menu.Suggestion of the tagliatelle taken with truffle and never regretted a second.The starter and dessert were also very good.Closed with ... a free limoncello.meer,0.8264,50,,"['Italian', 'Neapolitan']",5.0
1461,1508,BelleBuon,Heel vriendelijk personeel! Het eten was overheerlijk. We aten verse pasta met heerlijke sauzen. Het smaakte net zoals in Italië! Zeker een aanrader!!,Dutch,Very friendly staff!The food was delicious.We ate fresh pasta with delicious sauces.It tasted just like in Italy!Highly recommended!!,0.932,50,september 2022,"['Italian', 'Neapolitan']",5.0
1462,1509,BelleBuon,"Was heel lekker, zelf gemaakt pasta en lasagne echt heel goed. En de bediening heel aardig denken helemaal met je mee",Dutch,"Was very tasty, self -made pasta and lasagna really very good.And the service very nice to think with you",0.4754,50,,"['Italian', 'Neapolitan']",5.0
1463,1510,BelleBuon,"Bezocht na de commentaren op tripadvisor te lezen . Het restaurant loste alle verwachtingen in , TOP restaurant ! Vriendelijk personeel en heel lekker eten .",Dutch,"Visited to read on TripAdvisor after the comments.The restaurant solved all the expectations, Top Restaurant!Friendly staff and very good food.",0.7495,50,,"['Italian', 'Neapolitan']",5.0
