level_0,index,Restaurant,Review original,Language,Translated Review,Compound,Rating,Date,Cuisine,Total Rating
0,0,La Gastronomica Burgers,Muss man mal gegessen haben. Die Burger sind fantastisch!!! Der Inhaber super freundlich. Wir wurden in kleinster Weise enttäuscht,German,You have to have eaten.The burgers are fantastic !!!The owner super friendly.We were disappointed in the smallest way,0.7412,50,November 2022,['Street Food'],5.0
1,1,La Gastronomica Burgers,"Traumhaft! Höchste Qualität und ein ganz toller Service!
Viel bessere Burger wie erwartet!!!
Unbedingt pullet pork ausprobieren",German,"Fantastic!The highest quality and a great service!
Much better burgers as expected !!!
Be sure to try pullet pork",0.8877,50,November 2022,['Street Food'],5.0
2,2,La Gastronomica Burgers,Die Burger haben alle unsere Erwartungen übertroffen. Der Chicken Burger hat sich als eine sehr gute Wahl herausgestellt und zusammen mit dem mehr als zuvorkommenden Personal einen wunderschönen Abend ermöglicht. Wir werden auf jeden Fall wieder kommen!,German,"The burgers have exceeded all of our expectations.The Chicken Burger has turned out to be a very good choice and, together with the more than courteous staff, made it possible for a wonderful evening.We will come back in any case!",0.8948,50,November 2022,['Street Food'],5.0
3,3,La Gastronomica Burgers,Amazing!! Einer der besten Burger die ich je hatte. Personal mega freundlich kommen sicher wider einmal obwohl ich kein Burger fan bin,German,"Amazing !!One of the best burgers I've ever had.Personal mega kindly come against once, even though I am not a burger fan",0.8962,50,October 2022,['Street Food'],5.0
4,4,La Gastronomica Burgers,Sehr leckere Burger zu erschwinglichen Preisen. Pulled Pork wärmstens zu empfehlen. Lokal ist sehr schön eingerichtet und das Personal ist äußerst zuvorkommend.,German,Very delicious burgers at affordable prices.Pulled pork highly recommended.Local is very nicely decorated and the staff is extremely accommodating.,0.8012,50,October 2022,['Street Food'],5.0
5,5,La Gastronomica Burgers,"Essen war sehr gut und frisch, Personal sehr freundlich und hilft bei der Übersetzung der Speisekarte. Karte ist zwar sehr klein, aber es gibt zu jedem Bruger Pommes oder wahlweise Kartoffelecken dazu.",German,"Food was very good and fresh, staff very friendly and helps translate the menu.Card is very small, but there are every bruger fries or optionally potato corners.",0.7233,40,June 2022,['Street Food'],5.0
6,6,La Gastronomica Burgers,Sehr netter Kellner! Sehr gute Burger ! Guter Service! Leckeres Bier! Es hat an nichts gefehlt. Auch der Preis war sehr günstig 😊,German,Very nice waiter!Very good burger!Good service!Delicious beer!There was nothing missing.The price was also very cheap 😊,0.8139,50,February 2022,['Street Food'],5.0
7,7,La Gastronomica Burgers,"Top Burger, Top Service - Lohnt sich!

Wir hatten den Pulled Pork Burger & es ist einer der besten Burger, die ich je gegessen habe.",German,"Top burger, top service - is worth it!

We had the Pulled Pork Burger & it is one of the best burgers I've ever eaten.",0.8398,50,January 2022,['Street Food'],5.0
8,8,La Gastronomica Burgers,"Dieses Restaurant ist absolut zu tun während eines Besuchs in Barcelona, wir hatten die Speisekarte genommen, wir entdeckten neue Aromen, eine neue Art zu kochen, schöne Dekoration,",German,"This restaurant is absolutely to be done during a visit to Barcelona, we had taken the menu, we discovered new aromas, a new way of cooking, beautiful decoration,",0.5994,50,January 2020,['Street Food'],5.0
9,9,La Gastronomica Burgers,"Wahnsinnig gutes Essen, kleine Tapas Bar, sehr nettes Personal, nur die Portionen etwas klein

kklklkleineinfacheinfach mehr",German,"Insanely good food, small tapas bar, very nice staff, only the portions a bit small

KKLKLKLINEFICHT more",0.7178,40,October 2019,['Street Food'],5.0
