level_0,index,Restaurant,Review original,Language,Translated Review,Compound,Rating,Date,Cuisine,Total Rating
7271,7478,Faire Brunch & Drinks,"The Faire restaurant in Barcelona offers a delightful brunch experience that has something for everyone… who loves vegetarian food. From savory dishes like eggs Benedict, to sweet treats like cheesecakes and fruitbowls. you are sure to find something to satisfy your appetite.

The atmosphere is...both relaxed and inviting, and the staff is friendly and helpful. The decor is modern and stylish yet cozy, with plenty of comfortable seating. 
The food is of excellent quality and expertly prepared. The eggs Benedict that I had, is exceptionally tasty and cooked to perfection. The crepes are also delicious, with a variety of savory and sweet fillings to choose from. 
The drinks selection is also impressive. I am a kombucha fan, so I was happy with my tasteful rosemary, mint, lavender combination. 
Overall, the Faire is a great spot for brunch in Barcelona. The food is top-notch, the drinks are well-crafted, and the atmosphere is relaxed and inviting. Whether you're looking for a leisurely meal or a quick snack, the Faire is sure to please. And next to their customers, they’re also very earth friendly. So it’s a win-win for everyone!More",Hindi,"The Faire restaurant in Barcelona offers a delightful brunch experience that has something for everyone… who loves vegetarian food. From savory dishes like eggs Benedict, to sweet treats like cheesecakes and fruitbowls. you are sure to find something to satisfy your appetite.

The atmosphere is...both relaxed and inviting, and the staff is friendly and helpful. The decor is modern and stylish yet cozy, with plenty of comfortable seating. 
The food is of excellent quality and expertly prepared. The eggs Benedict that I had, is exceptionally tasty and cooked to perfection. The crepes are also delicious, with a variety of savory and sweet fillings to choose from. 
The drinks selection is also impressive. I am a kombucha fan, so I was happy with my tasteful rosemary, mint, lavender combination. 
Overall, the Faire is a great spot for brunch in Barcelona. The food is top-notch, the drinks are well-crafted, and the atmosphere is relaxed and inviting. Whether you're looking for a leisurely meal or a quick snack, the Faire is sure to please. And next to their customers, they’re also very earth friendly. So it’s a win-win for everyone!More",0.9973,50,February 2023,['International'],5.0
7272,7479,Faire Brunch & Drinks,"Enjoyed a delicious brunch here. Chose the ‘Popeye’. Essentially eggs on spinach, avocado on the side. Not easy to make spinach flavoursome but whoever cooked this knew what they were doing. Came with toast on the side. Not just any toast. This was the perfect...grainy wholemeal, toasted to crispy perfection. 
Had a cuppa tea too. Wanted ordinary….not available here! Assam in a test tube to infuse no less. Big bowl of it, on a saucer with various trimmings such as a bit of honey on the spoon with some lavender just in case I wanted to stir it in. Other options on the saucer were a white chocolate button and mint leaf and was that a bit of cinnamon? There was clearly an artist on duty. 
My charming waiter didn’t bat an eyelid  when I asked for a little bit of cold milk on the side. At that point I hadn’t realised quite what I’d ordered so at least I didn’t feel too Philistine-like. 
Then there is the decor……retro heaven. Menu QRs on cassettes/Sophia Loren’s cookery book/flat cap on a hat stand etc. Loved the lighting in particular. 
Just one thing, as per usual
in Barcelona as I was solo I was directed to the area opposite the bar to perch on a stool. Why is this?  I’m not a bird I don’t want to perch. My request for a table was accommodated v courteously though - as was the request by a fellow. I did feel a bit apprehensive that a larger group might come in though and that I may have to move. 
Maybe they knew what they were doing though….I may have ended up staying overnight….the music is fab! I defy anyone not to enjoy it. 
Maybe fewer large tables? Maybe start a campaign against directing solo eaters to perches? This place exudes too much classy perfection for that. 
And, just to hit this point home, every bill paid means a tree is planted! 
Love this place. Only open Thurs-Sun according to the website. Whaaat?!More",Hindi,"Enjoyed a delicious brunch here. Chose the ‘Popeye’. Essentially eggs on spinach, avocado on the side. Not easy to make spinach flavoursome but whoever cooked this knew what they were doing. Came with toast on the side. Not just any toast. This was the perfect...grainy wholemeal, toasted to crispy perfection. 
Had a cuppa tea too. Wanted ordinary….not available here! Assam in a test tube to infuse no less. Big bowl of it, on a saucer with various trimmings such as a bit of honey on the spoon with some lavender just in case I wanted to stir it in. Other options on the saucer were a white chocolate button and mint leaf and was that a bit of cinnamon? There was clearly an artist on duty. 
My charming waiter didn’t bat an eyelid  when I asked for a little bit of cold milk on the side. At that point I hadn’t realised quite what I’d ordered so at least I didn’t feel too Philistine-like. 
Then there is the decor……retro heaven. Menu QRs on cassettes/Sophia Loren’s cookery book/flat cap on a hat stand etc. Loved the lighting in particular. 
Just one thing, as per usual
in Barcelona as I was solo I was directed to the area opposite the bar to perch on a stool. Why is this?  I’m not a bird I don’t want to perch. My request for a table was accommodated v courteously though - as was the request by a fellow. I did feel a bit apprehensive that a larger group might come in though and that I may have to move. 
Maybe they knew what they were doing though….I may have ended up staying overnight….the music is fab! I defy anyone not to enjoy it. 
Maybe fewer large tables? Maybe start a campaign against directing solo eaters to perches? This place exudes too much classy perfection for that. 
And, just to hit this point home, every bill paid means a tree is planted! 
Love this place. Only open Thurs-Sun according to the website. Whaaat?!More",0.993,50,,['International'],5.0
7273,7480,Faire Brunch & Drinks,"Friendly management, very good food, vegetarian, with vegan alternatives. You can plant a tree by choosing the right option in the menu. Also, great music and a real espresso.",Hindi,"Friendly management, very good food, vegetarian, with vegan alternatives. You can plant a tree by choosing the right option in the menu. Also, great music and a real espresso.",0.8883,50,,['International'],5.0
7274,7481,Faire Brunch & Drinks,"The food was just amazing! We ordered the croissant Benedict’s and the pancakes. The staff is super friendly and the place looks great, super cozy!",Hindi,"The food was just amazing! We ordered the croissant Benedict’s and the pancakes. The staff is super friendly and the place looks great, super cozy!",0.9661,50,February 2023,['International'],5.0
7275,7482,Faire Brunch & Drinks,Two big avocado toasts with some salad plus decent size of green smoothie made the visit worthwhile!,Hindi,Two big avocado toasts with some salad plus decent size of green smoothie made the visit worthwhile!,0.4003,50,February 2023,['International'],5.0
7276,7483,Faire Brunch & Drinks,"I got a glowing recommendation to go here from a friend and I was thoroughly impressed with my experience. The atmosphere was cozy and inviting, with a mixture of vintage and modern décor and the service was warm and friendly. The menu offered a nice...selection of brunch favourites and I decided to go with the avocado toast and tofu scramble with a side salad. It was a generous portion, but the meal didn’t feel heavy, and it was all really fresh and tasty. I also tried an Upraising coffee with active mushrooms and nootropics. Everything was soooo good. Overall, I highly recommend this brunch spot. The food was excellent, the service was great, and the atmosphere was enjoyable. I will definitely be back for another brunch in the future.More",Hindi,"I got a glowing recommendation to go here from a friend and I was thoroughly impressed with my experience. The atmosphere was cozy and inviting, with a mixture of vintage and modern décor and the service was warm and friendly. The menu offered a nice...selection of brunch favourites and I decided to go with the avocado toast and tofu scramble with a side salad. It was a generous portion, but the meal didn’t feel heavy, and it was all really fresh and tasty. I also tried an Upraising coffee with active mushrooms and nootropics. Everything was soooo good. Overall, I highly recommend this brunch spot. The food was excellent, the service was great, and the atmosphere was enjoyable. I will definitely be back for another brunch in the future.More",0.9919,50,,['International'],5.0
7277,7484,Faire Brunch & Drinks,Delicious healthy food. Super pretty and the waitress so lovely nice and good looking!:D I will come again.,Hindi,Delicious healthy food. Super pretty and the waitress so lovely nice and good looking!:D I will come again.,0.9767,50,January 2023,['International'],5.0
7278,7485,Faire Brunch & Drinks,This place was so nice! I went for lunch and had the Avacado and beetroot toast it was amazing! Then I had a slice of vegan banana bread and that was also incredible could not tell it was vegan at all :)))) I would recommend...for lunch/brunch!!!More,Hindi,This place was so nice! I went for lunch and had the Avacado and beetroot toast it was amazing! Then I had a slice of vegan banana bread and that was also incredible could not tell it was vegan at all :)))) I would recommend...for lunch/brunch!!!More,0.8619,50,January 2023,['International'],5.0
7279,7486,Faire Brunch & Drinks,"This was the best brunch by far, fresh ingredients and amazing presentation! Will definitely visit again. 
Staff were super friendly and helpful.",Hindi,"This was the best brunch by far, fresh ingredients and amazing presentation! Will definitely visit again. 
Staff were super friendly and helpful.",0.9726,50,January 2023,['International'],5.0
7280,7487,Faire Brunch & Drinks,"Lovely location, food was delicious and the staff very friendly and all were speaking english! Didnt expect this to be so lovely, interior had a nice design and food came Fast and very tasty ! 
Would definetely recomend and would come again if ever in...barcelona again!More",Hindi,"Lovely location, food was delicious and the staff very friendly and all were speaking english! Didnt expect this to be so lovely, interior had a nice design and food came Fast and very tasty ! 
Would definetely recomend and would come again if ever in...barcelona again!More",0.9663,50,December 2022,['International'],5.0
