level_0,index,Restaurant,Review original,Language,Translated Review,Compound,Rating,Date,Cuisine,Total Rating
1099,1126,La Gastronomica Burgers,"Locale alquanto piccolo ma ben arredato stile industrial, si presta bene per una cena informale tra amici. 
Gli hamburgers erano veramente ottimi, il grado di cottura della carne era rispettato egregiamente ( ce l'hanno chiesto insieme all'ordine) e tutti i sapori erano amalgamati sapientemente.
Personale...simpatico e alla mano, disponibile ma senza affrettarti.
Prezzo nella media, ottimo se si conta la qualità che portano.

Location: 7/10
Menu: 7/10
Servizio: 8.5/10
Conto: 7.5/10
Opinione soggettiva: 8.5/10

Totale: 77/100Più",Italian,"A somewhat small but well -furnished industrial style, it is well suited for an informal dinner with friends.
The hamburgers were really excellent, the degree of cooking of the meat was respected very well (they asked us together with the order) and all the flavors were wisely mixed.
Staff ... nice and hand, available but without hurrying.
Average price, excellent if you count the quality they bring.

Location: 7/10
Menu: 7/10
Service: 8.5/10
Account: 7.5/10
Subjective opinion: 8.5/10

Total: 77/100più",0.9904,50,February 2023,['Street Food'],5.0
1100,1127,La Gastronomica Burgers,"Panini veramente buonissimi, qualità della carne ottima. Personale gentilissimo e molto simpatico.
Prezzi ottimi
Consigliatissimo",Italian,"Truly delicious sandwiches, excellent quality of meat.Very kind and very nice staff.
Great prices
Highly recommended",0.9728,50,February 2023,['Street Food'],5.0
1101,1128,La Gastronomica Burgers,"Hamburger di ottima qualità,  servizio impeccabile. Sempre nel vostro stile...""gastronomico""
Torneremo anche alla burger,  oltre che al ristorante",Italian,"Excellent quality hamburgers, impeccable service.Always in your style ... ""gastronomic""
We will also return to the Burger, as well as at the restaurant",0.7003,50,December 2022,['Street Food'],5.0
1102,1129,La Gastronomica Burgers,"Sono venuto con la mia famiglia per cenare mercoledì sera, il cibo è veramente ottimo la carne degli hamburger (al sangue) aveva la consistenza del burro.
Le patatine buone con salse home Made a scelta ho provato sia fritte che al forno niente di speciale...ma comunque molto gustose.
Pezzo forte il dolce: i tortini, caldi accompagnati col gelato da leccarsi i baffi, crema al formaggio lèggerà e sfiziosa.
Il ragazzo che segue i tavoli è veramente formidabile.
Inutile dire che siamo tornati anche di giovedì.Più",Italian,"I came with my family to have dinner on Wednesday evening, the food is really excellent the meat of the hamburgers (to the blood) had the consistency of the butter.
The good chips with home made sauces of your choice I tried both fried and in the oven nothing special ... but still very tasty.
The dessert was strong: the cakes, hot accompanied with the whisker to lick the mustache, cheese cream will lèggia and delicious.
The boy who follows the tables is truly formidable.
Needless to say, we also returned on Thursday.",0.9529,50,,['Street Food'],5.0
1103,1130,La Gastronomica Burgers,"Tutto molto buono. Il personale gentilissimo ed estremamente disponibile. Posto consigliatissimo.
Il locale è accogliente e confortevole. Sembra di stare nella taverna di casa propria",Italian,"All very good.The very kind and extremely helpful staff.Highly recommended place.
The place is welcoming and comfortable.It seems to be in the tavern of your own home",0.9004,50,December 2022,['Street Food'],5.0
1104,1131,La Gastronomica Burgers,"Prima sera a Barcellona, avevamo voglia di un hamburger. Credo di aver mangiato il miglior hamburger di sempre! Locale piccolo ma con tutto l’essenziale. Personale cordiale. Davvero complimenti. Una sorpresa inaspettata!
Consigliatissimo!
Stany e Federica da Milano, Italy",Italian,"First evening in Barcelona, we wanted a hamburger.I think I ate the best hamburger ever!Small place but with all the essential.Friendly staff.Really congratulations.An unexpected surprise!
Highly recommended!
Stany and Federica from Milan, Italy",0.8301,50,November 2022,['Street Food'],5.0
1105,1132,La Gastronomica Burgers,"Ottimi hamburger,ingredienti di qualità,il proprietario molto simpatico e accogliente,ha fatto di tutto x metterci a nostro agio,nonostante i posti all’interno fossero esauriti ed era libero solo un tavolo adiacente alla strada molto trafficata.Accoglienza e panini super",Italian,"Excellent hamburgers, quality ingredients, the very nice and welcoming owner, made everything of us to put us at ease, despite the places inside were exhausted and only a table adjacent to the very busy road was free. Welcoming and super sandwiches",0.9641,50,June 2022,['Street Food'],5.0
1106,1133,La Gastronomica Burgers,"Panino eccezionale veramente, ho bevuto una birra rossa spagnola e un tortino di mandorle con gelato alla vaniglia tutto consigliato da Joel, persona educata gentile e sorridente. Era tutto squisito prezzi onestissimi… consigliatissimo…",Italian,"Really exceptional sandwich, I drank a Spanish red beer and a almond cake with vanilla ice cream all recommended by Joel, a gentle and smiling educated person.It was all exquisite honest prices ... highly recommended ...",0.8957,50,November 2022,['Street Food'],5.0
1107,1134,La Gastronomica Burgers,Hamburger e patatine squisiti. Forse i più buoni mai mangiati. Il locale é molto piccolo e forse è il suo punto forte in quanto facendo pochi coperti riescono a tenere uno standard molto elevato. Il ragazzo che ci ha accolto super gentile e disponibile. Molto...Più,Italian,Exquisite burgers and chips.Maybe the best ever eaten.The place is very small and perhaps it is its strong point as making few covers manage to keep a very high standard.The boy who welcomed us super kind and helpful.Much more,0.9531,50,,['Street Food'],5.0
1108,1135,La Gastronomica Burgers,"Ho cercato di web un posto dove andare a mangiare un hamburger a prezzo giusto.
Giusto per me non è mc Donald's, perché non piace per gusto e qualità, ma comunque da non spendere molto.
Il risultato è stato oltre le aspettative.
Andateci....",Italian,"I tried from web a place to go to eat a hamburger at the right price.
Just for me it's not Mc Donald's, because you don't like it for taste and quality, but still not to spend a lot.
The result was beyond expectations.
Go there ....",-0.1419,50,,['Street Food'],5.0
