level_0,index,Restaurant,Review original,Language,Translated Review,Compound,Rating,Date,Cuisine,Total Rating
2458,2505,La Gastronomica Burgers,"Çalışanlar çok kibar ve ilgili, hamburgerler zaten harikaydı. Bir arkadaşımızın tavsiyesi üzerine 40 dakika yürüyerek ulaştık ama kesinlikle değdi. Barcelona'ya geldiğinizde buraya uğramanızı tavsiye ederim, eşim de vejeteryan olanı yedi ve o da çok beğendi.",Turkish,"The employees were very polite and concerned, the hamburgers were already great.We reached 40 minutes on the advice of a friend, but it was definitely worth it.I recommend you to stop by when you come to Barcelona, my wife seven the vegetarian one and she liked it very much.",0.9072,50,,['Street Food'],5.0
2459,2506,La Gastronomica Burgers,"Barcelona’ nın en güzel restaurantı..gerek fiyatı,gerekse yemeklerinin lezzeti..çalışanlarının sempatikliği,yardımseverliği...yine barcelona’ ya gitsem,yemek yiyeceğim tek yer...",Turkish,"Barcelona's most beautiful restaurant..Gere price, the flavor of the food.",0.6361,50,July 2018,['Street Food'],5.0
2460,2507,La Gastronomica Burgers,"Barselona'da şimdiye kadar sahip olduğumuz en iyi hizmet! Mutfak barda oturdu ve baş şef sosyal ve kolay olacak ve mutlu oldu. Burrata, romesco, somon tost, etek biftek ve bademli sufle ile ızgara sebzeler emretti. TÜM tavsiye ederim. Dürüst olmak gerekirse, şehirden ayrılmadan önce yeni açılan...ikinci konumlarına bir kez daha gitmeyi düşünüyoruz. Tatlar harika. Yiyecekler ağır değildi. Lütfen ziyaret edin! !Devamı",Turkish,"The best service we have ever had in Barcelona!The kitchen sat in the bar and the chief chef would be social and easy and was happy.Burrata, Romesco, Salmon toast, skirt steak and almond souffle with grilled vegetables ordered.I would recommend it all.To be honest, before leaving the city ... We are planning to go to their second position once again.The flavors are great.The food was not heavy.Please visit!!More",0.9297,50,Mart 2020,['Street Food'],5.0
2461,2508,La Gastronomica Burgers,"Aslında Carrer Calabria bulunan bu yerde, Restaurante la Gastronomica 2, ikinci enkarnasyon keşfetti şanslıyım. Daha iyi hazırlanamayan veya sunulamayan özenle seçilmiş ürünleri seçin. Buna samimi bir bekleme kadrosu ekleyin ve neden ikinci bir yer açmak zorunda kaldıklarını merak etmeyin.

Roka ile sunulduğu ve güneşte kurutulmuş...domates doğranmış burrata meze emretti. Her şey olabildiğince taze ve saçma bir şekilde sundu. Ana için: etek biftek mükemmel pişmiş, ihale ve yeterli tuz ile terbiyeli ve yine zarif ama iddialı olmayan bir şekilde servis. Vanilyalı dondurma ile servis edilen bir zencefil ipucu ile çikolata erimiş tarzı bir çölle bitirdi. Çok keyif aldım, akşam yemeği için bu akşam sadece farklı bir şeyler denemek için gidiyorum. Bravo!Devamı",Turkish,"In fact, in this place with Carrer Calabria, I am lucky that Restaurante La Gastronomica 2 discovered the second incarnation.Select carefully selected products that cannot be prepared or not better.Add a sincere waiting staff and don't worry why they have to make a second place.

It was presented with arugula and dried in the sun ... Tomatoes ordered the chopped burrata appetizer.Everything presented as fresh and absurd as possible.For the mother: skirt steak is perfectly cooked, tender and sufficient salt decent and again elegant but not assertive service.With a ginger hint served with vanilla ice cream, chocolate finished with a melted desert.I enjoyed it very much, I'm going to try something different tonight for dinner.Bravo! More",0.8986,40,Mart 2020,['Street Food'],5.0
2462,2509,La Gastronomica Burgers,Tripadvisor bize burada var ve gerçekten buna değdi! Küçük menü ama neredeyse her şeyi denedik ve gerçekten lezzetli!Devamı,Turkish,Tripadvisor exists here and it was really worth it!Small menu but we tried almost everything and really delicious! More,0.8257,50,January 2020,['Street Food'],5.0
2463,2510,La Gastronomica Burgers,Bar bölümünde oturduktan sonra en muhteşem yemeği yiyoruz. Personel çok yardımsever ve özenli. Doğum günü geçirmek için harika bir yol!,Turkish,"After sitting in the bar section, we eat the most spectacular food.The staff is very helpful and attentive.A great way to spend a birthday!",0.8169,50,September 2019,['Street Food'],5.0
2464,2511,La Gastronomica Burgers,Muhteşem yemek ve muhteşem servis makul bir fiyata. Muhtemelen en iyi yemek İspanya'da oldu. Teşekkürler La Gastron mica!,Turkish,Gorgeous food and great service at a reasonable price.Probably the best meal was in Spain.Thanks La Gastron Mica!,0.9273,50,September 2019,['Street Food'],5.0
2465,2512,La Gastronomica Burgers,"Kızım ve erkek arkadaşı bu akşam nişanlandı ve kutlamak için bir masa almayı başardık ve personel daha fazla yardımcı olamazdı.

Harika bir akşam vardı ve yemek was awesome, gerçekten bizim çok özel akşam daha özel yaptı.

Bu restoran son derece yeterli tavsiye edemez, gitme şansınız...varsa, o zaman yapmanız gerekir. . . . . hayal kırıklığına uğramayacaksın.

Barselona'da bir dahaki sefere kesinlikle geri arayacağız. # 12, 000 restorandan 12. sıraya çıkma şansı yok!Devamı",Turkish,"My daughter and her boyfriend got engaged tonight and managed to buy a table to celebrate, and the staff could not help any more.

There was a great evening and the food was awesome, it really made our very special evening more special.

This restaurant cannot recommend it extremely enough, your chances of going ... If you have, then you have to do it.....You won't be disappointed.

In Barcelona, we will definitely call back next time.# 12, 000 restaurants have no chance to go to 12th place! Read More",0.9747,50,September 2019,['Street Food'],5.0
2466,2513,La Gastronomica Burgers,"Biz tripadvisor gördüm ve biz hiç hayal kırıklığına değildi değerlendirmeleri nedeniyle buraya gittik.
Gıda büyük, domuz kaburga (ağzınızda erime), ahtapot vardı? (Süper lezzetli) ve patatas bravas da süper iyi.
personel Dostu, onlar da bize bcn ziyaret etmek tavsiye ve onlar bizim İspanyolca ile gerçekten hasta...(bunu öğrenmeye çalışıyoruz)

kesinlikle tekrar geleceğim
Kesinlikle 5 yıldızDevamı",Turkish,"We saw Tripadvisor and we went here because of their assessments that were not disappointed.
Food large, pig ribs (melting in your mouth), there was octopus?(Super delicious) and Patatas Bravas is also super good.
Staff friendly, they are also advised to visit us bcn and they are really sick with our Spanish ... (We are trying to learn this)

I will definitely come again
Definitely 5 stars",0.924,50,September 2019,['Street Food'],5.0
2467,2514,La Gastronomica Burgers,"Mükemmel kadrosu ile Lovely restaurant, restoran oldukça küçük ama samimi ve atmosferik. İyi yemek oldukça fiyatlı mutlu bir şekilde tavsiye ederim.",Turkish,"Lovely Restaurant with its excellent staff, the restaurant is quite small but sincere and atmospheric.I would recommend good food quite priced in a happy way.",0.9692,50,July 2019,['Street Food'],5.0
