level_0,index,Restaurant,Review original,Language,Translated Review,Compound,Rating,Date,Cuisine,Total Rating
9036,9243,Locavore Barcelona,المزيد,Arabic,More,0.0,30,November 2021,"['Spanish', 'Contemporary']",5.0
9065,9272,Prado de Flores,"زرت هذا المطعم في وقت مبكر ليلة الجمعة، على الرغم أسبانيا في كأس العالم. السلام عليكم ومنطقة جلوس ودود للغاية. أنا وابن في القانون طلبنا البايلا ابني في القانون كان يتم تقديم اضطررت إلى الانتظار لمدة 25 دقيقة. البايلا كانت جيدة.
زوجتي وابنتي أمر نادر...شرائح اللحم المطبوخ. عندما وصلنا إلى تماما، مطل uneatable. عندما شكوت النادل ان هذه الأخيرة شرائح اللحم، كان علينا أن نقبل الدجاج والسلطات. السلطات كانت لطيفة ولكن الدجاج كانت مطهو مرة أخرى، غير مرضية.
لا تناول الطعام هنا على أي شيء آخر غير البايلاالمزيد",Arabic,"I visited this restaurant early Friday night, despite Spain in the World Cup.Peace be upon you and a very friendly seating area.I and I, in the law, asked Al -Jella my son in the law. I was submitted to wait for 25 minutes.The plate was good.
My wife and daughter are rare ... the cooked meat slices.When we got completely, Uneatable.When the waiter complained that the latter was steaks, we had to accept chicken and salads.The authorities were nice, but the chicken was cooked again, not satisfactory.
Do not eat here on anything other than the Payla, more",0.336,10,June 2018,"['Mediterranean', 'Spanish']",4.5
9107,9314,RAÓ Restaurant,ذهبنا هنا لتناول العشاء مع اثنين من الصبية. الطعام رائع. انها مثل tapas لكن أكبر قليلا. ستحتاج إلى طبقين لكل شخص. شاشتي البالغة من العمر سنة وأجنحة الدجاج بطاطا برافاس و 12 ص / س قد الأخطبوط المشوية وطبق بوراتا. كان لي الباييلا ، طبق...لحم البقر وزوجتي بعض الأطباق التي لم تكن تهتم كثيرا. قيّمها جيدة لقد أجرينا أيضا كؤوس النبيذ التي كانت جيدة. لقد قضينا ليلة ممتعة في استكشاف الحياة البرية. لقد انتهى الأمر في El National للحلويات والمشروبات.المزيد,Arabic,"We went here for dinner with two boys.Food is great.It's like Tapas but a little larger.You will need two plates for each person.One -year -old screen and chicken wings Potato Pots and 12 A / S may octopus grilled and apply Porata.I had the Paila, a dish ... beef and my wife some dishes that were not interested in.Good values, we also have wine cups that were good.We have spent an enjoyable night exploring wildlife.It has ended in El National Sweets and Beverages. More",0.6281,30,July 2019,"['Spanish', 'Mediterranean']",5.0
9140,9347,Viana,أم ، كيف هذا المشترك لديه هذا العديد من الاستعراضات 5 نجوم إلى الأبد يزعجني. عرض تقديمي دراماتيكي ، بالتأكيد ، ولكن التنفيذ كان متقطعًا في أحسن الأحوال لمثل هذه القائمة شديدة التركيز. لن يعود.,Arabic,"Or, how this subscriber has this 5 -star reviews forever bothering me.Dramatic presentation, certainly, but the implementation was at best for such a very focused menu.It will not return.",0.8895,30,January 2020,"['International', 'Mediterranean']",5.0
9143,9350,Viana,أنا في حيرة من قبل الاستعراضات الإيجابية للأغذية. هذا ليس فقط طعام إسباني جيد. المشروبات كانت رائعة ، ولكن خنزير الرضاع كان جافًا وصعبًا. لم نأكل منها لأنها كانت سيئة للغاية. كان لدينا القوائم الربيع ، التي كانت جيدة وبعض العناصر الأخرى. الخادم غير ودية...للغاية. كان المكان ممتلئًا ، وأفترض من التقييمات الرائعة ، ولكنه في الحقيقة مجرد فخ سياحي. أود الذهاب للمشروبات ، وليس الطعام.المزيد,Arabic,"I am confused by the positive reviews of food.This is not only a good Spanish food.Drinks were great, but the breastfeeding pig was dry and difficult.We did not eat it because it was very bad.We had the spring menus, which were good and some other elements.The server is not friendly ... very.The place was full, assumed from the wonderful assessments, but it is really just a tourist trap.I would like to go to drinks, not food. More",0.6423,30,January 2020,"['International', 'Mediterranean']",5.0
9150,9357,Viana,"كنت أتطلع إلى هذه الوجبة استناداً إلى ملاحظات كبيرة مرشد الرحلة. لقد جئنا إلى هنا في الأسبوع الماضي وكان هناك ثلاثة منا. نحن أمرت شهية أولاً ، التونة وسفيتشي وواحد آخر الآن لا أتذكر. كانت التطبيقات جيدة للغاية ولكنها ليست أفضل من المطاعم الأخرى التي...كنا عليها.
حيث سقط المطعم هو الخدمة مع entr e. بناء على توصية الملقم ، كل أمرت الخنزير entr البريد والخادم أسيء فهمنا واعتقدنا أننا نريد واحد فقط لثلاثة منا. من دون الخوض في التفاصيل ، من الواضح من حجم أمي وأخي أنهم يحبون تناول الطعام. لم يوضح الخادم أو كان يسأل عما إذا كان هناك شيء آخر نوده ، فقد وضعت طلبًا في دورة تدريبية واحدة فقط.
لذا ، انتهى بي المطاف إلى أن تناولت والدتي أول مرة ، بينما جلست أنا وشقيقي لمدة 15 دقيقة أخرى حتى يخرج الاثنان الآخران. نحن لم نسأل ولكن أيضا لم يتم تقديم أي نوع من التعويض عن الخطأ الذي وجدت أيضا غير عادية بعض الشيء.
الجميع يخطئ وهذا لا ينبغي أن يمنعك من القدوم إلى هذا المطعم ولكن تجربتنا لم تكن للأسف 5 نجوم.المزيد",Arabic,"I was looking for this meal based on the big notes of the trip.We came here last week and there were three of us.We were ordered first, tuna, Svici and one other now I do not remember.The applications were very good but not better than other restaurants that ... we were on.
Where the restaurant fell is the service with Entr E.Based on the recommendation of the server, each of the pig was ordered the mail and server, misunderstood and believed that we only want one for three of us.Without going into details, it is clear from the size of my mother and brother that they like to eat.The server did not explain or was asking if something else was like it, I put a request in only one training course.
So, I ended up until my mother took the first time, while my brother and I sat for another 15 minutes until the other two came out.We did not ask, but no kind of compensation was provided for the error that I also found somewhat unusual.
Everyone makes mistakes and this should not prevent you from coming to this restaurant, but our experience was not unfortunately 5 stars. More",0.496,30,January 2019,"['International', 'Mediterranean']",5.0
9173,9380,Paisano Bistro,"أنا فقط أكلت في هذا المكان ، مع ابنتي. كان لدينا برافاس رقائق ، وعدد قليل من tapas أخرى وحساء.
لاحظ لأولئك الذين يبحثون عن bravas patatas - ليس لديهم - بل بدلاً من ذلك رقائق من الكيس وصلصة ليست قريبة من وصفة papatas bravas....كرات اللحم مع الجبن كانت لذيذة - ومن ثم بلدي 3 نجوم. خلاف ذلك ، متوسط خدمة العملاء - كان علينا أن نذكرهم بالماء والعصائر لابنتي.
لست متأكدًا من السبب في أنها # 9 على TripAdvisor بصراحة.المزيد",Arabic,"I just ate in this place, with my daughter.We had Bravas chips, a few other Tapas and soup.
Notice to those looking for Bravas Patatas - they do not have - but instead chips of the bag and sauce are not close to the Papatas Bravas recipe .... meat balls with cheese were delicious - and then my 3 -star.Otherwise, the average customer service - we had to remind them of my daughter and juices for my daughter.
I am not sure why it is # 9 on Tripadvisor frankly. More",0.5584,30,January 2019,"['Italian', 'Cafe']",5.0
9174,9381,Paisano Bistro,"الخدمة كانت جيدة جدا ولم يكن هناك خطأ في الطعام. كانت رقائق التورتيا خارج الحقيبة ، واشترى متجر جواكامول ، وحساء الفاصوليا الأساسي الذي كان عاديًا ، واشترى متجر تيراميسو ، الخ. جودة الطعام ، ولكن حرفيًا يمكن أن تجعل كل شيء في المنزل.

تعكس...الأسعار الموقع بالقرب من أحد أهم المعالم السياحية.المزيد",Arabic,"The service was very good and there was no error in the food.Tortia chips were out of the bag, bought the Jokamol Store, and the primary bean soup that was ordinary, and bought the Tiramisu store, etc.Food quality, but literally can make everything at home.

It reflects ... the prices located near one of the most important tourist attractions. More",0.7493,30,December 2018,"['Italian', 'Cafe']",5.0
10358,10565,Locavore Barcelona,المزيد,Arabic,More,0.0,30,,"['Spanish', 'Contemporary']",5.0
10391,10598,Prado de Flores,"زرت هذا المطعم في وقت مبكر ليلة الجمعة، على الرغم أسبانيا في كأس العالم. السلام عليكم ومنطقة جلوس ودود للغاية. أنا وابن في القانون طلبنا البايلا ابني في القانون كان يتم تقديم اضطررت إلى الانتظار لمدة 25 دقيقة. البايلا كانت جيدة.
زوجتي وابنتي أمر نادر...شرائح اللحم المطبوخ. عندما وصلنا إلى تماما، مطل uneatable. عندما شكوت النادل ان هذه الأخيرة شرائح اللحم، كان علينا أن نقبل الدجاج والسلطات. السلطات كانت لطيفة ولكن الدجاج كانت مطهو مرة أخرى، غير مرضية.
لا تناول الطعام هنا على أي شيء آخر غير البايلاالمزيد",Arabic,"I visited this restaurant early Friday night, despite Spain in the World Cup.Peace be upon you and a very friendly seating area.I and I, in the law, asked Al -Jella my son in the law. I was submitted to wait for 25 minutes.The plate was good.
My wife and daughter are rare ... the cooked meat slices.When we got completely, Uneatable.When the waiter complained that the latter was steaks, we had to accept chicken and salads.The authorities were nice, but the chicken was cooked again, not satisfactory.
Do not eat here on anything other than the Payla, more",0.336,10,June 2018,"['Mediterranean', 'Spanish']",4.5
17579,17922,La Gastronomica Burgers,"أردنا زيارة المطعم بسبب ملاحظات كبيرة في تا. إنهم لا يأخذون تحفظات ولكننا محظوظون بالحصول على جدول قريبًا بمجرد وصولنا.

المكان حديث وعصري والموظفين مفيدة حقا مع ابتسامة على وجوههم.

كان الطعام بخير ، ليس سيئًا أو غير عادي حقًا أيضًا.",Arabic,"We wanted to visit the restaurant due to big notes in Ta.They do not take reservations, but we are lucky to get a schedule soon once we arrive.

The place is modern and modern and the employees are really useful with a smile on their faces.

The food was fine, not really bad or unusual either.",0.958,30,July 2019,['Street Food'],5.0
17610,17953,BelleBuon,أوصى الأصدقاء الخاصة بنا المطعم ستيلار النزلاء على تريب أدفيزور تأكيد لماذا ينبغي أن تذهب إلى هناك. المالك الرائع من جنوب إيطاليا تفاجأت لنا النسخة الإسبانية من الإيطالية. المكرونة الخاصة بنا Carbonara لم يكن ما تجد في إيطاليا. كان أخرى مماثلة المطاعم الأسبانية. كانت سيئة...للغاية. كان البيتزا أكثر الكثير الجبن أن صبى فقط نصف. إنه لم يسمع بها من. كان الجبن كوما له. كنا نتوقع مشرقة وجيدة التهوية البيتزا رقيقة نجد في إيطاليا. إن بروشيتا رائعة على مشهى، لذا كان الباذنجان مع البارميجيانا على المشهيات. الاستمتاع بالتأكيد هذه، على بعد بعيداً عن البيتزا لسوء الحظ. مالك لطيف بالتأكيد، فقط تأمل سيكون هذا صحيح المطعم الإيطالي.المزيد,Arabic,"Our friends recommended the restaurant Steillar guests on Trip Edviesor confirming why you should go there.The wonderful owner from southern Italy was surprised by the Spanish version of Italian.Our pasta Carbonara was not what you find in Italy.Another similar Spanish restaurant was.It was bad ... very.The pizza was the most cheese to only raise half.He did not hear about it.Cheese was Kuma for him.We expected bright and good ventilation, thin pizza, we find in Italy.Brochita is great on a delicious, so the eggplant with Parmigiana was on the appetizers.Enjoying this, definitely away from the pizza, unfortunately.Cute owner definite",0.9745,20,,"['Italian', 'Neapolitan']",5.0
17614,17957,Le Romane,الناس اللطفاء ، والداخلية مثيرة للاهتمام ، ولكن في مجمل القيمة مقابل المال ليست كبيرة - الطعام كان على ما يرام ولكن لا شيء خاص ، في النطاق السعري يمكنك الحصول على المزيد,Arabic,"People are kind, and the interior is interesting, but in the overall value for money is not big - food was fine but nothing special, in the price range you can get more",0.6665,30,,"['Italian', 'Pizza']",5.0
17646,17989,Bodega Biarritz 1881 Tapas bar,"قررنا الذهاب على توصيات عالية من الاستعراضات الأخرى.

عندما وصلنا كان هناك طابور جيد للحصول على ، مما جعلنا نعتقد أن هناك إمكانات هنا tapas كبيرة.
كنا قادرين على طلب السانجريا / المشروبات ويكون لهم في قائمة الانتظار لانتظار الناس لتصفية.

تتألف القائمة من خيارين...رئيسيين (تم توجيهنا نحوهما) أو خيار تاباس منفصل فقط - يتم تسعيره بشكل فردي (والتي لا تحتوي على أسماك / مأكولات بحرية)

ذهبنا للخيار أكبر من 40 يورو لمدة 2. التي تشارك في مجلس للخبز / الجبن / لحم الخنزير ، 8 أطباق tapas وإننا أقسم أننا رأينا 2 ""apertisers"" (ربما لدينا خطأ) الذي كان في نهاية المطاف 2 appertifs (creme liquor).

كان مجلس الخبز / الجبن ولحم الخنزير على ما يرام (ومع ذلك لم نتمكن من رؤية مبرر دفع 10 يورو إضافية لهذا فقط.)

وكان tapas موافق في أحسن الأحوال لثلاثة من أصل 8 ، والباقي كانت سيئة - لم يتم تطوير الذوق ، أنها جاءت دافئة بدلاً من الساخنة ، وربما لا الطازجة / المستأنسة. للأسف انتهى الأمر إلى إعطائي مشاكل في المعدة ونوع المطبخ لم يكن القضية.
علاوة على ذلك ، لا تشكل بعض الأسياخ الفردية والتورتيا ""أطباق التاباس"" الكاملة بالنسبة لي.

يبدو الموظفين ودية ولكن لم تبذل أي جهد لمعرفة ما إذا كان الطعام الجيد (ربما كان الحاجز اللغوي مع لدينا نادلة شيئا؟).
تركنا جزءًا معقولًا من التاباس ، وعلى الرغم من أن القائمة تنص على أنه يمكنك تغيير التاباس الذي لا تحبه - فقد كان مزاجنا قد توتر بالفعل.
لقد فوجئنا أن هذا كان كل ما كان هناك (أعتقد أنه لا يزال هناك مذيعين اثنين قادمين) - سألت إذا كان هناك بعد الآن أن يأتي بعد أن كان من المقرر أن يتم تناول التاباس - وهو ما لم يكن سعيداً عند التفكير!المزيد",Arabic,"We decided to go on high recommendations from other reviews.

When we arrived there was a good queue to get, which made us believe that there is a large Tapas capabilities.
We were able to request the sangra / beverages and have the waiting list to wait for people to liquidate.

The list consists of two options ... main (we was directed towards) or only a separate tapas option - it is priced individually (which does not contain fish / cuisine))

We went to the cucumber greater than 40 euros for a period of 2. which participates in a baking assembly / cheese / pork, 8 Tapas dishes and we swore that we saw 2 ""Apertisers"" (maybe we have a mistake) that was eventually Apprtifs (Creme Liquor).

The Baking / Cheese and Pig Council was fine (yet we could not see an additional 10 euros for this only.)

Tapas agreed at best for three out of 8, and the rest were bad - the taste was not developed, it came warm instead of the hot, and perhaps not fresh / domesticated.Unfortunately, it ended in giving me stomach problems and the type of kitchen was not the case.
Moreover, some individual skewers and tortia do not constitute the whole tabas dishes for me.

The employees seem friendly but did not make any effort to find out if the good food (maybe the linguistic barrier with our waitress was something?).
We left a reasonable part of the tapa, and although the list states that you can change the tabs that you do not like - our mood had already tense.
We were surprised that this was all that was there (I think there are still two broadcasting broadcasters) - I asked if there was anymore to come after the tapas was scheduled - which was not happy when thinking! More",0.2261,20,,"['Mediterranean', 'Spanish']",5.0
17660,18003,Blu Bar,هذا مطعم مزدحم للغاية في سوق متخصصة ويستفيد من عملائه استفادة كاملة. خدمة بطيئة جدا وغفلةالمزيد,Arabic,This is a very crowded restaurant in a specialized market and its customers benefit fully.Very slow service and neglect more,0.0,20,January 2020,"['Bar', 'Mediterranean']",5.0
17661,18004,Blu Bar,"لقد أكلنا مرتين هنا حيث كان الطعام جيدًا ، لكن شعرنا بالغش بسبب الخدمة السيئة التي تلقيناها. يعلن The Bar عن ""men del d a"" الذي يتألف من شطيرة الذواقة والشراب والقهوة بسعر ثابت. على الرغم من أننا طلبنا النادل من الرجال del d a...وكررها إلينا ، فلم تكن هناك مشكلة في الترجمة ، لكننا ما زلنا نفرض السعر الكامل للعناصر الفردية. كانت الخدمة بطيئة للغاية على الرغم من عدم وجود العديد من العملاء عندما تناولنا الطعام في الساعة 1 مساءً في منتصف الأسبوع. لا أحب أن أشعر بالغش حتى لا نعود.المزيد",Arabic,"We ate twice here as the food was good, but we felt cheating because of the bad service we received.The Bar announces ""Men Del D A"", which consists of gourmet, drink and coffee sandwich at a fixed price.Although we requested the waiters from DEL D A ... and repeated it to us, there was no problem with translation, but we still impose the full price of individual elements.The service was very slow despite the lack of many customers when we eat at 1 pm in the middle of the week.I don't like to feel cheating so that we do not return. More",-0.9749,20,,"['Bar', 'Mediterranean']",5.0
17680,18023,Bella Italia,"طلبنا 2 × Penne Arabiattas ، أعطانا نادلة 2 ريجوني بومودوروس. عندما تحدناها عندما وصلت مع الأطباق ، قامت فجأة بإعادة تسمية الأطباق إلى Penne Arabiattas. مشيت جسديًا إلى المطبخ لأشرح أن هذا ليس ما أمرت به. عاد بعد 5 دقائق مع القليل من الفلفل...الحار في نفس المعكرونة التي عدتها. من الواضح أن الموظفين كانوا يحاولون الاعتماد على حاجز اللغة ، لكن أسماء الأطباق الإيطالية هي نفسها.
وصل أصدقائي البيتزا أيضا في الوقت الذي استغرقته لي للحصول على 2 أطباق المعكرونة والانتهاء من الماضي. هذا المطعم لا يعكس التصنيف.المزيد",Arabic,"We requested 2 x Penne Arabiattas, gave us 2 Regeonian Boomodoros Burrencies.When we bordered it when I got with the dishes, it suddenly renamed the dishes to Penne Arabiattas.I walked physically to the kitchen to explain that this is not what I ordered.He returned after 5 minutes with a little pepper ... hot in the same pasta.It is clear that the employees were trying to rely on the language barrier, but the names of Italian dishes are the same.
My friends also arrived at the pizza while I took me to get 2 pasta dishes and finish the past.This restaurant does not reflect the classification. More",0.6908,20,September 2019,"['Italian', 'Pizza']",5.0
17699,18042,"We love italy, Pasta & Pizza, Restaurante Barcelona","كنا نبحث عن مكان لتناول الطعام وتوقفنا هناك لأننا تعبنا حقًا.
لم نتوقع أي شيء عندما رأينا الأسعار. كان لدينا المعكرونة كاربونارا وكنا بخيبة أمل قليلاً. الباستا كانت ساخنة ولكن ليس الصلصة! كما شعر كاربونارا أنه كان يخرج من الصندوق.
قيّمها جيدة جيدةالمزيد",Arabic,"We were looking for a place to eat and stopped there because we really tired.
We did not expect anything when we saw prices.We had a carbonara pasta and we were a little disappointed.Pasta was hot but not the sauce!Carbonara also felt that he was leaving the box.
Good values, good more",0.8749,30,,"['Italian', 'Pizza']",5.0
17767,18110,Locavore Barcelona,المزيد,Arabic,More,0.0,30,November 2021,"['Spanish', 'Contemporary']",5.0
