level_0,index,Restaurant,Review original,Language,Translated Review,Compound,Rating,Date,Cuisine,Total Rating
8611,8818,Paisano Bistro,餐厅里友好的工作人员，靠近圣家族大教堂是他们唯一能提供的东西。食物分量很小，也没有什么特别的价格。这个地方很小，而阳台就在一条非常嘈杂的道路上。更多,Chinese,"The friendly staff in the restaurant, near the Holy Family Cathedral is the only thing they can provide.The food weight is small and there is no special price.This place is small, and the balcony is on a very noisy road.More",0.4033,20,,"['Italian', 'Cafe']",5.0
8614,8821,Paisano Bistro,我们在这里吃了午餐，我怎么也没想到，据业主说这里的餐点是排名第一的，他们是在六个月前买下这家餐厅的。我们点了鳄梨酱和玉米片，据说是自制的，还在商店买了果酱和多力多滋！多力多滋是乳酪的味道，也许是因为它是烤出来的。我们点了三明治，还可以但是并不是很感兴趣。这是我们在巴萨罗那吃过最奇怪的一餐！更多,Chinese,"We had a lunch here. I never expected that according to the owner, the meals here ranked first. They bought this restaurant six months ago.We ordered Hocao sauce and corn slices. It is said to be self -made.Dorito is the taste of cheese, perhaps because it is roasted.We ordered sandwich, but we were not very interested.This is the strangest meal we have eaten in Barcelona!More",0.0,10,Into,"['Italian', 'Cafe']",5.0
8630,8837,Gusto,"上星期四，我在一场暴风雪中从波士顿飞回家。当我回到巴塞罗那的时候，我告诉丈夫我太累了不能做饭。他建议我们尝试披萨
将GUSTO放在我们公寓的拐角处。走了，我们去了。当我们到达时，这个地方是空的。我丈夫点了4个奶酪比萨和一瓶矿泉水。
我点了蘑菇比萨，要一杯自来水。哭泣的人走了！ ！他讽刺地告诉我他们不提供自来水。我告诉他我在巴塞罗那生活了3年，每天用它刷牙，每天喝水，身体健康。他说了Sanish不礼貌，而我的丈夫是西班牙人对他说话。值得称赞的是，服务生道歉了，但是却毁了整个晚餐。我对Mercadon的建议是，以3欧元的价格购买冷冻比萨饼，这样我的质量会更好，品尝会更好。我们的帐单是35欧元，买了2个披萨，1个水和1个沙漠。我的建议是，如果您想让真正的意大利人去希腊。它可能会花费更多，但值得。船Gusto。更多",Chinese,"Last Thursday, I flew home from Boston in a storm.When I returned to Barcelona, I told my husband that I was too tired and couldn't cook.He suggested that we try pizza
Put Gusto at the corner of our apartment.Let's go, we go.When we arrive, this place is empty.My husband ordered 4 cheese pizza and a bottle of mineral water.
I ordered the mushroom pizza and asked for a cup of water.The crying person is gone!IntersectionHe told me that they did not provide tap water.I told him that I have lived in Barcelona for 3 years, brushed my teeth every day, drink water every day, and good health.He said Sanish was impolite, and my husband spoke to him.It is praised that the waiter apologized, but it ruined the entire dinner.My suggestion to Mercadon is to buy frozen bakers at a price of 3 Euros, so that my quality will be better and taste better.Our billing is 35 euros, and we bought 2 pizza, 1 water and 1 desert.My suggestion is that if you want the real Italian to go to Greece.It may cost more, but it is worth it.The boat gusto.More",0.4003,10,,"['Italian', 'Pizza']",4.5
8638,8845,Gusto,去 Gusto 吃过去几年。 很好的披萨，但是它似乎只有他们最棒的菜，高质量的其他变化。 服务一直都很乱，不要期待在这里吃的很快。 然而一年前一个意大利老板要求我们离开桌子，因为我们占用了 20 分钟的座位超过我们吃完饭之后。 我不觉得它公平的，如果我很慢食吗？ 而且这是什么样的服务？ 这是一个如此糟糕的事情。 今天我点了他们的外卖，他们的葡萄酒的时候，没有要求我更换。 便宜的，最糟糕的一个。味道 所以，如果你正在寻找好吃的披萨——尝试一下，但是不要期待很好的服务，从侍者，无论是经常几乎都在尖叫，吵的主人。 不要点外送。更多,Chinese,"Go to Gusto for a few years.Very good pizza, but it seems to only have their best dishes, high -quality other changes.The service has always been messy, don't expect to eat here quickly.However, a year ago, an Italian boss asked us to leave the table because we took up for 20 minutes to surpass our meals.I don't think it's fair, if I eat slowly?And what kind of service is this?This is such a bad thing.Today I ordered their takeaway. When their wine, I didn't ask me to replace it.Cheap, the worst one.So taste, if you are looking for delicious pizza -try it, but don't look forward to good service, from the waiter, whether you are almost screaming, noisy master.Don't click the delivery.More",-0.5713,20,,"['Italian', 'Pizza']",4.5
8644,8851,Cremat 11,你看到的这张照片是一份价值8欧元的食物。我们点了西班牙猪肉肠（fuet）（在任何地方花2欧元就能买到的那种）和一些面包。猪肉肠不错，面包也很好，但有点普通！食物分量！就是个笑话。更多,Chinese,"The photo you see is a food worth 8 euros.We ordered the Spanish pork intestine (the one that can be bought in 2 euros in any place) and some bread.The pork intestines are good, the bread is also very good, but it is a bit ordinary!Food weight!It's a joke.More",0.6038,20,,"['European', 'International']",5.0
8666,8873,Bar Xapako,我不知道这家餐厅有什么好的，气氛不好，食物是速食食品，这不算是浪费，因为我反正都是要吃饭的，不过我觉得这家餐厅实在没什么特别的，更算不上是巴塞罗那排名第29的餐厅。,Chinese,"I don’t know what is good for this restaurant. The atmosphere is not good. Food is fast food. This is not a waste, because I want to eat anyway, but I think this restaurant is really nothing special, let alone countless, not countedIt is the 29th restaurant in Barcelona.",0.3095,20,Into,"['Bar', 'Mediterranean']",5.0
8674,8881,Bar Xapako,"众多出色的评价给我留下了深刻的印象，并与儿子共进了星期五晚上的晚餐。

当我们进入时，无法忍受气味，周围有成堆的醉酒的年轻人，破旧的白色墙壁，破旧的地板和入口处破旧的桌上足球。

可能是食物不错，但气味难闻。也很难想象这是一个家庭住所（白天吗？）。决定不留下并且不尝试食物。",Chinese,"Many excellent evaluations left a deep impression on me and had dinner with my son on Friday night.

When we entered, we couldn't stand the smell. There were piles of drunk young people around us, the dilapidated white walls, the shabby floor and the dilapidated table football at the entrance.

It may be that the food is good, but the smell is unpleasant.It's hard to imagine that this is a family residence (during the day?).Decided not to leave and try food.",0.3964,20,,"['Bar', 'Mediterranean']",5.0
10165,10372,Blu Bar,这是利基市场中一家非常繁忙的餐厅，并充分利用了其客户群。非常慢和周到的服务更多,Chinese,"This is a very busy restaurant in the niche market, and makes full use of its customer base.Very slow and thoughtful service more",0.3818,20,January 2020,"['Bar', 'Mediterranean']",5.0
10166,10373,Blu Bar,由于这里的食物还可以，我们在这里吃了两次饭，但是我们因受到的服务差而被骗了。酒吧广告以固定价格刊登“男士佳肴”，其中包括美食三明治，饮料和咖啡。尽管我们要求服务员提供伙计，然后他又将其重复给我们，所以翻译没有问题，但是我们仍然要为单件商品支付全价。即使我们在周中下午1点进餐时没有多少顾客，服务也非常慢。我不喜欢被骗，所以我们不会回头。更多,Chinese,"Because the food here is okay, we have eaten two meals here, but we were deceived because of poor service.Bar advertisements published ""men's dishes"" at a fixed price, including gourmet sandwiches, drinks and coffee.Although we ask the waiter to provide a gang, and then he repeats it to us, so there is no problem in the translation, but we still have to pay the full price for single -piece goods.Even if we do n’t have many customers when we meals at 1 pm in the morning of the week, the service is very slow.I don't like to be deceived, so we won't look back.More",-0.9713,20,January 2020,"['Bar', 'Mediterranean']",5.0
10186,10393,Bella Italia,"我们订购了2 x Penne Arabiattas，女服务员给了我们2个Rigatoni pomodorros。当我们带着菜肴来到她面前挑战她时，她突然将菜肴改名为Penne Arabiattas。我把我的菜走回厨房，解释这不是我订购的。它在5分钟后返回，在我返回的同一面食中加入了一些辣椒。工作人员显然试图依靠语言障碍，但意大利菜的名称是相同的。
我的朋友披萨也来了，我花了2个面食和完成最后一个。这家餐厅没有反映评级。更多",Chinese,"We ordered 2 x Penne Arabiattas, and the female waiter gave us two Rigatoni Pomodorros.When we came to her in front of her to challenge her, she suddenly renamed the dishes to Penne Arabiattas.I walked back to the kitchen and explained that this was not ordered by me.It returned 5 minutes later and added some peppers to the same pasta I returned.The staff obviously tried to rely on language barriers, but the names of Italian cuisine were the same.
My friend pizza also came, and I spent 2 pasta and completed the last one.This restaurant did not reflect the rating.More",0.6652,20,September 2019,"['Italian', 'Pizza']",5.0
