level_0,index,Restaurant,Review original,Language,Translated Review,Compound,Rating,Date,Cuisine,Total Rating
1466,1513,BelleBuon,"Omdat ik ontzettend houd van Italiaans eten, dacht ik na alle goede recensies: laten we deze proberen. Dit restaurant is een gezellige plek waar keihard popklassiekers uit de jaren '90 en '00 worden afgespeeld. Vriendelijk personeel die je graag bijstaat.

Misschien had de chef zijn...Meer",Dutch,"Because I really like Italian food, I thought after all the good reviews: let's try them.This restaurant is a cozy place where rock -hard pop classics from the 90s and 00s are played.Friendly staff who would like to assist you.

Maybe the chef had his ... more",0.7956,20,,"['Italian', 'Neapolitan']",5.0
1566,1613,Blu Bar,"Het eten is heerlijk en de plek is geweldig, maar geen van de obers draagt gezichtsmaskers en het keukenpersoneel had de maskers allemaal verkeerd om of om hun nek. Dit is niet goed gezien de huidige COVID-situatie in Barcelona, waar gezichtsmaskers verplicht zijn.",Dutch,"The food is delicious and the place is great, but none of the waiters is wearing face masks and the kitchen staff were all wrong or around their necks.This is not good given the current COVID situation in Barcelona, where face masks are mandatory.",-0.4421,20,July 2020,"['Bar', 'Mediterranean']",5.0
1567,1614,Blu Bar,"Begrijp de hype niet.
Mooie locatie leuke sfeer. Service redelijk. Cocktail (gemberbruis) slecht. Taco's - nou, dit komt het dichtst in de buurt van het eten van hondenvlees. Als een paté van hondenvlees. Een smakeloze paté voor hondenvlees. Zonder het vlees. Ik ben geen onbekende...in veganistisch eten, maar dit was goed, gewoon verschrikkelijk. Ik had zoveel meer verwachtMeer",Dutch,"Don't understand the hype.
Nice location nice atmosphere.Service reasonable.Cocktail (gingerbruis) bad.Tacos - Well, this comes closest to eating dog meat.Like a pate of dog meat.A tasteless paté for dog meat.Without the meat.I am no stranger ... in vegan food, but this was good, just terrible.I expected so much more",0.765,20,July 2020,"['Bar', 'Mediterranean']",5.0
1711,1758,Babula Bar 1937,"Fijne uitstraling van buiten bezien. Warm en fraai interieur. Ja er is nog plaats ( 18.00 uur) meer dan de helft van de tafels zijn onbezet maar we worden naar het achterste tafeltje voor 2 gedirigeerd met opmerking dat we 2 uur krijgen. Kijk op...de keuken is leuk maar geeft ook veel drukte en tl licht die sfeer negatief beïnvloed. De gerechten zelf zijn super lekker en ook prijswaardig. Wijn voor €7,- per glaasje valt dan weer tegen. Bij serveren van eten goede uitleg. Kortom voor het eten zit je hier goed. Maar je voelt je als een goedkope rugzak toerist behandeld. Dat is jammer want je wilt ook een gezellige avond en dat gaat hier niet lukken. Dus verder zoeken naar restaurant met een warm welkom ook als je geen Spanjaard ben.Meer",Dutch,"A nice appearance from outside.Warm and beautiful interior.Yes there is still room (6 p.m.) More than half of the tables are unoccupied, but we are directed to the rear table for 2 with comment that we get 2 hours.Look at ... the kitchen is fun but also gives a lot of crowds and fluorescent light that atmosphere influences negatively.The dishes themselves are super tasty and also pricey.Wine for € 7 per glass is disappointing.When serving food, good explanation.In short, you are in the right place for dinner.But you feel treated as a cheap backpack tourist.That is a shame because you also want a pleasant evening and that will not work here.So continue searching for a restaurant with a warm welcome even if you are not a Spaniard.",0.9779,20,november 2022,"['Mediterranean', 'European']",5.0
4965,5098,Babula Bar 1937,"Fijne uitstraling van buiten bezien. Warm en fraai interieur. Ja er is nog plaats ( 18.00 uur) meer dan de helft van de tafels zijn onbezet maar we worden naar het achterste tafeltje voor 2 gedirigeerd met opmerking dat we 2 uur krijgen. Kijk op...de keuken is leuk maar geeft ook veel drukte en tl licht die sfeer negatief beïnvloed. De gerechten zelf zijn super lekker en ook prijswaardig. Wijn voor €7,- per glaasje valt dan weer tegen. Bij serveren van eten goede uitleg. Kortom voor het eten zit je hier goed. Maar je voelt je als een goedkope rugzak toerist behandeld. Dat is jammer want je wilt ook een gezellige avond en dat gaat hier niet lukken. Dus verder zoeken naar restaurant met een warm welkom ook als je geen Spanjaard ben.Meer",Dutch,"A nice appearance from outside.Warm and beautiful interior.Yes there is still room (6 p.m.) More than half of the tables are unoccupied, but we are directed to the rear table for 2 with comment that we get 2 hours.Look at ... the kitchen is fun but also gives a lot of crowds and fluorescent light that atmosphere influences negatively.The dishes themselves are super tasty and also pricey.Wine for € 7 per glass is disappointing.When serving food, good explanation.In short, you are in the right place for dinner.But you feel treated as a cheap backpack tourist.That is a shame because you also want a pleasant evening and that will not work here.So continue searching for a restaurant with a warm welcome even if you are not a Spaniard.",0.9779,20,november 2022,"['Mediterranean', 'European']",5.0
4974,5107,Babula Bar 1937,"Eten was voldoende maar de overpriced voor wat je krijgt;  de prijs zou door de helft moeten maar de eigenaar wil graag een bepaalde sfeer neerzetten met de uitstraling van het interieur waardoor prijs en (overal) kwaliteit uit elkaar komen te liggen. 
Service was onvoldoende;...Meer",Dutch,"Food was enough but the overpriced for what you get;The price should be half, but the owner would like to create a certain atmosphere with the appearance of the interior, which means that price and (everywhere) quality will be dismantled.
Service was insufficient; ... More",0.8201,20,augustus 2021,"['Mediterranean', 'European']",5.0
5017,5150,Swagatam Bar-Restaurant Hindu,"Van de week hier wezen eten met de gezin, bij binnenkomst waan je jezelf in een bouwkantine.
Stoelen en tafels zeer fragiel je zit dus gedurende de gehele maaltijd niet lekker.
Over het eten moet ik eerlijk zijn en geef ik het een 6, dit...komt doordat de kip wat door de curry’s zat en de kip Tandoori niet uit de Tandoori oven komen.
Hierdoor mis je de gehele smaaksensaties.
Zoals ik het zag is er denk ik geen ruimte in de keuken hiervoor.
Voor mij geen herhaling.Meer",Dutch,"This week here went to eat with the family, upon entering you imagine yourself in a construction canteen.
Chairs and tables very fragile so you are not comfortable during the entire meal.
I have to be honest about the food and I give it a 6, this ... is because the chicken was because of the curries and the chicken tandoori did not come from the Tandoori oven.
Because of this you miss the whole taste sensations.
As I saw it, there is no space in the kitchen for this.
No repetition for me.",-0.5722,20,February 2019,"['Indian', 'Asian']",4.5
5131,5264,Gusto,Wij zijn hier vorige week gaan eten toen we in Barcelona waren. Ober die we hadden sprak en verstond erg slecht Engels. Hij drukte nogal de brussetta en t bord anti pasta door als voorgerecht en toen we zeiden dat we niet veel honger hadden...deed ie net of ie dat niet begreep. Dus ging er hiervan veel terug naar de keuken terwijl de prijs ervan vrij behoorlijk was. Daarnaast beval hij de specialty van de chef aan  zonder aan te geven dat de prijs hiervan 45 euro was. En de portie was   ook nog eens erg klein. Dus toen wij wilde afrekenen vielen we ongeveer achterover wat er voor die specialty in rekening werd gebracht. T eten was van de anderen  goed maar voor eens en nooit meerMeer,Dutch,"We went to eat here last week when we were in Barcelona.Ober that we had spoke and understood very bad English.He pushed the Brussetta and t Bord Anti Pasta as a starter and when we said we were not very hungry ... he pretended he didn't understand.So a lot went back to the kitchen while the price was pretty decent.In addition, he ordered the chef's specialty without indicating that the price was 45 euros.And the portion was also very small.So when we wanted to pay, we fell back about what was charged for that specialty.The food was good from the others but once and never Meermeer",-0.1522,20,October 2018,"['Italian', 'Pizza']",4.5
5134,5267,Gusto,"Bij binnenkomst werden we goed ontvangen. Het interieur is netjes en modieus. Alleen de pizzas die wij hadden besteld waren dramatisch. Ze waren bij het serveren al koud, zelfs lauw was het niet. En 10 min later kwam eindelijk de andere ook die was koud...en verbrand. Beide hebben wij niet terug gestuurd omdat we niet heel veel trek hadden (meer). Gelukkig was de bediening goed. Bij het afruimen van de tafel, werd ons gevraagd of het eten goed was. Wij hebben het eerlijk doorgegeven. Waarbij 1 pizza niet in rekening is gebracht. Dat vonden wij erg netjes.Meer",Dutch,"We were well received on arrival.The interior is neat and fashionable.Only the pizzas that we had ordered were dramatic.They were already cold when serving, it was not even lukewarm.And 10 minutes later the other finally came that was cold ... and burned.We did not send both back because we were not very hungry (anymore).Fortunately the service was good.When clearing the table, we were asked if the food was good.We passed it fairly.Where 1 pizza was not charged.We thought that was very neat.",0.7964,20,december 2016,"['Italian', 'Pizza']",4.5
5146,5279,Gusto,"We werden  nog snel binnengelaten voor sluiting. Plots was er de menu van de dag niet meer!! Moesten a la carte bestellen, maar kregen de kaart niet. Er werden een paar hoofdgerechten opgenoemd en voilà. ( lasagne, aubergine in de oven ) ! Met resultaat...Meer",Dutch,"We were quickly let in for closure.Suddenly there was no more the menu of the day !!Had to order a la carte, but did not get the card.A few main courses were mentioned and voilà.(lasagna, eggplant in the oven)!With results ... more",-0.3561,10,,"['Italian', 'Pizza']",4.5
