level_0,index,Restaurant,Review original,Language,Translated Review,Compound,Rating,Date,Cuisine,Total Rating
2360,2407,Blu Bar,"Έχουμε φάγαμε εδώ δύο φορές, καθώς το φαγητό ήταν εντάξει, αλλά αισθανθήκαμε εξαπατημένοι από την κακή υπηρεσία που λάβαμε. Το μπαρ διαφημίζει ένα ""ανδρών"" που περιλαμβάνει ένα γκουρμέ σάντουιτς, ποτό και καφέ για μια σταθερή τιμή. Παρόλο που ζητήσαμε από τον σερβιτόρο των ανδρών να...το επαναλάβει, έτσι δεν υπήρχε πρόβλημα με τη μετάφραση, αλλά χρεώσαμε ακόμα την πλήρη τιμή των μεμονωμένων αντικειμένων. Η εξυπηρέτηση ήταν πολύ αργή, παρόλο που δεν υπήρχαν πολλοί πελάτες όταν φάγαμε τη 1 μ.μ. μέσα στην εβδομάδα. Δεν μου αρέσει να αισθάνομαι εξαπατημένοι, έτσι δεν θα επιστρέψουμε.Περισσότερα",Greek,"We have ate here twice as the food was okay, but we felt cheated on the bad service we received.The bar advertises a ""men"" that includes a gourmet sandwich, drink and coffee for a fixed price.Although we asked the men's waiter to ... repeat it, so there was no problem with the translation, but we still charged the full price of individual objects.The service was very slow, although there were not many customers when we ate 1 pmin the week.I don't like to feel cheated, so we won't be back.",-0.9772,20,January 2020,"['Bar', 'Mediterranean']",5.0
2371,2418,Bella Italia,"Παραγγείλαμε 2 x Penne Arabiattas, η σερβιτόρα μας έδωσε 2 Rigatoni pomodorros. Όταν την αμφισβήτησα όταν έφτασε με τα πιάτα, ξαφνικά μετονόμασε τα πιάτα στη Penne Arabiattas. Φυσικά περπάτησα πιάτο μου πίσω στην κουζίνα για να εξηγήσω ότι αυτό δεν είναι αυτό που διέταξα. Ήρχισε...να επιστρέφεται 5 λεπτά αργότερα με λίγο τσίλι που είχε βυθιστεί στο ίδιο ζυμαρικό που επέστρεψα. Το προσωπικό προσπάθησε σαφώς να στηριχθεί στο γλωσσικό φράγμα, αλλά τα ονόματα των ιταλικών πιάτων είναι τα ίδια.
Η φίλη μου πίτσα έφτασε επίσης στο χρόνο που μου πήρε για να πάρει 2 πιάτα ζυμαρικών και να τελειώσει το τελευταίο. Αυτό το εστιατόριο δεν αντανακλά την αξιολόγηση.Περισσότερα",Greek,"We ordered 2 x Penne Arabiattas, the waitress gave us 2 Rigatoni Pomodorros.When I questioned her when she arrived with dishes, she suddenly renamed dishes to Penne Arabiattas.Of course I walked my plate back to the kitchen to explain that this is not what I ordered.It began ... to be returned 5 minutes later with a little chili that had been immersed in the same pasta I returned.The staff have clearly tried to rely on the linguistic barrier, but the names of the Italian dishes are the same.
My girlfriend also arrived at the time she took me to get 2 pasta dishes and finish the last one.This restaurant does not reflect the evaluation.",0.1027,20,September 2019,"['Italian', 'Pizza']",5.0
2434,2481,Babula Bar 1937,"Είχαμε κλείσει πριν ένα μήνα για τέσσερα άτομα να περάσουμε σε αυτό το εστιατόριο το ρεβεγιόν Χριστουγέννων. Μας έδωσαν ένα τραπέζι στο πίσω μέρος της αίθουσας βλέποντας είτε τον τοίχο και την έξοδο κινδύνου είτε τα πόδια των μαγείρων στην ανοιχτή κουζινα, όπως φαίνεται στις...φωτογραφίες. 
Ζητήσαμε αλλαγή τραπεζιού μόλις καθίσαμε, μας είπαν θα το φροντίσουν αλλά δεν μας άλλαξαν ποτέ, αν και υπήρχαν στην κεντρική αίθουσα δυο τεσσάρια τραπέζια κενά για το μισό της βραδιάς που είμασταν εκεί. 
Το φαγητό ήταν ιδιαίτερο και κάποια πιάτα (ταρταρ μοσχάρι με φουά γκρα) πολύ νόστιμα αλλά γενικά το σερβίρισμα και η παρουσίαση των πιάτων ήταν πολύ μέτρια σαν ένα μεσημεριανό τάπας μπαρ. 
Όταν ερωτηθήκαμε εάν ήταν όλα ωραια(!!!!!!) και αναφερθήκαμε στη θέση του τραπεζιού και στην αδιαφορία να κάνουν την αλλαγή ή έστω να μας ενημερώσουν ότι δεν δύνανται, μας κέρασαν ως εξιλέωση για το λάθος τους τέσσερα σφηνάκια και τέσσερα σοκολατάκια, όπως στη φωτογραφία……κανένα άλλο σχόλιο. Απογοήτευση μεγάλη!!!Περισσότερα",Greek,"We had closed a month ago for four people to spend Christmas Eve.They gave us a table at the back of the room looking at either the wall and the danger exit or the legs of the cooks in the open kitchen, as shown in the ... photos.
We asked for a table change as soon as we sat down, they told us they would take care of it but they never changed us, though there were two four tables in the central hall for half of the night we were there.
The food was special and some dishes (tartar beef with foie gras) is very tasty but generally serving and presenting the dishes was very moderate like a lunch bar.
When we were asked if they were all nice (!!!!!!) and referred to the table position and indifference to make the change or even let us know that they could not, we were treated as atonement for their fault four shotguns and four chocolates,As in the photo …… no other comment.Frustration Great !!! More",0.9183,20,December 2022,"['Mediterranean', 'European']",5.0
5905,6038,Babula Bar 1937,"Είχαμε κλείσει πριν ένα μήνα για τέσσερα άτομα να περάσουμε σε αυτό το εστιατόριο το ρεβεγιόν Χριστουγέννων. Μας έδωσαν ένα τραπέζι στο πίσω μέρος της αίθουσας βλέποντας είτε τον τοίχο και την έξοδο κινδύνου είτε τα πόδια των μαγείρων στην ανοιχτή κουζινα, όπως φαίνεται στις...φωτογραφίες. 
Ζητήσαμε αλλαγή τραπεζιού μόλις καθίσαμε, μας είπαν θα το φροντίσουν αλλά δεν μας άλλαξαν ποτέ, αν και υπήρχαν στην κεντρική αίθουσα δυο τεσσάρια τραπέζια κενά για το μισό της βραδιάς που είμασταν εκεί. 
Το φαγητό ήταν ιδιαίτερο και κάποια πιάτα (ταρταρ μοσχάρι με φουά γκρα) πολύ νόστιμα αλλά γενικά το σερβίρισμα και η παρουσίαση των πιάτων ήταν πολύ μέτρια σαν ένα μεσημεριανό τάπας μπαρ. 
Όταν ερωτηθήκαμε εάν ήταν όλα ωραια(!!!!!!) και αναφερθήκαμε στη θέση του τραπεζιού και στην αδιαφορία να κάνουν την αλλαγή ή έστω να μας ενημερώσουν ότι δεν δύνανται, μας κέρασαν ως εξιλέωση για το λάθος τους τέσσερα σφηνάκια και τέσσερα σοκολατάκια, όπως στη φωτογραφία……κανένα άλλο σχόλιο. Απογοήτευση μεγάλη!!!Περισσότερα",Greek,"We had closed a month ago for four people to spend Christmas Eve.They gave us a table at the back of the room looking at either the wall and the danger exit or the legs of the cooks in the open kitchen, as shown in the ... photos.
We asked for a table change as soon as we sat down, they told us they would take care of it but they never changed us, though there were two four tables in the central hall for half of the night we were there.
The food was special and some dishes (tartar beef with foie gras) is very tasty but generally serving and presenting the dishes was very moderate like a lunch bar.
When we were asked if they were all nice (!!!!!!) and referred to the table position and indifference to make the change or even let us know that they could not, we were treated as atonement for their fault four shotguns and four chocolates,As in the photo …… no other comment.Frustration Great !!! More",0.9183,20,December 2022,"['Mediterranean', 'European']",5.0
5984,6117,Taps,"Το περιβάλλον αδιάφορο. Εστιατόριο αποκλειστικά για τάπας, με σχετικά μικρή ποικιλία. Οι μερίδες τάπας πολύ μικρές και γενικά το εστιατόριο αρκετά ακριβό. Υπάρχουν πολύ καλυτερα εστιατόρια να πάτε.",Greek,"The environment is indifferent.Restaurant exclusively for tapas, with a relatively small variety.The portions of tapas very small and the restaurant in general is quite expensive.There are much better restaurants to go.",0.4404,10,September 2016,"['Mediterranean', 'European']",4.5
6043,6176,Gusto,"Τελευταίος Πέμπτη έφυγα από τη Βοστώνη σε μια τεράστια χιονόπτωση. Μέχρι τη στιγμή που πήγα σπίτι στη Βαρκελώνη, είπα στον σύζυγό μου ότι ήμουν πολύ κουρασμένος για να μαγειρέψω. Πρότεινε να δοκιμάσουμε την πίτσα
τοποθετήστε το GUSTO στη γωνία του διαμερίσματός μας. Φτάσαμε. Όταν φτάσαμε,...ο χώρος ήταν άδειος. Ο σύζυγός μου διέταξε την 4 πίτσα τυριού και ένα μπουκάλι μεταλλικό νερό.
Δέμησα την πίτσα μανιταριών και ζήτησα ένα ποτήρι νερό βρύσης. Ο κοπατέας έφυγε! ! Σαρκαστικά μου είπε ότι δεν εξυπηρετούν το νερό της βρύσης. Του είπα ότι έχω ζει στην Barrcelona για 3 χρόνια. Βάζω καθημερινά τα δόντια μου και το πίνω κάθε μέρα και είμαι σε άριστη υγεία. Είπε κάτι αγενής στο Sanish και ο σύζυγός μου που ήταν ισπανός μίλησε σε αυτόν. Για την πίστη του, ο σερβιτόρος δεν απολογηθεί, αλλά κατέστρεψε ολόκληρο το δείπνο. Η πρότασή μου για την Mercadon να αγοράσει μια παγωμένη πίτσα για 3 ευρώ θα είμαι καλύτερη ποιότητα και καλύτερη γεύση. Ο λογαριασμός μας ανήλθε στα 35 ευρώ για 2 πίτσες ένα νερό και μία έρημο. Η πρότασή μου αν θέλετε πραγματικά ιταλικά να πάτε στο Greco. Θα μπορούσε να κοστίσει περισσότερο, αλλά αξίζει τον κόπο. Σκάφος Gusto.Περισσότερα",Greek,"Last Thursday I left Boston in a huge snowfall.By the time I went home to Barcelona, I told my husband that I was too tired to cook.Suggested that we try the pizza
Place Gusto on the corner of our apartment.We arrived.When we arrived, ... the space was empty.My husband ordered 4 cheese pizza and a bottle of mineral water.
I tied the mushroom pizza and asked for a glass of tap water.The Copteas is gone!!Sarcastically he told me that they do not serve the tap water.I told him I have lived in Barrcelona for 3 years.I put my teeth daily and drink it every day and I am in excellent health.He said something rude to Sanish and my Spanish husband spoke to him.For his faith, the waiter does not apologize, but destroyed the whole dinner.My proposal for Mercadon to buy a frozen pizza for 3 euros will be a better quality and better taste.Our account was 35 euros for 2 pizzas one water and a desert.My suggestion if you really want Italian to go to Greco.It could cost more, but it's worth it.Gusto vessel.",0.9529,10,,"['Italian', 'Pizza']",4.5
6088,6221,Bar Xapako,"Εντυπωσιάστηκε με μια σειρά από εξαιρετικές κριτικές και ήρθε για δείπνο της Παρασκευής με το γιο μου.

Δεν μπόρεσα να σταθεί η μυρωδιά όταν μπήκαμε, πακέτα μεθυσμένων νέων γύρω, λευκοί τοίχοι, σαθρό δάπεδο και ένα φθαρμένο επιτραπέζιο ποδόσφαιρο στην είσοδο.

Μπορεί να είναι το φαγητό...είναι καλό, αλλά δεν μπορεί να ταιριάζει με μια κακή μυρωδιά. Επίσης, είναι δύσκολο να φανταστεί κανείς ότι πρόκειται για ένα οικογενειακό μέρος (κατά τη διάρκεια της ημέρας;). Αποφάσισε να μην μείνει και να μην δοκιμάσει το φαγητό.Περισσότερα",Greek,"He was impressed with a series of excellent reviews and came for Friday's dinner with my son.

I couldn't stand the smell when we got in, packages of drunken young people around, white walls, loose flooring and a worn outlet at the entrance.

It may be food ... it's good, but it can't match a bad smell.It is also difficult to imagine that this is a family place (during the day?).Decided not to stay and not try the food.",0.561,20,March 2020,"['Bar', 'Mediterranean']",5.0
14947,15228,Babula Bar 1937,"Είχαμε κλείσει πριν ένα μήνα για τέσσερα άτομα να περάσουμε σε αυτό το εστιατόριο το ρεβεγιόν Χριστουγέννων. Μας έδωσαν ένα τραπέζι στο πίσω μέρος της αίθουσας βλέποντας είτε τον τοίχο και την έξοδο κινδύνου είτε τα πόδια των μαγείρων στην ανοιχτή κουζινα, όπως φαίνεται στις...φωτογραφίες. 
Ζητήσαμε αλλαγή τραπεζιού μόλις καθίσαμε, μας είπαν θα το φροντίσουν αλλά δεν μας άλλαξαν ποτέ, αν και υπήρχαν στην κεντρική αίθουσα δυο τεσσάρια τραπέζια κενά για το μισό της βραδιάς που είμασταν εκεί. 
Το φαγητό ήταν ιδιαίτερο και κάποια πιάτα (ταρταρ μοσχάρι με φουά γκρα) πολύ νόστιμα αλλά γενικά το σερβίρισμα και η παρουσίαση των πιάτων ήταν πολύ μέτρια σαν ένα μεσημεριανό τάπας μπαρ. 
Όταν ερωτηθήκαμε εάν ήταν όλα ωραια(!!!!!!) και αναφερθήκαμε στη θέση του τραπεζιού και στην αδιαφορία να κάνουν την αλλαγή ή έστω να μας ενημερώσουν ότι δεν δύνανται, μας κέρασαν ως εξιλέωση για το λάθος τους τέσσερα σφηνάκια και τέσσερα σοκολατάκια, όπως στη φωτογραφία……κανένα άλλο σχόλιο. Απογοήτευση μεγάλη!!!Περισσότερα",Greek,"We had closed a month ago for four people to spend Christmas Eve.They gave us a table at the back of the room looking at either the wall and the danger exit or the legs of the cooks in the open kitchen, as shown in the ... photos.
We asked for a table change as soon as we sat down, they told us they would take care of it but they never changed us, though there were two four tables in the central hall for half of the night we were there.
The food was special and some dishes (tartar beef with foie gras) is very tasty but generally serving and presenting the dishes was very moderate like a lunch bar.
When we were asked if they were all nice (!!!!!!) and referred to the table position and indifference to make the change or even let us know that they could not, we were treated as atonement for their fault four shotguns and four chocolates,As in the photo …… no other comment.Frustration Great !!! More",0.9183,20,December 2022,"['Mediterranean', 'European']",5.0
15033,15314,Taps,"Το περιβάλλον αδιάφορο. Εστιατόριο αποκλειστικά για τάπας, με σχετικά μικρή ποικιλία. Οι μερίδες τάπας πολύ μικρές και γενικά το εστιατόριο αρκετά ακριβό. Υπάρχουν πολύ καλυτερα εστιατόρια να πάτε.",Greek,"The environment is indifferent.Restaurant exclusively for tapas, with a relatively small variety.The portions of tapas very small and the restaurant in general is quite expensive.There are much better restaurants to go.",0.4404,10,September 2016,"['Mediterranean', 'European']",4.5
15093,15374,Gusto,"Τελευταίος Πέμπτη έφυγα από τη Βοστώνη σε μια τεράστια χιονόπτωση. Μέχρι τη στιγμή που πήγα σπίτι στη Βαρκελώνη, είπα στον σύζυγό μου ότι ήμουν πολύ κουρασμένος για να μαγειρέψω. Πρότεινε να δοκιμάσουμε την πίτσα
τοποθετήστε το GUSTO στη γωνία του διαμερίσματός μας. Φτάσαμε. Όταν φτάσαμε,...ο χώρος ήταν άδειος. Ο σύζυγός μου διέταξε την 4 πίτσα τυριού και ένα μπουκάλι μεταλλικό νερό.
Δέμησα την πίτσα μανιταριών και ζήτησα ένα ποτήρι νερό βρύσης. Ο κοπατέας έφυγε! ! Σαρκαστικά μου είπε ότι δεν εξυπηρετούν το νερό της βρύσης. Του είπα ότι έχω ζει στην Barrcelona για 3 χρόνια. Βάζω καθημερινά τα δόντια μου και το πίνω κάθε μέρα και είμαι σε άριστη υγεία. Είπε κάτι αγενής στο Sanish και ο σύζυγός μου που ήταν ισπανός μίλησε σε αυτόν. Για την πίστη του, ο σερβιτόρος δεν απολογηθεί, αλλά κατέστρεψε ολόκληρο το δείπνο. Η πρότασή μου για την Mercadon να αγοράσει μια παγωμένη πίτσα για 3 ευρώ θα είμαι καλύτερη ποιότητα και καλύτερη γεύση. Ο λογαριασμός μας ανήλθε στα 35 ευρώ για 2 πίτσες ένα νερό και μία έρημο. Η πρότασή μου αν θέλετε πραγματικά ιταλικά να πάτε στο Greco. Θα μπορούσε να κοστίσει περισσότερο, αλλά αξίζει τον κόπο. Σκάφος Gusto.Περισσότερα",Greek,"Last Thursday I left Boston in a huge snowfall.By the time I went home to Barcelona, I told my husband that I was too tired to cook.Suggested that we try the pizza
Place Gusto on the corner of our apartment.We arrived.When we arrived, ... the space was empty.My husband ordered 4 cheese pizza and a bottle of mineral water.
I tied the mushroom pizza and asked for a glass of tap water.The Copteas is gone!!Sarcastically he told me that they do not serve the tap water.I told him I have lived in Barrcelona for 3 years.I put my teeth daily and drink it every day and I am in excellent health.He said something rude to Sanish and my Spanish husband spoke to him.For his faith, the waiter does not apologize, but destroyed the whole dinner.My proposal for Mercadon to buy a frozen pizza for 3 euros will be a better quality and better taste.Our account was 35 euros for 2 pizzas one water and a desert.My suggestion if you really want Italian to go to Greco.It could cost more, but it's worth it.Gusto vessel.",0.9529,10,December 2019,"['Italian', 'Pizza']",4.5
