level_0,index,Restaurant,Review original,Language,Translated Review,Compound,Rating,Date,Cuisine,Total Rating
8205,8412,Locavore Barcelona,עוד,Hebrew,More,0.0,30,November 2021,"['Spanish', 'Contemporary']",5.0
8254,8461,Swagatam Bar-Restaurant Hindu,"מקום זה ממוצע במונחים של טעם של מזון. התרשמתי מאוד מהמלצר הידידותי. לא קלט את שמו, אבל הוא בירך אותנו בנימוס ואפילו לחץ את ידינו. אחד מאיתנו החליט להזמין לה קארט ואילו השני בחר את התפריטים שנקבעו מראש (אתה מקבל יותר מהעסקה). . הזמנו סומוסות..... זה היה נהדר אבל היה overly במחיר עבור רק 2 חתיכות. 5 €. לא שווה את זה במחיר. כשהגיע האוכל, הייתי מאוכזב מאוד מן המנות. לא בגלל שזה היה מנות קטנות, אבל בגלל a la carte ואת התפריט פריטים היו אותו גודל גדול גודל אחד מהם יש יותר מן העסקה ואת השני לא באותו מחיר. שתי מנות היה טעם דומה למעט אחד היה spicer מאשר השני וזה היה בסדר. ללא שם: ללא קשר, עזבנו את המקום עם בטן מלאה ומאושרת. אם נחליט לבוא בפעם הבאה, נדע דרך טובה יותר כדי לחסוך כסף.עוד",Hebrew,"This space is average in terms of food.I was very impressed with the friendly waiter.He didn't take his name, but he politely congratulated us and even shook our hands.One of us decided to order her kart while the other chose the pre -set menus (you get more than the deal)..We booked somus ..... it was great but was overly for only 2 pieces.€ 5.Not worth it at the price.When the food arrived, I was very disappointed with the dishes.Not because it was small dishes, but because of A LA Carte and the menu items were the same size one size there are more than the deal and the other not the same price.Two dishes had a similar flavor except one was Spicer than the other and it was fine.Regardless, we left the place with a full and happy stomach.If we decide to come next time, we will know a better way to save money.",0.9653,30,August 2018,"['Indian', 'Asian']",4.5
8275,8482,RAÓ Restaurant,"We were a large group so we tried many dishes.The place looked very promising ... But most dishes weren't tasty. Prices thoygh were outrages. We left hungry, unsatisfied and with a huge hole in our pockets ;-)
Bottom line - AVOID!

היינו קבוצה גדולה והזמנו...מראש מקום. המקום נראה מאוד מבטיח...  הזמנו סוגים רבים של טאפסים שיספיקו לכל הקבוצה, המנות היו קטנטנות והמחיר מאוד גבוה והטעם לא מצדיק את העניין. יצאנו מאוכזבים, רעבים ועם חור ענק בכיס ;-) 
בקיצור הימנעו!עוד",Hebrew,"We we a la Large Group So We TRED MANY DISHES.THE PLACE LOOKED VERY PROMISING ... But Most Dishes Weren't Tasty.Prices Thoygh were outrages.We lept hungry, unsatisfied and wit a huge hole in oun pockets ;-)
Bottom Line - Avoid!

We were a large group and booked ... in advance.The place looks very promising ... We ordered many types of tapes that will suffice for the entire group, the dishes were tiny and the price is very high and the taste does not justify the matter.We left disappointed, hungry and with a huge hole in the pocket ;-)
In short avoid! More",0.5998,10,August 2018,"['Spanish', 'Mediterranean']",5.0
8278,8485,RAÓ Restaurant,אוכל טוב אבל שום דבר מהעולם הזה במחיר. השירות יכול להשתפר גם כן: ביקשנו המלצות והם אמרו: הכל בכל דברעוד,Hebrew,Good food but nothing from this world in price.The service can also improve: We asked for recommendations and they said: Everything in everything is further,0.7003,30,October 2019,"['Spanish', 'Mediterranean']",5.0
8281,8488,RAÓ Restaurant,"הלכנו לכאן לארוחת ערב עם שני הבנים שלנו. האוכל נהדר. זה כמו טאפאס אבל קצת יותר גדול. תזדקק לשתי כלים לאדם. בגיל המסך שלי יש ברווז תפוחי אדמה עם כנפי עוף, ו 12 Y / O היו תמנון צלוי ובוראטה. היה לי פאייה, מנה בקר...ולאשתי היו כמה כלים שלא היה לה כל כך אכפת. האוכל באיכות טובה. היו לנו גם כמה כוסות יין שהיו טובות. היה לנו כיף בלילה לחקור aww. בסופו של דבר באל-נשיונל קינוחים ושתייה.עוד",Hebrew,"We went here for dinner with our two sons.The food is great.It's like tapas but a little bigger.You will need two tools for a person.My screen age has potato duck with chicken wings, and 12 Y / O were roasted octopus and burratta.I had a paella, a beef dish ... and my wife had some tools she didn't care.The food is good quality.We also had some glasses of wine that were good.We had fun at night to explore Aww.End up in al-National Desserts and Drinking. More",0.8765,30,July 2019,"['Spanish', 'Mediterranean']",5.0
8285,8492,RAÓ Restaurant,"ביקרנו כאן בקבוצה במוצאי שבת בשעה 8:30. בהתחשב באנשים בברצלונה לאכול מאוחר חשבנו שזה היה זמן טוב, אבל היו מומלץ עם הגעתו כי הם ברחו של Paella ורק נותר חלק אחד של croquettes שמאל - וזה לא היה נהדר בכלל! ! הזמנו קוקטיילים וכמה מנות...טאפאס. הכלים עצמם היו בסדר - טרטר הטונה היה גולת הכותרת, אבל הדיונון היה מלוח ביותר - זה היה למעשה אכיל בשל כמות המלח. כנפיים עוף - טוב מאוד. הקוקטיילים היו חזקים מאוד. השירות היה טוב במיוחד, ולכן אין תלונות שם, אבל הרגשנו את האוכל היה יכול להיות שיפור. ערך עבור הכסף היה טוב מאוד בהתחשב בגדלים מנה, ואתה יכול להגיד את המרכיבים היו באיכות טובה, אבל מאוכזב חוסר שתי מנות וכמות מלח בשימוש.עוד",Hebrew,"We visited a group here on Saturday night at 8:30.Considering people in Barcelona to eat later we thought it was a good time, but it was recommended when they arrived because they fled Paella and only one part of the left crocettes - and it wasn't great at all!!We booked cocktails and some dishes ... tapas.The tools themselves were fine - the tuna tartare was the highlight, but the discussion was extremely salty - it was actually edible due to the amount of salt.Chicken wings - very good.The cocktails were very strong.The service was particularly good, so there are no complaints there, but we felt the food could have been an improvement.Value for the money was very good given the sizes of dose, and you can say the ingredients were of good quality, but disappointed in lack of two dishes and a amount of salt used.",0.3176,30,March 2019,"['Spanish', 'Mediterranean']",5.0
8352,8559,Gusto,"הזמנו לפתיחה ברוסקטות שהיו דיי תפלות וחסרות עניין.
מנת רביולי אחת שהיתה טובה מאוד ומנת פסטה פירות ים שהייתה לא רעה אבל עם מעט מדי פירות ים(היה שרימפס אחד בכל הפסטה).
השירות היה טוב האווירה במקום נחמדה והמחירים הוגנים למדי אבל ציפינו לקצת יותר.",Hebrew,"We ordered the opening in the Russians who were enough prayer and disinterest.
One ravioli dish that was very good and a seafood pasta that was not bad but with too few seafood (there was one shrimp in all the pasta).
The service was good at the atmosphere in a nice place and the prices fair but we expected a little more.",0.932,30,October 2018,"['Italian', 'Pizza']",4.5
8358,8565,Gusto,"ביום חמישי האחרון טסתי הביתה מבוסטון בסופת שלג ענקית. כשהגעתי הביתה לברצלונה אמרתי לבעלי שאני עייף מדי לבשל. הוא הציע לנסות את הפיצה
מקם GUSTO מעבר לפינת הדירה שלנו. יצאנו לדרך. כשהגענו המקום היה ריק. בעלי הזמין את 4 פיצה הגבינה ובקבוק מים מינרליים.
הזמנתי...את פיצה הפטריות וביקשתי כוס מי ברז. האורח הלך! ! בציניות אמר לי שהם לא מגישים מי ברז. אמרתי לו שיש לי מגורים בברסלונה במשך 3 שנים, אני מצחצח את השיניים שלי מדי יום ואני שותה את זה כל יום ואני במצב מצוין. הוא אמר שמשהו חצוף בסאניש ובעלי בספרדית דיבר איתו. לזכותו ייאמר שהמלצר לא מתנצל אולם זה הרס את כל ארוחת הערב. ההצעה שלי למקדדון לקנות פיצה קפואה ב -3 יורו אני אהיה באיכות טובה יותר ויהיה טעים יותר. החשבון שלנו הגיע ל- 35 יורו עבור 2 פיצות מים ומדבר אחד. ההצעה שלי אם אתה רוצה איטלקית אמיתית לך לג'קו. זה אולי עולה יותר אבל זה שווה את זה. ספינה גוסטו.עוד",Hebrew,"Last Thursday I flew home from Boston with a huge snowstorm.When I got home to Barcelona, I told my husband that I was too tired to cook.He suggested trying the pizza
Gusto plays beyond our apartment corner.We set off.When we arrived the place was empty.My husband ordered the 4 cheese pizza and a bottle of mineral water.
I ordered ... the mushroom pizza and asked for a glass of tap water.The guest went!!Cynically told me that they did not serve tap water.I told him I had a residence in Breslona for 3 years, I brush my teeth daily and I drink it every day and I'm in great shape.He said that something was cheeky in Sunish and my husband Spanish spoke to him.To his credit, it is said that the waiter does not apologize, but it has destroyed the whole dinner.My bedroom offer to buy frozen pizza at 3 euros I will be better quality and will be more delicious.Our account reached 35 euros for 2 water pizzas and one desert.My offer if you want real Italian to you for Jacquer.It may cost more but it is worth it.A ship Gusto. Over",0.8091,10,December 2019,"['Italian', 'Pizza']",4.5
8362,8569,Gusto,"באנו לכאן בגלל הדירוג הגבוה של הטיול. למרבה הצער הדירוג האמיתי צריך להיות הרבה יותר נמוך. הפיצות לא היו רעות, אבל שום דבר מיוחד. רשימת היין המסכנה. סלטים -. . . . קינוחים - מהסופרמרקט.עוד",Hebrew,"We came here because of the high ranking of the trip.Unfortunately the real rating should be much lower.The pizzas were bad, but nothing special.The poor wine list.Salads....Desserts - from the supermarket. More",0.2688,30,April 2019,"['Italian', 'Pizza']",4.5
8404,8611,Bar Xapako,הצוות היה נחמד מאוד. האוכל היה בסדר. הסביבה היתה רועשת והתאורה היתה קשה מאוד. בסך הכל זה היה בסדר.,Hebrew,The team was very nice.The food was fine.The environment was noisy and the lighting was very difficult.All in all it was fine.,0.0258,30,July 2018,"['Bar', 'Mediterranean']",5.0
9846,10053,BelleBuon,"מסעדה נחמדה, שירות אדיב. השף עושה יחסי ציבור נהדרים. האוכל היה בינוני. לא הייתי ממליצה ללכת במיוחד למקום ספציפי זה.",Hebrew,"Nice restaurant, courteous service.The chef makes great public relations.The food was mediocre.I would not recommend going specifically to this specific place.",0.8438,30,September 2015,"['Italian', 'Neapolitan']",5.0
9862,10069,BelleBuon,"החלטנו לעשות את הנסיעה אל BelleBuon מהמלון שלנו, W, בלילה האחרון שלנו בברצלונה בשל הדירוג הגבוה על TripAdvisor. לאחרונה נסענו ל Ravello, איטליה לפני חודשיים ואנחנו השתוקק ""איטלקית אותנטית"" כמו ביקורות רבות לשים את זה. המלצר שלנו אשר אני מניח היה הבעלים היה מאוד ידידותי...וסייע לנו עם בחירת התפריט שלנו. היה לנו את מתאבן ברוסקטה שהיה טעים עבור הארוחות שלנו היו לנו כל מנות לזניה שהוא מומלץ מאוד. לרוע המזל לזניה לא היה טוב אשר היה מפתיע, כי רבים של ביקורות אמר שזה היה נהדר. כאשר השרת האפריקאי הצעיר יותר פינה את הצלחות שלנו היא מיד הביאה אותם לשף להראות לו שאנחנו לא אוכלים הרבה של המנה. השולחן שלנו היה הכי קרוב למטבח מאחור מאוד, והכיסא שלי עמד מול השף. הוא התחיל להעיף מבט זועם מאוד וצעק לעברנו במשך שארית 15 הדקות שבילינו שם בזמן שבעלי סיים את היין שלו. מעולם לא חשתי יותר אי-נוחות או שקיבלתי טיפול כה גרוע במסעדה לפני כן. זה היה חבל עבורנו כי בחרנו את המסעדה בלילה האחרון שלנו בגלל ביקורות אלה. עבור שרת זה והתנהגות השף לבד אני לא הייתי ממליץ על מסעדה זו בברצלונה.עוד",Hebrew,"We decided to take the trip to Bellebuon from our hotel, W, our last night in Barcelona due to the high ranking on Tripadvisor.We recently traveled to Ravello, Italy two months ago and we crave ""authentic Italian"" like many reviews to put it.Our waiter who I guess was very friendly ... and helped us choose our menu.We had the grosa dicker that was delicious for our meals we had any lasagna dishes that is highly recommended.Unfortunately, Lazania was not good that was surprising, because many of the reviews said it was great.When the younger African server cleared our plates, she immediately brought them to chef to show him that we were not eating much of the dish.Our table was closest to the kitchen very much, and my chair was facing the chef.He began to take a very angry look and shouted at us for the rest of the 15 minutes we spent there while my husband finished his wine.I have never felt more discomfort or received such a bad treatment at the restaurant before.It was a shame for us because we chose the restaurant last night because of these reviews.For this server and the chef's behavior alone I would not recommend this restaurant in Barcelona.",-0.2423,30,,"['Italian', 'Neapolitan']",5.0
9871,10078,Le Romane,"אנשים נחמדים, פנים מעניינים, אבל על כל ערך התמורה לא כל כך נהדר - האוכל היה בסדר אבל שום דבר מיוחד, בטווח המחירים שלהם אתה יכול להשיג יותר",Hebrew,"Nice people, interesting face, but on the whole value of the value is not so great - the food was fine but nothing special, in their price range you can achieve more",0.1419,30,December 2019,"['Italian', 'Pizza']",5.0
