level_0,index,Restaurant,Review original,Language,Translated Review,Compound,Rating,Date,Cuisine,Total Rating
7362,7569,Kiltro Restobar,"Overall it is a nice place with very friendly staff, but my food was not very enjoyable. My quesadillas were fried so hard they were brownish (who even fries quesadillas this days??) and fish tacos had a not pleasant taste. Food could be better. Drinks...and people are great.More",Hindi,"Overall it is a nice place with very friendly staff, but my food was not very enjoyable. My quesadillas were fried so hard they were brownish (who even fries quesadillas this days??) and fish tacos had a not pleasant taste. Food could be better. Drinks...and people are great.More",-0.392,30,,"['Mexican', 'Latin']",5.0
7390,7597,Don Asador,"We were recommended this restaurant and before we arrived in Barcelona, we tried to reserve a table for a group of 6 twice by sending  them emails, no reply....SHAME!",Hindi,"We were recommended this restaurant and before we arrived in Barcelona, we tried to reserve a table for a group of 6 twice by sending  them emails, no reply....SHAME!",-0.1759,20,,"['Steakhouse', 'Grill']",5.0
7401,7608,Locavore Barcelona,"We went there hoping to discover local products during the whole meal but were a bit disappointed... I guess they try to use local products in their plates (though the ""foie mi cuit"" cooked with Coca Cola does not seem very aligned with that philosophy),...and the food was good. 
What was more disturbing was that when I asked for a soft drink, I was only suggested a Fanta or a Nestea... A pity when so many more local and healthier alternatives exist. At least the water was from the tap, hence local ;) 
Service was also a bit weird: e.g. we received an entrance (offered by the restaurant, which is nice) 2 minutes before our plate, which didn't leave us enough time to eat it!
In conclusion, a good restaurant with a concept only half exploited.More",Hindi,"We went there hoping to discover local products during the whole meal but were a bit disappointed... I guess they try to use local products in their plates (though the ""foie mi cuit"" cooked with Coca Cola does not seem very aligned with that philosophy),...and the food was good. 
What was more disturbing was that when I asked for a soft drink, I was only suggested a Fanta or a Nestea... A pity when so many more local and healthier alternatives exist. At least the water was from the tap, hence local ;) 
Service was also a bit weird: e.g. we received an entrance (offered by the restaurant, which is nice) 2 minutes before our plate, which didn't leave us enough time to eat it!
In conclusion, a good restaurant with a concept only half exploited.More",0.4068,30,November 2021,"['Spanish', 'Contemporary']",5.0
7422,7629,Jara Sushi Degustación,"It was freezing in there. Did not enjoy their choice for a loud hiphop music. Did not love that they had no green tea (unheard of for a Japanese restaurant to not have a hot tea). Did not like that the place was so uncomfortable,...could not wait to leave. Thought WTF with all the stellar reviews? Made me think: what? really? Nevertheless, the servers were nice, friendly. Hope your experience is better than mine. -pMore",Hindi,"It was freezing in there. Did not enjoy their choice for a loud hiphop music. Did not love that they had no green tea (unheard of for a Japanese restaurant to not have a hot tea). Did not like that the place was so uncomfortable,...could not wait to leave. Thought WTF with all the stellar reviews? Made me think: what? really? Nevertheless, the servers were nice, friendly. Hope your experience is better than mine. -pMore",-0.5901,10,,"['Japanese', 'Sushi']",5.0
7551,7758,RAÓ Restaurant,We had high expectations for this restaurant and were so happy when they managed to fit us in without a booking. The menu has a great selection without giving you too much to choose from. The food was good but not memorable. We were expecting...more and in the end it was just ok for us.More,Hindi,We had high expectations for this restaurant and were so happy when they managed to fit us in without a booking. The menu has a great selection without giving you too much to choose from. The food was good but not memorable. We were expecting...more and in the end it was just ok for us.More,0.8556,30,,"['Spanish', 'Mediterranean']",5.0
7554,7761,RAÓ Restaurant,"We visited this place based on TA reviews. It is an upscale tapas bar/restaurant, and the tapas were indeed of good quality but pricey, which I couldn't say about the wine card—very few choices for that price level place. Service was good and fast (almost...too fast) but ambiance was a bit noisy for my taste. I am sure you can find a cheaper option with equally good tapas and better atmosphere in town.More",Hindi,"We visited this place based on TA reviews. It is an upscale tapas bar/restaurant, and the tapas were indeed of good quality but pricey, which I couldn't say about the wine card—very few choices for that price level place. Service was good and fast (almost...too fast) but ambiance was a bit noisy for my taste. I am sure you can find a cheaper option with equally good tapas and better atmosphere in town.More",0.9371,30,,"['Spanish', 'Mediterranean']",5.0
7595,7802,Billy Brunch & Garden,"Greet branch, we waited a bit before outside, the omelette and the scrambled eggs was great, the pancakes was a bit heavy and it seemed that they wanted us to leave fast because other people were waiting outside even though we weren’t sitting there for...more then 1 hour, but the waitresses were kind.More",Hindi,"Greet branch, we waited a bit before outside, the omelette and the scrambled eggs was great, the pancakes was a bit heavy and it seemed that they wanted us to leave fast because other people were waiting outside even though we weren’t sitting there for...more then 1 hour, but the waitresses were kind.More",0.4767,30,December 2022,"['French', 'American']",5.0
7596,7803,Billy Brunch & Garden,"We had this on our list of breakfast options for the trip so spent our Sunday morning queuing for what we’d read would be a 4.9 treat! 

After a 30 minute queue, we were greeted by the chefs and most of the staff before being...seated inside. ( Definitely opt for outside if you can. Very pretty garden ) The service was 10/10 throughout but sadly the food did not live up to our expectations. I ordered scrambled eggs and they were very dry/ over cooked and my friend had the shakshuka which is usually her favourite breakfast meal, but she only managed to eat her eggs and the piece of baguette she was given, avoiding the sauce which resembled more of a stew. 

We’re both really not that fussy, especially with breakfast, but we left most of it untouched. The staff were v kind and apologetic and we left without a bill.

Such a shame as was really looking forward to it! Great service, great ambience but the food was very average!More",Hindi,"We had this on our list of breakfast options for the trip so spent our Sunday morning queuing for what we’d read would be a 4.9 treat! 

After a 30 minute queue, we were greeted by the chefs and most of the staff before being...seated inside. ( Definitely opt for outside if you can. Very pretty garden ) The service was 10/10 throughout but sadly the food did not live up to our expectations. I ordered scrambled eggs and they were very dry/ over cooked and my friend had the shakshuka which is usually her favourite breakfast meal, but she only managed to eat her eggs and the piece of baguette she was given, avoiding the sauce which resembled more of a stew. 

We’re both really not that fussy, especially with breakfast, but we left most of it untouched. The staff were v kind and apologetic and we left without a bill.

Such a shame as was really looking forward to it! Great service, great ambience but the food was very average!More",0.9779,30,,"['French', 'American']",5.0
9320,9527,Kiltro Restobar,"Overall it is a nice place with very friendly staff, but my food was not very enjoyable. My quesadillas were fried so hard they were brownish (who even fries quesadillas this days??) and fish tacos had a not pleasant taste. Food could be better. Drinks...and people are great.More",Hindi,"Overall it is a nice place with very friendly staff, but my food was not very enjoyable. My quesadillas were fried so hard they were brownish (who even fries quesadillas this days??) and fish tacos had a not pleasant taste. Food could be better. Drinks...and people are great.More",-0.392,30,,"['Mexican', 'Latin']",5.0
9348,9555,Don Asador,"We were recommended this restaurant and before we arrived in Barcelona, we tried to reserve a table for a group of 6 twice by sending  them emails, no reply....SHAME!",Hindi,"We were recommended this restaurant and before we arrived in Barcelona, we tried to reserve a table for a group of 6 twice by sending  them emails, no reply....SHAME!",-0.1759,20,February 2023,"['Steakhouse', 'Grill']",5.0
