level_0,index,Restaurant,Review original,Language,Translated Review,Compound,Rating,Date,Cuisine,Total Rating
7752,7959,Taps,"혼자 늦은시간에 가서 이것저것 시켰는데, 결과적으로 삼십분만에 음료를 받았고, 음...식이 나온건 한시간 15분이 지나서였다.
주문이 밀려있었다면 음식이 늦게 나올수 있다는걸 알려줄수 있었을텐데... 음식은 괜찮았지만 이게 내가 배고파서 맛있게 느껴진건지 진짜로 맛있었는지 모르겠다.더 보기",Korean,"I went alone in a late time, and as a result, I received a drink in thirty minutes, and it was after an hour 15 minutes.
If the order was pushed, it would have been possible to tell you that the food could come out late.",-0.25,10,December 2015,"['Mediterranean', 'European']",4.5
7779,7986,Viana,오늘 먹고왔어요 맛있었고 친절했는데 계산하려고 하니 바텐더분이 갑자기 팁을 달라고...더 보기,Korean,I ate it today.,0.0,20,October 2018,"['International', 'Mediterranean']",5.0
7805,8012,Gusto,"지난 목요일에 나는 큰 눈 폭풍으로 보스턴에서 집으로 날아 갔다. 바르셀로나에 집에 도착했을 때 나는 남편에게 요리하기에는 너무 피곤하다고 말했습니다. 그는 우리가 피자를 먹어 보라고 제안했다
아파트 구석에 GUSTO를 설치하십시오. 우리는 갔다. 우리가 도착했을 때 장소는 비어있었습니다. 남편은 치즈 피자 4 병과 생수 1 병을...주문했습니다.
나는 버섯 피자를 주문하고 수돗물 한 잔을 요청했다. 웨이터가 떠났다! ! 그는 냉수 적으로 그들이 수돗물을 제공하지 않는다고 말했다. 나는 3 년 동안 Barrcelona에서 livd를 가지고 있다고 그에게 매일 매일이를 닦고 매일 마시 며 건강 상태가 우수하다고 말했습니다. 그는 Sanish에서 무례한 것이었고 스페인 인 남편이 그에게 말했다. 그의 신용에 따라 웨이터는 사과하지만 전체 저녁을 망쳤다. Mercadon에 대한 나의 제안은 3 유로에 냉동 피자를 사는데 나는 품질이 좋고 맛이 더 좋을 것입니다. 우리 법안은 피자 2 개와 물 1 개, 사막 1 개를 위해 35 유로에 이르렀습니다. 만약 당신이 진짜 이탈리아 인을 원한다면 Greco에 가십시오. 더 많은 비용이 들지만 그만한 가치가 있습니다. 배 Gusto.더 보기",Korean,"Last Thursday I flew home from Boston with a big snow storm.When I arrived home in Barcelona, I told her husband that he was too tired to cook.He suggested to try pizza
Install Gusto in the corner of the apartment.We went.The place was empty when we arrived.My husband ordered four bottles of cheese pizza and one bottle of bottled water.
I ordered mushroom pizza and asked a glass of tap water.The waiter has left!!He said that they did not provide tap water.I have a LIVD in Barrcelona for three years, so I told him that I have a daily drink and drinking every day and having excellent health.He was rude in Sanish and told him to Spanish husband.According to his credit, the waiter apologized but ruined the entire evening.My suggestion for Mercadon is a frozen pizza for 3 euros, and I will have good quality and better taste.Our bill has reached 35 euros for two pizzas, one water, and one desert.If you want a real Italian, go to GRECO.It costs more, but it's worth it.Boat Gusto. More",0.8548,10,December 2019,"['Italian', 'Pizza']",4.5
7813,8020,Gusto,"지난 몇 년간 구스토에. 피자는 언제나, 하지만 것 그들의 최고의 요리 다른 품질이 달라질 수 있습니다. 서비스는 항상 지저분한, 빨리 먹을 것이라고 기대하지 마십시오. 그러나 1년 이탈리아 우리를 떠나지 물었다, 시트 20분 이상 우리가 식사를 점유하고 있기 때문입니다. 나는 박람회, 내가 먹는 데 시간이 찾으세요?...및 서비스? 가는 비참한. 오늘 배달 주문했는데, 그들은 나를 묻지 않고 교체 와인. 저렴한 최악의 맛. 그래서, 당신은 좋은 피자 찾는 경우, 하지만 웨이터는 좋은 항상 거의 비명을 지르며, 소유자 모두 서비스, 기대하지 마세요. 주문 배송 둘 다.더 보기",Korean,"Gusto in the last few years.Pizza is always, but it can be different quality of their best.Do not expect the service to eat quickly and quickly.But I left us for a year, because we have more than 20 minutes of seats.Am I a fair, are you looking for time to eat? ... and service?Theaced miserable.I ordered it today, and they did not ask me.Inexpensive worst.So, if you are looking for a good pizza, but the waiter is always screaming, and don't expect all the owners.Both order delivery. More",0.5803,20,July 2018,"['Italian', 'Pizza']",4.5
7821,8028,Gusto,"하지만 음식은 질과 양, 서비스가 너무 좋아서 우린 우리의 식사를 적으로 완료되지 않았습니다. 
우리의 웨이터 가 우리의 주문을 실제 투쟁, 혼합하여 우리에게 준 것들을 주문하지 않는 태도에 대해 불평을 해 주었다.",Korean,"But the food is so good, and the service is so good that we have not completed our meals.
We complained about our waiter who did not order what we gave us by mixing and mixing our spells.",0.8259,10,August 2017,"['Italian', 'Pizza']",4.5
7846,8053,Bar Xapako,"많은 훌륭한 리뷰에 깊은 인상을 받았으며 아들과 금요일 밤 저녁 식사를했습니다.

우리가 들어갔을 때 냄새를 참을 수 없었습니다. 술에 취한 젊은이의 팩, 하얀 초라한 벽, 초라한 바닥 및 입구에서 낡은 테이블 축구.

음식은 좋지만 악취와 맞지 않을 수 있습니다. 또한 (하루에 가족이있는 곳) 상상하기 어렵습니다....음식을 먹지 않기로 결정했습니다.더 보기",Korean,"I was impressed with many great reviews and had a dinner with my son on Friday night.

When we entered, we couldn't stand the smell.Drunken young people pack, white shabby walls, shabby floors and old table football at the entrance.

The food is good, but it may not fit the odor.It is also difficult to imagine (where the family is a day) .... I decided not to eat.",-0.0938,20,March 2020,"['Bar', 'Mediterranean']",5.0
9505,9712,Blu Bar,"우리는 음식이 좋았을 때 두 번 여기에서 먹었지 만 우리가받은 열악한 봉사 때문에 속이는 느낌이 들었습니다. 바는 미식가 샌드위치, 음료 및 커피로 구성된 ""멘델 다""를 고정 가격으로 광고합니다. 비록 우리는 남자들에게 웨이터에게 물었고 그는 그것을 우리에게 다시 되풀이했지만, 번역에는 아무런 문제가 없었지만, 우리는 여전히 개별...품목의 전체 가격을 청구했습니다. 주중 오후 1시에 음식을 먹었을 때 많은 고객이 없었지만 서비스는 매우 느 렸습니다. 속이는 느낌이 마음에 들지 않아서 돌아 가지 않을 것입니다.더 보기",Korean,"We ate it twice when we liked the food, but I felt cheated by the poor service we received.The bar advertises the ""Mendelda"" of gourmet sandwiches, drinks and coffee at a fixed price.Although we asked the men the waiter and he repeated it again, although there was no problem in translation, we still claimed the entire price of the item.When I ate at 1 pm during the week, there were not many customers, but the service was very slow.I don't like the feeling of deceiving, so I won't go back.",-0.9673,20,,"['Bar', 'Mediterranean']",5.0
9529,9736,Bella Italia,"우리는 2 x Penne Arabiattas를 주문했고, 웨이트리스는 우리에게 2 개의 Rigatoni pomodorros를 주었다. 그녀가 요리와 함께 도착했을 때 그녀에게 도전했을 때, 그녀는 갑자기 요리의 이름을 Penne Arabiattas로 바 꾸었습니다. 나는 이것이 내가 주문한 것이 아니라는 것을 설명하기 위해 실제로 내 접시를 부엌으로 걸어 갔다. 5...분 후에 돌아 왔던 파스타에 약간의 고추가 담겨져 돌아 왔습니다. 직원들은 분명히 언어 장벽에 의지하려고 노력했지만 이탈리아 요리의 이름은 동일합니다.
친구 피자도 파스타 요리 2 개를 먹고 마지막 요리를 마칠 때 도착했습니다. 이 식당은 등급을 반영하지 않습니다.더 보기",Korean,"We ordered 2 x Penne Arabiattas, and the waitress gave us two rigatoni pomodorros.When she challenged her when she arrived with her dishes, she suddenly decorated her name to Penne Arabiattas.I actually walked my plate to the kitchen to explain that this was not what I ordered.5 ... Pasta, which came back after mines, came back with some peppers.Employees definitely tried to rely on language barriers, but the name of Italian cuisine is the same.
My friend pizza also ate two pasta dishes and arrived at the end of the last dish.This restaurant does not reflect the grade.",0.714,20,September 2019,"['Italian', 'Pizza']",5.0
16543,16886,BelleBuon,"친구들도 레스토랑 및 트립 어드바이저의 리뷰를 확인된 왜 별의 가지 것이 좋습니다. 남부 이탈리아 즐거운 소유자 이탈리아 스페인 버전. 파스타 까르보나라 같은 이탈리아 찾지 않았습니다. 다른 스페인 레스토랑과 비슷합니다. 너무 안 좋았습니다. 가장 충격적인 우리 세식구는 전용 먹은 30너무 치즈 피자. 그게 특이했다. 그가 치즈...혼수. 우리는 밝고 활기차며 푹신한 피자 이탈리아. 이 브루스케타 전채로 아주 그리고 애피타이저 우리의 새우 스캄피,가지. 확실히 즐길 피자와 불행히도 불과. 확실히 좋은 주인, 희망했다 진정한 이탈리안 레스토랑.더 보기",Korean,"My friends also have to have a review of the restaurant and Trip Advisor.Southern Italy's enjoyable Italian Spanish version.I didn't look for Italy like pasta Carbonara.Similar to other Spanish restaurants.It was so bad.The most shocking our meals are 30 too cheese pizza.That was unusual.He's cheese ... coma.We are bright, lively and fluffy pizza Italy.This Brusketta Appearance is very and APITAITE our shrimp scampi, eggplant.It's definitely a pizza and unfortunately.Definitely a good owner, hopeful true Italian restaurant. More",0.9672,20,July 2018,"['Italian', 'Neapolitan']",5.0
16575,16918,Bodega Biarritz 1881 Tapas bar,"리뷰와 평점 보고 엄청 많이 기대하고 찾아간 타파스 집. 스페인 음식이 좀 짠 걸... 감안하더라도, 다른 스페인 음식점들과 비교하면 제 입에는 좀 심하게 짰어요. 그 날 나온 타파스들이 유독 그랬는지 모르겠지만, 그 날 나온 타파스 중 짜지 않은게 단 하나도 없었어요. 거의 한 시간을 기다려서 엄청 배고픈 상태로 저녁 9시 반쯤 착석했기 때문에 저희는 정말 잘 먹을 준비가 돼 있었거든요. 2번 코스 시켜서 먹었는데 처음 하몽 플레이트 빼고는 거의 한 입 정도만 먹고 다 남겼어요... 두 명에 40 유로면 진짜 싸다고 생각했지만, 40 유로 내고 저희는 결국 배고픈 채로 나왔네요... 스텝들도 처음엔 엄청 친절하게 대해주다가, 나중엔 우리가 너무 많이 남겨서 그런지 표정 진짜 안 좋아지고... 저희가 오히려 눈치 봤어요... 그런데 진짜 짜서 못 먹겠는걸 눈치 본다고 억지로 먹진 못하겠더라고요.. 스페인 여행은 보석 같은 맛집이 많아서 한끼 한끼가 소중한데 좀 많이 아쉬운 한끼였습니다 ㅠㅠ 그래도 인기 많은 집이니.. 저희한테만 안 맞은걸수도 있겠죠..?더 보기",Korean,"Tapas house visited with a lot of reviews and rating.Spanish food is a bit salty ... Even if you consider it, it's a bit bad for my mouth compared to other Spanish restaurants.I don't know if the Tapas who came out that day was toxic, but there was no one of the tapas that came out that day.We waited for almost an hour and were so hungry that we were ready to eat well, so we were ready to eat well.I ate it 2 times, but I ate almost one bite except Hamon Plate.I treated it, and later we left too much, so I didn't look really good.One meal is precious, but it was a little unfortunate.",0.7642,10,December 2019,"['Mediterranean', 'Spanish']",5.0
16594,16937,Blu Bar,이것은 틈새 시장에서 매우 바쁜 식당이며 고객을 최대한 활용합니다. 매우 느리고 부주의 한 서비스더 보기,Korean,This is a very busy restaurant in the niche market and makes the most of our customers.View more slow and careless service,-0.4144,20,January 2020,"['Bar', 'Mediterranean']",5.0
16595,16938,Blu Bar,"우리는 음식이 좋았을 때 두 번 여기에서 먹었지 만 우리가받은 열악한 봉사 때문에 속이는 느낌이 들었습니다. 바는 미식가 샌드위치, 음료 및 커피로 구성된 ""멘델 다""를 고정 가격으로 광고합니다. 비록 우리는 남자들에게 웨이터에게 물었고 그는 그것을 우리에게 다시 되풀이했지만, 번역에는 아무런 문제가 없었지만, 우리는 여전히 개별...품목의 전체 가격을 청구했습니다. 주중 오후 1시에 음식을 먹었을 때 많은 고객이 없었지만 서비스는 매우 느 렸습니다. 속이는 느낌이 마음에 들지 않아서 돌아 가지 않을 것입니다.더 보기",Korean,"We ate it twice when we liked the food, but I felt cheated by the poor service we received.The bar advertises the ""Mendelda"" of gourmet sandwiches, drinks and coffee at a fixed price.Although we asked the men the waiter and he repeated it again, although there was no problem in translation, we still claimed the entire price of the item.When I ate at 1 pm during the week, there were not many customers, but the service was very slow.I don't like the feeling of deceiving, so I won't go back.",-0.9673,20,January 2020,"['Bar', 'Mediterranean']",5.0
16618,16961,Bella Italia,"우리는 2 x Penne Arabiattas를 주문했고, 웨이트리스는 우리에게 2 개의 Rigatoni pomodorros를 주었다. 그녀가 요리와 함께 도착했을 때 그녀에게 도전했을 때, 그녀는 갑자기 요리의 이름을 Penne Arabiattas로 바 꾸었습니다. 나는 이것이 내가 주문한 것이 아니라는 것을 설명하기 위해 실제로 내 접시를 부엌으로 걸어 갔다. 5...분 후에 돌아 왔던 파스타에 약간의 고추가 담겨져 돌아 왔습니다. 직원들은 분명히 언어 장벽에 의지하려고 노력했지만 이탈리아 요리의 이름은 동일합니다.
친구 피자도 파스타 요리 2 개를 먹고 마지막 요리를 마칠 때 도착했습니다. 이 식당은 등급을 반영하지 않습니다.더 보기",Korean,"We ordered 2 x Penne Arabiattas, and the waitress gave us two rigatoni pomodorros.When she challenged her when she arrived with her dishes, she suddenly decorated her name to Penne Arabiattas.I actually walked my plate to the kitchen to explain that this was not what I ordered.5 ... Pasta, which came back after mines, came back with some peppers.Employees definitely tried to rely on language barriers, but the name of Italian cuisine is the same.
My friend pizza also ate two pasta dishes and arrived at the end of the last dish.This restaurant does not reflect the grade.",0.714,20,September 2019,"['Italian', 'Pizza']",5.0
