level_0,index,Restaurant,Review original,Language,Translated Review,Compound,Rating,Date,Cuisine,Total Rating
1779,1826,BelleBuon,"Fui com muita expectativa e acabei me frustrando. A massa veio muito al dente, mais pra crua. Um molho de queijo simples. Mas estava gostoso. O problema talvez foi eu ter ido com muita expectativa pelas avaliaçoes que li. Uma pena. Não foi ruim, fui...Mais",Portuguese,"I was very expectant and ended up frustrating.The dough came very al dente, more for raw.A simple cheese sauce.But it was tasty.The problem may have been gone with great expectation for the assessments I read.A feather.It wasn't bad, I went ... more",0.6428,30,December 2019,"['Italian', 'Neapolitan']",5.0
1780,1827,BelleBuon,Fui só a esse restaurante ao ler recomendações aqui no trip. Ao chegar o dono me perguntou meu país de origem logo na porta. Falei Brasil e parece que ele não gostou muito. Me indicou friamente uma mesa e me sentei. Logo após eu chegar...Mais,Portuguese,I went to this restaurant just reading recommendations here on Trip.Upon arriving the owner asked me my home country right on the door.I said Brazil and it seems that he didn't like it very much.I was coldly indicated a table and sat down.Right after I arrive ... More,-0.2755,20,December 2019,"['Italian', 'Neapolitan']",5.0
1845,1892,Bodega Biarritz 1881 Tapas bar,"O restaurante tem bom ambiente.
As tapas são agradáveis, mas como estávamos com a expectativa muito alta (uma vez que está no top de tapas de Barcelona) deixaram muito a desejar. Sente-se que as tapas são aquecidas. Estivemos sentados no bar mesmo em frente a...Mais",Portuguese,"The restaurant has good atmosphere.
The slaps are pleasant, but as we were very high expectation (since it is on the top of barcelona slaps) have left much to be desired.It is felt that the slaps are heated.We were sitting at the bar right in front of ... More",0.6486,30,,"['Mediterranean', 'Spanish']",5.0
1856,1903,La Gastronómica Platillos,"Não entendi porque estava com  boa nota. Restaurante pequeno, pouca variedade de pratos e comida horrorosa.
Pedimos um mix de legumes que qualquer um faz em casa, pouco e sem tempero. O salmão tostado era cru, pouco e parecendo velho.Mais",Portuguese,"I didn't understand why I had a good grade.Small restaurant, little variety of dishes and horrible food.
We ordered a mix of vegetables that anyone does at home, little and without seasoning.The toasted salmon was raw, little and looking old.",-0.1531,10,November 2021,"['Mediterranean', 'Spanish']",5.0
1881,1928,Blu Bar,"A comida é deliciosa e o lugar é ótimo, porém nenhum dos garçons usa máscara e os funcionários da cozinha usavam as máscaras incorretamente ou penduradas no pescoço. Isso não é bom, dada a situação atual do COVID em Barcelona, onde as máscaras são obrigatórias.",Portuguese,"The food is delicious and the place is great, but none of the waiters wore mask and kitchen staff wore masks incorrectly or hanging around their neck.This is not good, given Covid's current situation in Barcelona, where masks are mandatory.",0.3051,20,,"['Bar', 'Mediterranean']",5.0
1882,1929,Blu Bar,"Não entenda o hype.
Nice localização ambiente agradável. Serviço decente. Coquetel (fizz de gengibre) pobre. Tacos - bem, isso deve ser a coisa mais próxima de comer carne de cachorro. Como um patê de carne de cachorro. Um patê de carne de cachorro sem gosto....Sem a carne. Não sou estranho à comida vegana, mas isso foi bom, simplesmente horrível. Eu esperava muito maisMais",Portuguese,"Don't understand Hype.
Nice Location Environmental Environment.Decent service.Poor cocktail (ginger fizz).Tacos - Well, this must be the closest thing to eat dog meat.Like a pate of dog meat.A pate of tasteless dog meat .... without the meat.I'm not strange to vegan food, but that was good, just horrible.I expected much more",0.6162,20,July 2020,"['Bar', 'Mediterranean']",5.0
1941,1988,"We love italy, Pasta & Pizza, Restaurante Barcelona","Estávamos procurando um lugar para comer e paramos lá porque estávamos realmente cansados.
Não esperávamos nada quando vimos os preços. Tivemos massas carbonara e ficamos um pouco decepcionados. As massas estavam quentes, mas não o molho! Também a carbonara parecia que estava saindo de uma...caixa.
O vinho foi realmente bom tho.Mais",Portuguese,"We were looking for a place to eat and stopped there because we were really tired.
We didn't expect anything when we saw the prices.We had carbonara masses and we got a little disappointed.The pasta were hot, but not the sauce!Also Carbonara looked like it was coming out of a ... box.
The wine was really good so.",0.7419,30,,"['Italian', 'Pizza']",5.0
1988,2035,Con Gracia,Comida e bebida boas embora o atendimento tenha sido muito demorado. De qualquer forma fomos duas vezes,Portuguese,Good food and drink although the service was very time consuming.Anyway we went twice,0.4404,30,September 2014,"['Mediterranean', 'Spanish']",4.5
2022,2069,Prado de Flores,"A pessoa que nos atendeu muito amável. 
A bebida que meu Mojito de morango veio errado, até aí tudo bem, a bebida voltou e eu vi que o bartender usou a mesma bebida e só adicionou syrup de morango, tirou um pouco da bebida e...colocou mais syrup, resultado drink marrom veio na mesa haha. Sabor? Quem sabe! Nada que lembrasse morango. OK.
Reclamei para ela e disse que realmente não tinha visto de morango. Ele pediu uma coca e tudo certo. 
Comida servida hambúrguer e polvo. Excelente. Muito gostoso meu polvo e segundo meu marido bom hambúrguer também.
Pedimos a conta. Veio outra atendente, loira, cobraram a bebida, pedi para retirar, e Ok e aí percebi que me contaram a mais pela sangria. E eu avisei olha no menu a sangria de lá casa custa €3 e estavam cobrando €6. Eu sei que não é muito gente, mas este não é o ponto. Ela disse mas a sangria normal custa isso. E eu respondi mas eu não pedi a NORMAL, e sim A DE LÁ CASA, enfim ficou por isso mesmo, ela queria discutir, então deixei por isso mesmo. Pagamos e aí atravessamos a rua e fomos no restaurante de ontem que tem o MELHOR MOJITO - SANTA ANNA! 

Não peça DRINKS no PRATO DE FLORES e sim atravessem a rua que é muito melhor!!!Mais",Portuguese,"The person who answered us very kind.
The drink that my mojito strawberry came wrong, so far so good, the drink came back and I saw that the bartender used the same drink and only added strawberry syrup, took some of the drink and ... put more syrup, result drinkBrown came at the table haha.Flavor?Who knows!Nothing that remembered strawberry.OK.
I complained to her and said I really hadn't seen strawberry.He asked for a coca and all right.
Food served hamburger and octopus.Great.Very tasty my octopus and second my husband good hamburger too.
We ordered the account.Another attendant came, blonde, charged the drink, asked to remove, and ok and then I realized that they told me more for bleeding.And I warned you look at the menu the bleeding home costs € 3 and were charging € 6.I know it's not much, but this is not the point.She said but normal bleeding costs that.And I answered but I didn't ask for the normal, but from there home, finally it was for, she wanted to argue, so I left it.We paid and then crossed the street and went to yesterday's restaurant that has the best Mojito - Santa Anna!

Do not ask drinks on the flower plate but cross the street that is much better !!! More",0.9145,20,February 2020,"['Mediterranean', 'Spanish']",4.5
2023,2070,Prado de Flores,"Jantar em família neste restaurante devido à localização (em frente ao nosso hotel).
Considero caro pelo que entregou. Entrecot saboroso e macio, jamon muito caro, massas muito gordurosas. Mas o vinho da casa e as sobremesas foram ruins.",Portuguese,"Family dinner at this restaurant due to the location (in front of our hotel).
I consider it expensive for what you delivered.Tasty and soft intecot, very expensive jamon, very greasy pasta.But the house of the house and the desserts were bad.",-0.5423,30,December 2019,"['Mediterranean', 'Spanish']",4.5
