level_0,index,Restaurant,Review original,Language,Translated Review,Compound,Rating,Date,Cuisine,Total Rating
2667,2714,La Gastronomica Burgers,"Были с коллегой в данном гастропабе. Еда на неплохом уровне. Порции маленькие, но чувства голода после них нет. 1 балл ставлю за следующее. Мы поужинали, выпили вина и потом оказалось, что заказать ещё вина без еды невозможно. Считаю это совсем недопустимым, для нормального заведения. Получается...что я для того, чтобы выпить, должен обязательно ещё поесть. Официант сказал, что они не бар, для них заказ только вина неприемлем. Интересный подход к бизнесу. Больше сюда не приду. И для меня было очень тесно, не готов я за еду, терпеть тесноту. Всем удачи)Еще",Russian,"Were with a colleague in this gastropab.Food at a good level.The portions are small, but there is no feeling after them.I put 1 point for the following.We had dinner, drank wine and then it turned out that it was impossible to order more wine without food.I think this is completely unacceptable for a normal institution.It turns out ... that I must still eat in order to drink.The waiter said that they were not a bar, for them an order only is unacceptable.An interesting approach to business.I will not come here anymore.And for me it was very cramped, I am not ready for food, tolerate the crowds.Good luck) yet",-0.5653,10,April 2019,['Street Food'],5.0
2673,2720,La Gastronomica Burgers,"Данное заведение выбрали по отзывам, решили с женой тут поужинать. Брони стола у них нет. Пришли в 19:20, заведение открывается в 19:00 людей в ресторане было бы уже много, 9 человек, если учесть его маленькие размеры. Нас посадили за бар, аргументируя, что мест нет, так...Еще",Russian,"This institution was chosen according to reviews, they decided with his wife to have dinner here.They have no table armor.They came at 19:20, the institution opened at 19:00 in the restaurant there would already be a lot, 9 people, given its small size.We were put by the bar, arguing that there were no places, so ... more",-0.7506,30,,['Street Food'],5.0
2679,2726,BelleBuon,"Не знаю честно откуда такие хвалебные отзывы тут, поверил им и сразу пошёл. По факту - еда вся пересланная, не сильно, но все же, пицца ужасная, тесто невкусное, переслушанное, местами жесткая, даже доедать не стали. Паста с трюфелем была более менее.",Russian,"I don’t know honestly from where such laudatory reviews here, I believed them and immediately went.In fact - the food is all rebellious, not much, but still, the pizza is terrible, the dough is tasteless, listened, in some ways they did not even eat up.Truffle paste was more or less.",-0.5789,30,June 2021,"['Italian', 'Neapolitan']",5.0
2705,2752,Le Romane,"Еда не понравилась. Хотя место красивое и приятное. Заказали пиццу. Очень сухо, не похоже на пиццу. Скорее какой-то бутерброд (тапас) на сухом тесте.
Для такой пиццы цена неадекватная",Russian,"I didn't like the food.Although the place is beautiful and pleasant.We ordered pizza.Very dry, not like pizza.Rather, some kind of sandwich (tapas) on a dry dough.
For such pizza, the price is inadequate",-0.2547,30,April 2019,"['Italian', 'Pizza']",5.0
2715,2762,La Patsa Lab,"ничего плохого сказать не могу. И ещё меньше хорошего) Просто еда. Если будет место в зале, можно зайти, но определенно не стоит прикладывать хоть каких-то усилий, чтобы специально сюда попасть. И повторно я сюда точно не приду.Еще",Russian,"I can't say anything bad.And even less good) just food.If there is a place in the hall, you can go in, but definitely do not apply at least some effort to get here specially.And again, I definitely will not come here.",0.7964,30,,"['Italian', 'Mediterranean']",5.0
2721,2768,La Patsa Lab,"Уже пообедав в BelleBuon ранее в тот же день, мы смогли напрямую сравнить якобы лучшие итальянские рестораны в городе.

Персонал ресторана был очень теплым и гостеприимным, но меню казалось ограниченным и не впечатляющим. Выбор невелик. Паста была приятной, но ничего особенного, чего я ожидал, учитывая...рейтинг (2020 год).

А вот десерт был действительно хорош - шоколадный торт с маскарпоне виски. Он был действительно богатым и идеально сбалансированным.

Наверное, больше не вернусь - просто потому, что меню было ограничено.Еще",Russian,"Having had lunch at Bellebuon earlier on the same day, we were able to directly compare the supposedly the best Italian restaurants in the city.

The restaurant staff was very warm and hospitable, but the menu seemed limited and not impressive.The choice is small.The pasta was pleasant, but nothing special that I expected, given ... rating (2020).

But the dessert was really good - a chocolate cake with a mascarpone of whiskey.He was really rich and perfectly balanced.

Probably, I will no longer return - simply because the menu was limited.",0.9523,30,July 2020,"['Italian', 'Mediterranean']",5.0
2733,2780,Bodega Biarritz 1881 Tapas bar,"Горячие бутерброды, разогретые в микроволновке, подают в этом заведении. Это не тапасы!!! Проходите мимо.",Russian,"Hot sandwiches, warmed up in the microwave, are served in this institution.This is not tapasa !!!Come by.",0.4545,20,January 2020,"['Mediterranean', 'Spanish']",5.0
2768,2815,Blu Bar,"Еда восхитительна, и место отличное, однако ни один из официантов не носит маски для лица, а весь кухонный персонал надевает маски неправильно или на шею. Это нехорошо, учитывая текущую ситуацию с COVID в Барселоне, где маски для лица являются обязательными.",Russian,"The food is amazing, and the place is excellent, but not one of the waiters wears face masks, and the entire kitchen staff puts the masks incorrectly or on the neck.This is not good, given the current situation with Covid in Barcelona, where the face masks are mandatory.",0.2711,20,July 2020,"['Bar', 'Mediterranean']",5.0
2769,2816,Blu Bar,"Не поддавайтесь шумихе.
Хорошее расположение, приятная атмосфера. Сервис приличный. Коктейль (имбирный шипучий) бедный. Тако - ну, это должно быть самое близкое к поеданию собачье мясо. Как собачий паштет. Безвкусный паштет из собачьего мяса. Без мяса. Я не новичок в веганской еде, но это было хорошо,...просто ужасно. Я ожидал гораздо большегоЕще",Russian,"Do not succumb to the hype.
Good location, pleasant atmosphere.The service is decent.Cocktail (ginger sparkling) poor.Such - well, it should be the closest to eat dog meat.Like a dog paste.A tasteless paste of dog meat.Without meat.I am not a beginner in vegan food, but it was good, ... just terrible.I expected much more",0.8176,20,July 2020,"['Bar', 'Mediterranean']",5.0
2782,2829,Blu Bar,"Это очень оживленный ресторан на нишевом рынке, в котором в полной мере используются его клиенты. Очень медленный и невнимательный сервисЕще",Russian,"This is a very busy restaurant in the niche market, in which its clients are fully used.Very slow and inattentive service",0.0,20,January 2020,"['Bar', 'Mediterranean']",5.0
