level_0,index,Restaurant,Review original,Language,Translated Review,Compound,Rating,Date,Cuisine,Total Rating
2056,2103,Le Romane,Jag tyckte inte alls det var lika gott som alla säger och ganska dyrt var det också. Vi tog hem en pizza för tre och den var verkligen inte god. Rekommenderar inte!,Swedish,I didn't think it was as good as everyone says and it was quite expensive too.We took home a pizza for three and it really wasn't good.Don't recommend!,0.6459,20,november 2022,"['Italian', 'Pizza']",5.0
2077,2124,La Patsa Lab,"Trevlig miljö, lite mat men inget speciellt. Hade högre förväntningar, overall ok ställe med trevlig personal.
Om ni ska ta något så är tryffelpastan den bäst varken köttet eller potatispastan levde upp till förväntningarna",Swedish,"Nice environment, some food but nothing special.Had higher expectations, overall ok place with nice staff.
If you are going to take something then the truffle paste is the best neither the meat nor the potato paste lived up to expectations",0.9349,20,november 2022,"['Italian', 'Mediterranean']",5.0
2100,2147,Bodega Biarritz 1881 Tapas bar,"God mat men hetsigt.
Maten var god men atmosfären hetsig och det märktes att de vill ha en snabb omsättning av gäster. Många av rätterna var väldigt lika och kändes inte så genuina. En känsla med musikval och servering var ""Man hann knappt äta upp...förrän nästa rätt kom in"". ""Snabbmat""Mer",Swedish,"Good food but hot.
The food was good but the atmosphere is hot and it was noticed that they want a quick turnover of guests.Many of the dishes were very similar and did not feel so genuine.A feeling with music choices and serving was ""you barely had to eat up ... until the next dish came in"".“Fast food” more",0.8135,20,september 2022,"['Mediterranean', 'Spanish']",5.0
2101,2148,Bodega Biarritz 1881 Tapas bar,"Det var väldigt stressigt, de tog drinkbeställning redan  i kön, några fick sin drick redan för. När vi kom in ( vi (valde tapaspaket) så kom maten in i rasande fart, de ville hämta brickan med mat innan. Vi ens var klara, vi fick säga...nej flera ggr!!! 
Musiken som spelades var ren marschmusik! Trevlig personal absolut men tyvärr, så stressigt, tapasrätterna var väldigt likvärdiga, och så stressen. Gå inte hit. Skulle inte rekommendera dem alls. Så besviken.Mer",Swedish,"It was very stressful, they took a drink order already in the queue, some got their drink already for.When we came in (we (chose tapas packages), the food came into furious speed, they wanted to pick up the tray with food before. We were even ready, we had to say ... no several times !!!
The music that was played was pure march music!Nice staff absolutely but unfortunately, so stressful, the tapas dishes were very equivalent, and so the stress.Don't go here.Would not recommend them at all.So disappointed.mer",-0.9436,10,september 2022,"['Mediterranean', 'Spanish']",5.0
2106,2153,Bodega Biarritz 1881 Tapas bar,"God service & fin dryck. Maten är en besvikelse, färdig mat som legat på värmning för länge, ingen känsla eller energi i maten. Är någon annanstans!",Swedish,"Good service & fine drink.The food is a disappointment, finished food that has been heating for too long, no feeling or energy in the food.Is somewhere else!",0.2714,20,september 2021,"['Mediterranean', 'Spanish']",5.0
2114,2161,Blu Bar,Detta är en mycket upptagen restaurang på en nischmarknad och drar full nytta av dess kundkrets. Mycket långsam och ouppmärksam serviceMer,Swedish,This is a very busy restaurant in a niche market and takes full advantage of its clientele.Very slow and inattentive services,0.25,20,,"['Bar', 'Mediterranean']",5.0
2144,2191,Bella Italia,"Vi beställde 2 x Penne Arabiattas, servitrisen gav oss 2 Rigatoni pomodorros. När vi utmanade henne när hon kom med diskarna döpte hon plötsligt upp diskarna till Penne Arabiattas. Jag gick fysiskt tillbaka min maträtt till köket för att förklara att det inte är vad...jag beställde. Det kom tillbaka 5 minuter senare med lite chili inhoppad i samma pasta som jag återvände. Personalen försökte tydligt att luta sig till språkbarriären, men namnen på italienska rätter är desamma.
Mina vänner pizza anlände också den tiden det tog mig att få två pastarätter och avsluta den sista. Denna restaurang återspeglar inte betygsättningen.Mer",Swedish,"We ordered 2 x Penne Arabiatas, the waitress gave us 2 rigatoni pomodorros.When we challenged her when she came with the dishes, she suddenly renamed the dishes to Penne Arabiatas.I physically went back my dish to the kitchen to explain that is not what ... I ordered.It came back 5 minutes later with a little chili jumped in the same pasta as I returned.The staff clearly tried to lean on the language barrier, but the names of Italian dishes are the same.
My friends pizza also arrived at the time it took me to get two pasta dishes and finish the last.This restaurant does not reflect the rating.more",0.6757,20,,"['Italian', 'Pizza']",5.0
2245,2292,Babula Bar 1937,"Bokade bord, väntade 1 timme efter tiden från utsatt på att få beställa.  3 olika servitörer som försökte att förklara menyn för oss, vi var 5 vuxna personer som fortfarande inte förstod konceptet utan fick be om mer detaljerad förklaringar för att förstå. Den ena...sa så och den andra si. 1 av 6 rätter var i toppklass en var oätlig och resten rådde delade meningar om vid bordet. En av servitörerna, Viktor räddade upp servicen. Som kompensation för dålig upplevelse bjöd man på varsin tryffel med tillhörande dryck. 
Överprisad meny som inte håller måttet.Mer",Swedish,"Booked tables, waited 1 hour after the time from exposed to order.3 different waiters who tried to explain the menu to us, we were 5 adults who still did not understand the concept but had to ask for more detailed explanations to understand.One ... said so and the other si.1 of 6 dishes were top class one was inedible and the rest prevailed split sentences at the table.One of the waiters, Viktor saved the service.As a compensation for bad experience, you offered each truffle with associated drinks.
Overpriced menu that does not keep up.Mores",0.0772,10,maj 2022,"['Mediterranean', 'European']",5.0
2261,2308,Prado de Flores,"Som rubriken säger så är det ett mysigt ställe benäget nära Barcelonas gamla stad, dock var maten jag beställde (entrecote) riktigt dåligt gjord. Jag blev för det första tvungen att skära bort hälften av köttbiten då det var hur mycket brosk och fett som helst,...dessutom serverades klyftpotatisen utan någon typ av sås till, vilket gjorde att hela måltiden snarare påminde om något man köper på ett snabbmatshak än på en riktig restaurang. Dessutom beställde jag mitt kött ”rare”. Se bilden och avgör själva, är den köttbiten ”rare”? Oseriöst.

Ölen var god dock.Mer",Swedish,"As the headline says, it is a cozy place prone to Barcelona's old town, however, the food I ordered (Entrecote) was really badly made.First of all, I had to cut off half of the piece of meat as there was as much cartilage and fat as possible, ... In addition, the split potato was served without any type of sauce, which made the whole meal rather remind of something you buy on a fast food hookthan at a real restaurant.In addition, I ordered my meat ""rare"".See the picture and decide for themselves, is it the meat piece ""rare""?Rogue.

The beer was good doll.more",-0.3804,10,november 2018,"['Mediterranean', 'Spanish']",4.5
5609,5742,Babula Bar 1937,"Bokade bord, väntade 1 timme efter tiden från utsatt på att få beställa.  3 olika servitörer som försökte att förklara menyn för oss, vi var 5 vuxna personer som fortfarande inte förstod konceptet utan fick be om mer detaljerad förklaringar för att förstå. Den ena...sa så och den andra si. 1 av 6 rätter var i toppklass en var oätlig och resten rådde delade meningar om vid bordet. En av servitörerna, Viktor räddade upp servicen. Som kompensation för dålig upplevelse bjöd man på varsin tryffel med tillhörande dryck. 
Överprisad meny som inte håller måttet.Mer",Swedish,"Booked tables, waited 1 hour after the time from exposed to order.3 different waiters who tried to explain the menu to us, we were 5 adults who still did not understand the concept but had to ask for more detailed explanations to understand.One ... said so and the other si.1 of 6 dishes were top class one was inedible and the rest prevailed split sentences at the table.One of the waiters, Viktor saved the service.As a compensation for bad experience, you offered each truffle with associated drinks.
Overpriced menu that does not keep up.Mores",0.0772,10,maj 2022,"['Mediterranean', 'European']",5.0
