level_0,index,Restaurant,Review original,Language,Translated Review,Compound,Rating,Date,Cuisine,Total Rating
8756,8963,Locavore Barcelona,เพิ่มเติม,Thai,more,0.0,30,November 2021,"['Spanish', 'Contemporary']",5.0
8832,9039,RAÓ Restaurant,เราไปทานอาหารเย็นกับเด็กชายสองคนของเรา อาหารอร่อยมาก มันเหมือนกับทาปาส แต่ใหญ่กว่าเล็กน้อย คุณจะต้องสองจานต่อคน ปีหน้าจอของฉันมีปีกไก่มันฝรั่งและ 12 ปี / ปีมีปลาหมึกย่างและจานเบราตา ฉันมี Paella จานเนื้อและภรรยาของฉันมีอาหารบางอย่างที่เธอไม่ได้สนใจมาก อาหารคุณภาพดี เรามีไวน์สองแก้วซึ่งดี เราสนุกกับการสำรวจทุกคืน เราลงเอยที่เอลเนชั่นแนลเพื่อขนมและเครื่องดื่มเพิ่มเติม,Thai,"We went to have dinner with our two boys.The food is very delicious.It's like TapasBut slightly biggerYou have to two dishes per person.In front of my screen with chicken wings, potatoes and 12 years / year, there are grilled squid and the plate.Good quality foodWe have two glasses of wine, which is good.We enjoy the survey every night.We ended up at El Nation Nal for more snacks and beverages.",0.7165,30,July 2019,"['Spanish', 'Mediterranean']",5.0
8866,9073,Viana,อืมข้อตกลงนี้มีบทวิจารณ์ระดับ 5 ดาวนี้มากมายตลอดไปไหม แน่นอนว่าการนำเสนอที่น่าทึ่ง แต่การดำเนินการนั้นไม่เหมาะสำหรับเมนูที่มีความสำคัญมาก จะไม่กลับมา,Thai,"Um, this agreement has many critics of this 5 stars forever?Of course, a remarkable presentationBut the operation is not suitable for the menu that is very important, will not come back.",0.7713,30,January 2020,"['International', 'Mediterranean']",5.0
8869,9076,Viana,ฉันสับสนโดยรีวิวในแง่บวกของอาหาร นี่ไม่ใช่อาหารสเปนที่ดี เครื่องดื่มของเรายอดเยี่ยม แต่หมูที่ดูดนมแห้งและเหนียว เราไม่ได้กินเลยเพราะมันแย่มาก เรามีปอเปี๊ยะซึ่งดีและรายการอื่น ๆ เซิร์ฟเวอร์ไม่ค่อยเป็นมิตร สถานที่บรรจุฉันคิดว่าจากรีวิวที่ดี แต่มันก็เป็นเพียงกับดักนักท่องเที่ยว ฉันจะไปดื่มไม่ใช่อาหาร,Thai,"I was confused by the positive reviews of food.This is not a good Spanish food.Our drink is excellent.But the pork that is dried and stickyWe didn't eat at all because it was terrible.We have good spring rolls and other items. The server is not friendly.Packing place, I think from a good reviewBut it is just a tourist trapI'm going to drink, not food.",-0.6017,30,,"['International', 'Mediterranean']",5.0
8876,9083,Viana,"ฉันรอคอยที่จะทานมื้อนี้ตามรีวิวที่ดีของ Trip Advisor เรามาที่นี่เมื่อสัปดาห์ที่แล้วและมีพวกเราสามคน เราสั่งอาหารเรียกน้ำย่อยก่อนปลาทูน่าและเซวิชและอีกอันหนึ่งที่ตอนนี้ฉันจำไม่ได้ แอพนั้นดีมาก แต่ไม่ดีไปกว่าร้านอาหารอื่น ๆ ที่เราเคยไป
สถานที่ที่ร้านอาหารล้มลงคือการบริการกับพนักงาน ตามคำแนะนำของเซิร์ฟเวอร์เราทุกคนสั่งให้หมูและเซิร์ฟเวอร์เข้าใจเราผิดและคิดว่าเราต้องการเพียงหนึ่งในสามของเรา โดยไม่ต้องลงรายละเอียดจะเห็นได้ชัดจากขนาดของแม่และพี่ชายที่พวกเขาชอบกิน เซิร์ฟเวอร์ไม่ได้ชี้แจงหรือถามว่ามีอย่างอื่นที่เราต้องการหรือไม่เธอแค่สั่งในหลักสูตรหลักหนึ่งหลักสูตร
ดังนั้นแม่ของฉันลงเอยด้วยการกินอาหารจานแรกในขณะที่พี่ชายของฉันและฉันนั่งอีก 15 นาทีหรือมากกว่านั้นเพื่อให้อีกสองคนออกมา เราไม่ได้ถาม แต่ก็ไม่ได้เสนอค่าชดเชยใด ๆ สำหรับความผิดพลาดซึ่งฉันก็พบว่าผิดปกติเล็กน้อย
ทุกคนทำผิดพลาดและนี่ไม่ควรขัดขวางไม่ให้คุณมาร้านนี้ แต่ประสบการณ์ของเรานั้นไม่ใช่ 5 ดาวเพิ่มเติม",Thai,"I was waiting to have this meal according to Trip Advisor. We came here last week and there were three of us.We ordered an appetizer before tuna and Sevic and another one that I can't remember. The app is much better but not better than other restaurants that we have been to.
The place where the restaurant fell is service with employees.According to the advice of the server, we all order pork and server to misunderstand us and think that we only want one -third.Without having to post a clear details from the size of the mother and brother that they like to eatThe server does not clarify or ask if there is something else we want or not. She just ordered in one course.
So my mother ended up eating the first dish, while my brother and I sat for another 15 minutes or more so that the other two came out. We didn't ask, but didn't offer any compensation for the offense.Missed, which I found to be slightly abnormal
Everyone made a mistake, and this should not prevent you from coming to this shop.But our experience is not 5 more stars",0.7838,30,January 2019,"['International', 'Mediterranean']",5.0
8897,9104,Paisano Bistro,"ฉันกินที่นี่กับลูกสาวของฉัน เรามีชิป bravas และทาปาสอื่น ๆ และซุป
หมายเหตุสำหรับคนที่กำลังมองหา patatas bravas - พวกเขาไม่ได้มี - มันแทนชิปจากถุงและซอสที่ไม่ได้อยู่ใกล้กับสูตร bravas papatas ลูกชิ้นกับชีสก็อร่อย - ดังนั้น 3 ดาวของฉัน มิฉะนั้นการบริการลูกค้าโดยเฉลี่ย - เราต้องเตือนพวกเขาเกี่ยวกับน้ำและน้ำผลไม้สำหรับลูกสาวของฉัน
ไม่แน่ใจว่าทำไมถึงเป็น # 9 ใน TripAdvisor โดยสุจริตเพิ่มเติม",Thai,"I ate here with my daughter. We have Bravas chips and other soups and soups.
Note: For those who are looking for Patatas Bravas - they don't have - it instead of the chip from the bag and sauce that is not near the BRAVAS PAPATAS recipe and cheese are delicious - so my 3 stars, otherwise the average customer service.- We have to warn them about water and fruit juices for my daughter.
I'm not sure why it's # 9 in Tripadvisor in good faith.",0.7928,30,January 2019,"['Italian', 'Cafe']",5.0
8898,9105,Paisano Bistro,"การบริการดีมากและไม่มีอะไรผิดปกติกับอาหาร ชิป Tortilla ออกมาจากถุงซื้อที่ร้าน guacamole และขั้นพื้นฐานซุปถั่วที่ซื้อจากร้าน tiramisu ฯลฯ อาหารคุณภาพ แต่จริงๆแล้วคุณสามารถทำทุกอย่างที่บ้านได้

ราคาสะท้อนถึงสถานที่ใกล้กับแหล่งท่องเที่ยวชั้นนำเพิ่มเติม",Thai,"The service is very good and nothing is wrong with the Tortilla chip food from the bag to buy at Guacamole and the basic bean soup bought from Tiramisu, etc. Quality food, but actually you can do everything at home.

The price reflects the location near the leading tourist attractions.",0.7631,30,December 2018,"['Italian', 'Cafe']",5.0
8906,9113,Gusto,"วันพฤหัสบดีที่ผ่านมาฉันบินกลับบ้านจากบอสตันด้วยพายุหิมะขนาดใหญ่ พอถึงบ้านฉันถึงบาร์เซโลนาฉันบอกสามีว่าเหนื่อยเกินกว่าจะทำอาหาร เขาแนะนำให้เราลองพิซซ่า
วาง GUSTO รอบมุมอพาร์ตเมนต์ของเรา ออกไปเราไป เมื่อเรามาถึงสถานที่นั้นว่างเปล่า สามีของฉันสั่งพิซซ่าชีส 4 ก้อนและน้ำแร่หนึ่งขวด
ฉันสั่งพิซซ่าเห็ดและขอน้ำหนึ่งแก้ว ผู้ที่อ่อนแอลงก็ออกไป! ! เขาประชดประชันบอกฉันว่าพวกเขาไม่ใช้น้ำประปา ฉันบอกเขาว่าฉันอาศัยอยู่ในบาร์เซโลนาเป็นเวลา 3 ปีฉันแปรงฟันทุกวันและฉันดื่มทุกวันและฉันมีสุขภาพที่ดี เขาพูดอะไรที่หยาบใน Sanish และสามีของฉันเป็นชาวสเปนพูดกับเขา เพื่อเครดิตของเขาบริกรไม่ขอโทษ แต่มันทำลายทั้งอาหารค่ำ คำแนะนำของฉันให้ Mercadon ซื้อพิซซ่าแช่แข็งเป็นเวลา 3 ยูโรฉันจะมีคุณภาพที่ดีขึ้นและได้ลิ้มลองที่ดีขึ้น ค่าของเรามาถึง 35 ยูโรสำหรับ 2 พิซซ่าต่อน้ำ 1 อันและหนึ่งทะเลทราย คำแนะนำของฉันถ้าคุณต้องการอิตาเลียนจริงไป Greco อาจมีราคาสูงกว่า แต่คุ้มค่า เรือ Gustoเพิ่มเติม",Thai,"Last Thursday I fly home from Boston with a large snow storm.When I arrived at my house, Barcelona told my husband that I was too tired to cook.He advised us to try pizza.
Place the Gusto around the corner of our apartment. We went when we arrived at that place.My husband ordered 4 pizza cheese and one bottle of mineral water.
I ordered a mushroom pizza and a glass of water.The weakest person went out!!He sarcastically told me that they do not use tap water.I told him that I live in Barcelona for 3 years. I brush my teeth every day and I drink every day and I have good health.He said something rough in Sanish and my husband was Spanish talking to him.For his credit, the waiter does not apologize.But it destroys the whole dinnerMy advice for Mercadon to buy frozen pizza for 3 euros. I will have better quality and get better.Our value comes to 35 euros for 2 pizza per 1 and one desert.My advice, if you really want Italian, Greco may be higher but more worth the Gusto boat.",0.7493,10,December 2019,"['Italian', 'Pizza']",4.5
8924,9131,Gusto,"แม้อาหารคุณภาพและปริมาณก็ยอดเยี่ยม บริการแย่มากจนเรานำโด่งพูดไม่จบอาหารของเรา 
บริกรของเรามีการต่อสู้ที่แท้จริงเพื่อใช้เวลาของเราสั่ง ผสมขึ้นมา ให้เราสิ่งที่เราไม่ได้สั่ง และทัศนคติเกี่ยวกับมันให้เราเมื่อเราบ่น",Thai,"Even though the quality of food and quantity are excellentThe service is so bad that we are overwhelming.
Our waiter has a true fight to use our time to mix up for us. What we didn't order.And attitude about it when we complain",-0.7777,10,August 2017,"['Italian', 'Pizza']",4.5
8946,9153,Bar Xapako,"ประทับใจกับรีวิวที่ยอดเยี่ยมจำนวนมากและมาทานมื้อค่ำวันศุกร์กับลูกชายของฉัน

ไม่สามารถยืนได้กลิ่นเมื่อเราเข้ามาแพ็คของคนหนุ่มสาวเมาไปรอบ ๆ ผนังโทรมสีขาวพื้นโทรมและฟุตบอลโต๊ะที่ทางเข้า

อาจเป็นอาหารที่ดี แต่ไม่สามารถจับคู่กับกลิ่นไม่ดี นอกจากนี้มันยากที่จะจินตนาการว่ามันเป็นสถานที่สำหรับครอบครัว (ในระหว่างวัน?) ตัดสินใจที่จะไม่อยู่และไม่ลองอาหาร",Thai,"Impressed with many great reviews and dinner on Friday with my son.

Cannot stand and smell when we come in to pack the young people around the wall, shabby white, shabby floor and football table at the entrance

May be a good foodBut unable to pair with bad smellsIn addition, it is difficult to imagine that it is a place for the family.(During the day?) Decided not to stay and didn't try food.",0.6249,20,March 2020,"['Bar', 'Mediterranean']",5.0
