level_0,index,Restaurant,Review original,Language,Translated Review,Compound,Rating,Date,Cuisine,Total Rating
2486,2533,BelleBuon,"Barselona'ya son ziyaretimden 3 yıl önce burada yedikten sonra buraya döndüm.
Yemek güzel iken yer bize hizmet ile birlikte acele gibiydi ve kurslar arasında beklemek yoktu.
Başlamak için bazı sarımsaklı ekmekler aldık ve sarımsak temelde çok güçlü ve çiğdü; bu da yemeğimin geri kalanı için...tat tomurcuklarımı etkiledi.
Garson, partimizden biri hala onun marşını yerken, 3 marş tabağımızı temizlemek için ısrar etti!
Tuvalete fırlattım ve geri döndüğümde benim tagliatelle con cepslerim rendelenmiş trüf mantarı ile servis edildi ve görünüşe göre masanın ızgarayı tabağa karıştırmak zorunda kaldığı söylendi. tuvalet, hayal kırıklığı yaratan herhangi bir felaket olmasa da biraz hayal kırıklığı yaratıyor.
 Ben restorana iade ziyaretime bekliyorum ve güzel iken standartları biraz düştü hissediyorum.Devamı",Turkish,"I returned here after eating here 3 years before my last visit to Barcelona.
While the food was good, the place was in a hurry with the service and there was no waiting between the courses.
To begin, we bought some garlic breads and garlic was basically very strong and raw;This is for the rest of my food ... Tat affected my buds.
The waiter insisted on cleaning our 3 starter plate while one of our party was still eating his anthem!
I threw it in the toilet and when I came back, my Tagliatelle con my pockets were served with grated truffle mushrooms and apparently the table had to mix the grill on the plate.The toilet is a bit of disappointment, although there is no disappointment.
I am waiting for my return visit to the restaurant and I feel the standards a little fell when it is beautiful.",0.4186,30,October 2019,"['Italian', 'Neapolitan']",5.0
2507,2554,Le Romane,"Güzel insanlar, ilginç iç, ama para için tüm değeri çok büyük değil - gıda Tamam ama özel bir şey, kendi fiyat aralığında daha fazla alabilirsiniz",Turkish,"Beautiful people, interesting drink, but all value for money is not too big - food is okay but something special, you can get more in your own price range",0.9062,30,December 2019,"['Italian', 'Pizza']",5.0
2528,2575,Bodega Biarritz 1881 Tapas bar,"Lütfen buradaki abartı yorumlara aldanmayın!!!. Sanırım Türk arkadaşlar damak tadımıza uyduğu için yüksek puanlar vermişler fakat onun dışında bu sunulanlar tapar değil, küçük tabaklarda şazanya tavuk sote sucuk ızgara tavuk şiş  peynirli milföy vb. şeyler tapas diye adlandırılmasın. Verilen ücrete göre küçük porsitonlar, küçük mekan,...otur kalk sistemi rez yok.Devamı",Turkish,"Please don't be fooled by the exaggeration here !!!.I think Turkish friends have given high scores because they fit our taste, but other than that, these offers are not worshiped, small plates of Şazanya chicken sausage grilled chicken chicken puff pastry and so on.Don't be called tapas.According to the fee given, small porsitons, small space, ... Sit down system, no resour.",-0.5103,30,October 2022,"['Mediterranean', 'Spanish']",5.0
2541,2588,Bodega Biarritz 1881 Tapas bar,"Tamamen turistik bir yer,  girişte bekletip boş masa bulunmasına rağmen içeri almıyorlar, böylece dışarıda kuyruk oluşturup önemli bir yer havası katmaya çalıştıkları çok belli. Bize  ahşap üzerinde birbirine karışmış tapaslardan ibaret bir  öneryden beklediğimiz lezzeti bulamadık.",Turkish,"They do not in the entrance, a completely touristic place, but they do not let the empty table in, so that they create a queue outside and try to add an important place of place.We could not find the flavor we expected from a proposal consisting of tapas mixed on the wood.",0.7297,30,November 2017,"['Mediterranean', 'Spanish']",5.0
2550,2597,Blu Bar,Bu bir niş pazarda çok yoğun bir restoran ve onun müşterisinin tam yararlanan. Çok yavaş ve dikkatsiz hizmetDevamı,Turkish,This is a very busy restaurant in a niche market and fully benefiting from its customer.Very slow and careless service,-0.3612,20,January 2020,"['Bar', 'Mediterranean']",5.0
2571,2618,Bella Italia,"Biz 2 x Penne Arabiattas emretti, garson bize 2 Rigatoni pomodorros verdi. Yemeklerle geldiğinde ona meydan okuduğunda, aniden bulaşıkları Penne Arabiattas olarak değiştirdi. Siparişimde bu olmadığını açıklamak için yemeğimi mutfağa geri götürdüm. 5 dakika sonra geri döndü aynı makarna ile enfekte bir acı biber ile...döndü. Personel açıkça dil engeline dayanmaya çalışıyordu, ancak İtalyan yemeklerinin isimleri aynı.
Arkadaşlarım pizza da 2 makarna yemekleri almak ve son bitirmek için beni aldı süresinde geldi. Bu restoran puanlamayı yansıtmamaktadır.Devamı",Turkish,"We ordered 2 x Penne Arabiattas, the waiter gave us 2 rigatonia pomodorros.When he challenged him when he came with the food, he suddenly changed the dishes to Penne Arabiattas.I took my dinner back to the kitchen to explain that this was not on my order.After 5 minutes, he returned with the same pasta with an infected hot pepper ... He returned.The staff was clearly trying to rely on the language barrier, but the names of the Italian food are the same.
My friends took me to buy 2 pasta dishes and finish the last time.This restaurant does not reflect the scoring.",0.5346,20,,"['Italian', 'Pizza']",5.0
2623,2670,Con Gracia,"Görme engelli bir menü olan ""Deneyim"" menüsünü seçiyoruz. Genel olarak, birkaç seçkin tabak ve birkaç tatsız tabak ile yemek iyiydi. Yani, ortalama iyiydi, özellikle iyi ya da kötü ne de sonuçta kötü.
 Ücretlendirdikleri fiyat için hiçbir değer yok, ancak bu Barselona'da daha yaygın hale gelen...bir şey.
 Ancak, akşam yemeğimizi gerçekten şımartan şey, serin mizah anlayışı ve ev sahiplerinden birinin gereksiz inatçılığıydı.
 Kendi şaraplarımızı seçmeyi tercih ettiğimiz için şarap eşleştirme işleminde istemediğimizi tekrarlamak zorunda kaldık. Şarap eşleştirme seçimini sinir bozucu bir noktaya getirdi. Bu profesyonelce değildi.
 Bu noktadan sonra, masamıza her yaklaştığında birkaç dondurucu soğuk, mizahi espri anlayışı koymaya başladı.
 Akşam yemeğinin ortasında, kibar olmadığı için masamıza artık garson kalmamasını diğer ev sahibine sormak zorunda kaldım.
 Bu ""kliklemeyen"" iki kişiden oluşan bir durum değil. Tamamen profesyonelce davrandı. Bir misafir açıkça bir dileğini dile getirdiğinde, profesyonel bir garson ısrar etmemelidir. Ve onun sıkıcı mizah anlayışıyla ilgili olan şey için. . . kendisi için konuşuyor.
 Tekrarlamayacağım bir deneyim.Devamı",Turkish,"We select the ""Experience"" menu, a visually impaired menu.In general, it was good to eat with a few elite plates and a few unpleasant plates.I mean, the average was good, especially good or bad, nor after all bad.
There is no value for the price they charge, but this becomes more common in Barcelona ... Something.
However, what really spoiled our dinner was the understanding of cool humor and the unnecessary stubbornness of one of the landlords.
Since we prefer to choose our own wines, we had to repeat that we didn't want to match the wine.He brought the selection of wine to a frustrating point.This was not professional.
After this point, every time he approached our desk, a few freezing cold, humorous humor began to put.
In the midst of dinner, I had to ask the other landlord that there was no longer a waitress because it was not polite.
This is not a situation of two people who do not ""clklik"".He acted completely professionally.When a guest clearly expresses his wish, a professional waiter should not insist.And for what is about his boring sense of humor...He speaks for himself.
An experience that I will not repeat.",0.6248,20,Nisan 2019,"['Mediterranean', 'Spanish']",4.5
2641,2688,Locavore Barcelona,Devamı,Turkish,More,0.0,30,November 2021,"['Spanish', 'Contemporary']",5.0
6156,6289,Con Gracia,"Görme engelli bir menü olan ""Deneyim"" menüsünü seçiyoruz. Genel olarak, birkaç seçkin tabak ve birkaç tatsız tabak ile yemek iyiydi. Yani, ortalama iyiydi, özellikle iyi ya da kötü ne de sonuçta kötü.
 Ücretlendirdikleri fiyat için hiçbir değer yok, ancak bu Barselona'da daha yaygın hale gelen...bir şey.
 Ancak, akşam yemeğimizi gerçekten şımartan şey, serin mizah anlayışı ve ev sahiplerinden birinin gereksiz inatçılığıydı.
 Kendi şaraplarımızı seçmeyi tercih ettiğimiz için şarap eşleştirme işleminde istemediğimizi tekrarlamak zorunda kaldık. Şarap eşleştirme seçimini sinir bozucu bir noktaya getirdi. Bu profesyonelce değildi.
 Bu noktadan sonra, masamıza her yaklaştığında birkaç dondurucu soğuk, mizahi espri anlayışı koymaya başladı.
 Akşam yemeğinin ortasında, kibar olmadığı için masamıza artık garson kalmamasını diğer ev sahibine sormak zorunda kaldım.
 Bu ""kliklemeyen"" iki kişiden oluşan bir durum değil. Tamamen profesyonelce davrandı. Bir misafir açıkça bir dileğini dile getirdiğinde, profesyonel bir garson ısrar etmemelidir. Ve onun sıkıcı mizah anlayışıyla ilgili olan şey için. . . kendisi için konuşuyor.
 Tekrarlamayacağım bir deneyim.Devamı",Turkish,"We select the ""Experience"" menu, a visually impaired menu.In general, it was good to eat with a few elite plates and a few unpleasant plates.I mean, the average was good, especially good or bad, nor after all bad.
There is no value for the price they charge, but this becomes more common in Barcelona ... Something.
However, what really spoiled our dinner was the understanding of cool humor and the unnecessary stubbornness of one of the landlords.
Since we prefer to choose our own wines, we had to repeat that we didn't want to match the wine.He brought the selection of wine to a frustrating point.This was not professional.
After this point, every time he approached our desk, a few freezing cold, humorous humor began to put.
In the midst of dinner, I had to ask the other landlord that there was no longer a waitress because it was not polite.
This is not a situation of two people who do not ""clklik"".He acted completely professionally.When a guest clearly expresses his wish, a professional waiter should not insist.And for what is about his boring sense of humor...He speaks for himself.
An experience that I will not repeat.",0.6248,20,Nisan 2019,"['Mediterranean', 'Spanish']",4.5
6161,6294,Con Gracia,"Bir yıl önce, başarısız bir şekilde rezervasyon yaptırmak istemedim. Bu sefer iki ay önce bir rezervasyon yaptım. Beklentilerim dizi olayları takip etti. Bu restoran genel olarak iyidir ve fiyat aralığında makul yiyecek ve hizmetler sunmaktadır. Biz sürpriz olması için umut ile deneyim menüsünü emretti. Yemekler...genel olarak iyidir ama sürpriz ve vay faktörleri eksik.

Sunucular güler yüzlüdür ancak hizmet bir veya iki çift daha fazla ekleyerek kolayca geliştirilebilir. 8'den fazla masaya katılmak için sadece iki sunucu var ve her yemeğin açıklaması gerekiyor. İki sunucu, böyle güzel bir akşam yemeği çalıştırmak için yeterli değildir.

İyi ama harika değil.Devamı",Turkish,"A year ago, I didn't want to make a unsuccessful booking.This time I made a reservation two months ago.My expectations followed the series events.This restaurant is generally good and offers reasonable food and services in the price range.We ordered the experience menu with Umut to be a surprise.Food ... It is generally good but surprise and wow factors are missing.

The servers are friendly, but the service can be easily improved by adding one or two pairs of more.To join more than 8 tables, there are only two servers and every dish needs to explain.The two servers are not enough to run such a beautiful dinner.

Good but not great.",0.9803,30,September 2018,"['Mediterranean', 'Spanish']",4.5
