level_0,index,Restaurant,Review original,Language,Translated Review,Compound,Rating,Date,Cuisine,Total Rating
7938,8145,Locavore Barcelona,Thêm,Vietnamese,More,0.0,30,November 2021,"['Spanish', 'Contemporary']",5.0
7987,8194,Swagatam Bar-Restaurant Hindu,"Nơi này là trung bình về hương vị của thực phẩm. Tôi rất ấn tượng với người phục vụ siêu thân thiện. Không bắt được tên anh ấy nhưng anh ấy chào chúng tôi với sự lịch sự và thậm chí còn bắt tay chúng...tôi. Một trong số chúng tôi đã quyết định đặt hàng theo kiểu gọi món trong khi người kia chọn thực đơn được đặt trước (bạn sẽ nhận được nhiều hơn từ giao dịch). . chúng tôi đã ra lệnh cho somosas. . nó có vị tuyệt vời nhưng giá quá chỉ cho 2 miếng. € 5. Không đáng giá cho nó. Khi thức ăn đến, tôi đã rất thất vọng với những phần. Không phải vì đó là một phần nhỏ mà bởi vì các món a la carte và thực đơn có cùng kích cỡ phần lớn, ngoại trừ một món có nhiều hơn từ món hời và món khác không cùng giá. Cả hai món ăn đều có hương vị tương tự, ngoại trừ một món có vị thơm hơn so với loại kia và không sao cả. Bất kể, chúng tôi rời khỏi nơi với một bụng đầy đủ và hạnh phúc. Nếu chúng tôi quyết định đến lần sau, chúng tôi sẽ biết cách tốt hơn để đặt hàng và tiết kiệm tiền.Thêm",Vietnamese,"This place is the average of the flavor of food.I am very impressed with the super friendly waiter.Unable to catch his name but he greeted us with courtesy and even shook hands with them ... me.One of us has decided to order in the style of ordering while the other person chooses a pre -ordered menu (you will receive more from the transaction)..We ordered Somosas..It tastes great but the price is only for 2 pieces.€ 5. Not worth it.When the food came, I was very disappointed with the parts.Not because it is a small part, but because A La Carte and the menu of the same size are largely, except for a dish that is more from bargain and other dishes.Both dishes have similar flavors, except for a more aromatic dish than the other and it's okay.Regardless, we left the place with a full and happy belly.If we decide next time, we will know how to better order and save money",0.9797,30,,"['Indian', 'Asian']",4.5
8007,8214,RAÓ Restaurant,Thực phẩm tốt nhưng không có gì ngoài thế giới này cho giá cả. Dịch vụ cũng có thể cải thiện: chúng tôi đã yêu cầu các đề xuất và họ nói: mọi thứ đều ổnThêm,Vietnamese,Good food but nothing but this world for prices.The service may also improve: We have asked for the proposals and they say: everything is fine,0.7906,30,,"['Spanish', 'Mediterranean']",5.0
8010,8217,RAÓ Restaurant,"Chúng tôi đến đây để ăn tối với hai chàng trai của chúng tôi. Thức ăn rất tuyệt. Nó giống như tapas nhưng lớn hơn một chút. Bạn sẽ cần hai món ăn mỗi người. Năm tuổi màn hình của tôi có cánh gà khoai...tây bravas và 12 tuổi có món bạch tuộc nướng và món burrata. Tôi đã có paella, món thịt bò và vợ tôi có một số món ăn mà cô ấy không quan tâm nhiều. Thực phẩm có chất lượng tốt. Chúng tôi cũng có vài ly rượu vang rất ngon. Chúng tôi đã có một đêm vui vẻ khám phá aww. Chúng tôi đã kết thúc ở El National cho món tráng miệng và đồ uống.Thêm",Vietnamese,"We come here for dinner with our two boys.The food is great.It's like a tapas but a little bigger.You will need two dishes each.My five -year -old screen has chicken wings ... Western Bravas and 12 years old have grilled octopus and Burrata.I had Paella, beef and my wife had some dishes that she didn't care much.Foods of good quality.We also have some delicious wine glasses.We had a happy night to explore AWW.We ended at El National for desserts and drinks.",0.9225,30,July 2019,"['Spanish', 'Mediterranean']",5.0
8014,8221,RAÓ Restaurant,"Chúng tôi đến thăm một nhóm vào tối thứ bảy lúc 8 giờ 30 tối. Khi mọi người ở Barcelona ăn muộn, chúng tôi nghĩ rằng đây là thời điểm tốt, nhưng được thông báo khi đến nơi họ đã hết Paella và chỉ còn...lại một phần croquettes - điều đó thật tuyệt! ! Chúng tôi đã gọi cocktail và một số món tapas. Các món ăn đều ổn - cá ngừ là một điểm nổi bật, nhưng mực rất mặn - nó thực sự không ăn được do lượng muối. Cánh gà - rất tốt. Các loại cocktail cực kỳ mạnh mẽ. Dịch vụ này đặc biệt tốt, vì vậy không có khiếu nại nào ở đó, nhưng chúng tôi cảm thấy thức ăn có thể được cải thiện. Giá trị đồng tiền rất tốt với các kích cỡ phần, và bạn có thể nói rằng các thành phần có chất lượng tốt, nhưng thất vọng vì thiếu hai món ăn và lượng muối được sử dụng.Thêm",Vietnamese,"We visited a group on Saturday night at 8:30 pm.When people in Barcelona eat late, we think this is a good time, but it is notified when they arrived at the place where they were out of Paella and only ... part of Croquettes - that's great!!We ordered cocktails and some tapas.The dishes are fine - tuna is a highlight, but the squid is very salty - it really cannot be eaten due to the amount of salt.Chicken wings - Very good.Extremely powerful cocktails.This service is especially good, so there is no complaint there, but we feel that food can improve.The value of the currency is very good for the sizes, and you can say that the ingredients are of good quality, but disappointed by the lack of two dishes and the amount of salt used.",0.9261,30,,"['Spanish', 'Mediterranean']",5.0
8023,8230,RAÓ Restaurant,"Các nhà hàng là tốt đẹp, thực phẩm là ok.
Những người mới bắt đầu thực sự tốt - bravas, pan con tomat, croquettes,
Nhưng những món ăn thứ hai thật đáng thất vọng. Chúng tôi đã ra lệnh cho sò điệp, ức vịt và...pallea và chúng tôi đã không hoàn thành ngay cả một trong số họ vì không có hương vị.
Có thể nói rằng mặc dù dịch vụ là tuyệt vời.Thêm",Vietnamese,"The restaurants are good, food is ok.
The beginners are really good - Bravas, Pan Con Tomat, Croquettes,
But the second food is disappointing.We ordered scallops, duck breasts and ... Pallea and we did not complete even one of them because they were not flavored.
It can be said that although the service is great.",0.8793,30,August 2018,"['Spanish', 'Mediterranean']",5.0
8087,8294,Gusto,"Thứ năm vừa rồi tôi đã bay từ Boston về nhà trong một cơn bão tuyết lớn. Khi tôi về Barcelona, tôi đã nói với chồng rằng tôi quá mệt để nấu ăn. Anh ấy đề nghị chúng tôi thử pizza
đặt GUSTO quanh góc...căn hộ của chúng tôi. Chúng tôi đi. Khi chúng tôi đến nơi trống rỗng. Chồng tôi đã gọi 4 chiếc bánh pizza phô mai và một chai nước khoáng.
Tôi gọi pizza nấm và yêu cầu một ly nước máy. Người thợ dệt đi ra! ! Anh ta mỉa mai nói với tôi rằng họ không phục vụ nước máy. Tôi nói với anh ấy rằng tôi đã sống ở Barrcelona trong 3 năm, tôi đánh răng hàng ngày với nó và tôi uống nó mỗi ngày và tôi có sức khỏe tuyệt vời. Anh ta nói điều gì đó thô lỗ ở Sanish và chồng tôi là người Tây Ban Nha nói chuyện với anh ta. Để tín dụng của mình, người phục vụ không xin lỗi tuy nhiên nó đã phá hỏng toàn bộ bữa tối. Gợi ý của tôi cho Mercadon mua một chiếc bánh pizza đông lạnh với giá 3 euro tôi sẽ có chất lượng tốt hơn và ngon hơn. Hóa đơn của chúng tôi lên tới 35 euro cho 2 chiếc pizza một nước và một sa mạc. Đề nghị của tôi nếu bạn muốn người Ý thực sự hãy đến Greco. Nó có thể chi phí nhiều hơn nhưng nó cũng có giá trị nó. Tàu Gusto.Thêm",Vietnamese,"Last Thursday I flew from Boston home in a large snowstorm.When I returned to Barcelona, I told my husband that I was too tired to cook.He asked us to try pizza
Place Gusto around the corner ... our apartment.We go.When we arrived empty.My husband called 4 cheese pizza and a bottle of mineral water.
I ordered a mushroom pizza and asked for a glass of tap water.The weaver comes out!!He sarcastically told me that they did not serve tap water.I told him that I lived in Barrcelona for 3 years, I brushed my teeth daily with it and I drank it every day and I was in great health.He said something rude in Sanish and my husband was Spanish talking to him.For his credit, the waiter did not apologize but it ruined the entire dinner.My suggestion for Mercadon to buy a frozen pizza for 3 euros I will have better quality and better.Our bill is up to 35 euros for 2 pizza one and one desert.My suggestion if you want the real Italian to come to Greco.It may cost more but it is also worth it.Gusto",0.4188,10,December 2019,"['Italian', 'Pizza']",4.5
8091,8298,Gusto,"Chúng tôi đến đây vì đánh giá cao tại tripadvisor. Thật không may, đánh giá thực sự nên thấp hơn nhiều. Các loại pizza không tệ, nhưng không có gì đặc biệt. Danh sách rượu kém. Salad - OMG. . . . Món tráng miệng...- từ siêu thị.Thêm",Vietnamese,"We come here for appreciation at TripAdvisor.Unfortunately, the evaluation should really be much lower.The pizza is not bad, but nothing special.List of poor wine.Salad - OMG....Dessert ...- from the supermarket.",0.7511,30,April 2019,"['Italian', 'Pizza']",4.5
8123,8330,Bar Xapako,Nhân viên thân thiện nhưng chất lượng thức ăn rất kém. Không đáng giá tiền và sẽ không khuyên bạn nên.Thêm,Vietnamese,Staff friendly but food quality is very poor.Not worth the money and will not recommend.,0.2965,20,September 2018,"['Bar', 'Mediterranean']",5.0
8132,8339,Bar Xapako,Các nhân viên đã rất tốt đẹp. Thức ăn không sao cả. Môi trường ồn ào và ánh sáng rất khắc nghiệt. Nói chung nó là OK.,Vietnamese,The staff were very good.The food is okay.The noisy environment and very harsh light.Overall it is ok.,-0.4005,30,July 2018,"['Bar', 'Mediterranean']",5.0
