level_0,index,Restaurant,Review original,Language,Translated Review,Compound,Rating,Date,Cuisine,Total Rating
70,70,Le Romane,"Arrogante Bedienung und kleine Portionen. Wi die guten Bewertungen herrühren, ist nicht ganz klar.
Wir hatten jeweils Spagetti bestellt, die geschmacklich okay waren, aber auch nicht überdurchschnittlich.
Auf Nachtich haben wir dann verzichtet.
Wir würden nicht wieder hier herkommen.",German,"Arrogant operation and small portions.What the good reviews come from is not entirely clear.
We had ordered spagetti that were okay, but also not above average.
We then did without night.
We wouldn't come back here.",-0.1028,30,June 2022,"['Italian', 'Pizza']",5.0
93,93,Bodega Biarritz 1881 Tapas bar,"Das Essen war super lecker, dafür hätten wir auch gerne 5 Sterne  gegeben. Die Bedienung war sehr aufmerksam, allerdings hatte man das Gefühl, man solle möglichst schnell das Restaurant wieder verlassen.  Zu den 2 abgezogenen Sternen kommt es jedoch, weil wir mitgekriegt haben, wie sich...die Bedienung über unser Trinkgeld lustig gemacht hat mit anderen Kollegen , im Denken, man würde die Sprache nicht verstehen . Das Trinkgeld war jedoch durchaus angemessen und das Verhalten leider respektlos.Mehr",German,"The food was super tasty, but we would have liked to have given 5 stars.The service was very attentive, but you had the feeling that you should leave the restaurant as quickly as possible.However, it comes to the 2 drawn stars because we have noticed how ... the service about our tip made fun with other colleagues, in thinking that the language would not be understood.However, the tip was quite appropriate and the behavior was unfortunately disrespectful",0.8381,30,January 2023,"['Mediterranean', 'Spanish']",5.0
128,128,Blu Bar,"Zu unserer Überraschung ein veganes Lokal. Warum nicht! Wir haben uns mit offenen Augen in das Vergnügen gestürzt, und bekamen solide, hübsch angerichtete Gerichte serviert. Die nette und flotte Chefin gibt alles, um den Besucherandrang zu organisieren - kleine Sitzgelegenheiten am Fenster sind eine charmante...Alternative. Am Ende wurden wir auf (eigenen Wunsch) in einer Ecke der Terrasse gesetzt, wo es etwas müffelte. Kein Wunder, der Boden dort ist offenbar seit einiger Zeit weder gekehrt noch gekärchert worden. Auch Küchengeräusche sind in der äußersten Ecke nicht vermeidbar. Hätte uns das Essen (wie in anderen vergleichbaren, vegetarischen Lokalen auch) vom Hocker gerissen, wären immer noch 4 Punkte drin gewesen. Aber der vegane Käse machte die ansonsten sehr knusprige Pizza etwas schleimiger als gewünscht, und das Sojapatty des Burgers wurde mal wieder mit viel Soße übertüncht, ohne wirklich innovatives zu bieten. Rechnet man die außen und innen etwas schmuddelig anzuschauenden Schirme noch dazu, gibt es von uns nur 3 Punkte.Mehr",German,"To our surprise a vegan restaurant.Why not!We plunged into pleasure with open eyes and were served solidly, nicely arranged dishes.The nice and brisk boss gives everything to organize the crowd of visitors - small seating at the window are a charming ... alternative.In the end we were put in a corner of the terrace (our own request), where there was a bit.No wonder, the soil there has apparently been neither swept nor carved for some time.Kitchen noises are also not avoidable in the extreme corner.If the food (as in other comparable, vegetarian restaurants also) had torn us from the stool, there would still have been 4 points in it.But the vegan cheese made the otherwise very crispy pizza a little slimmer than desired, and the soyapacy of the burger was once again covered with a lot of sauce without offering really innovative.If you add the umbrellas to be viewed on the outside and on the outside and inside, there are only 3 points from us. More",0.9435,30,May 2022,"['Bar', 'Mediterranean']",5.0
139,139,Zenith Brunch & Cocktails,"Die Bedienung ist sehr freundlich und aufmerksam. Das essen kam sehr schnell. Jedoch war der Grund dafür,dass alles beteits vorbereitet wurde und die Speisen dann teilweise lauwarm / kalt waren. Ich weiss nicht, ob dies so gewollt war, aber ich mag due Eier sowie die...Sauce lieber warm als kalt. Geschmacklich leider auch nicht überzeugend, es fehlte an Grschmack.
Das Ambiente ist sehr ansprechend - typisches Instagram Restaurant.Mehr",German,"The service is very friendly and attentive.The food came very quickly.However, the reason was that everything was prepared and the dishes were sometimes lukewarm / cold.I don't know if this was so wanted, but I like eggs and the ... sauce prefer warm than cold.In terms of taste, unfortunately not convincing, there was no grate.
The ambience is very appealing - typical Instagram restaurant. More",-0.0245,30,January 2023,"['Cafe', 'International']",5.0
145,145,Zenith Brunch & Cocktails,"Verstehe die guten Bewertungen nicht. Unfreundliches Personal, lange Wartezeiten und das Essen war kalt. Bagel war nicht frisch und der Salat war mit Sicherheit ebenfalls schon älter.
Orangensaft schmeckte nach Spülmittel und der Zenith-Toast nach nichts.

Für uns leider absolut keinen Besuch wert. Trotz schöner...Location.Mehr",German,"Do not understand the good reviews.Unfriendly staff, long waiting times and the food was cold.Bagel was not fresh and the salad was certainly also older.
Orange juice tasted nothing like detergent and the Zenith toast.

Unfortunately, absolutely no visit for us.Despite beautiful ... location. More",-0.4715,20,October 2022,"['Cafe', 'International']",5.0
171,171,Bella Italia,"Pasta Carbonara: Schinken war ungenießbar, Nudeln haben nach nichts geschmeckt

Pizza Mexicana: gut scharf, dünner Teig, Geschmack geht so",German,"Pasta carbonara: ham was inedible, noodles tasted of nothing

Pizza Mexicana: Well spicy, thin dough, taste works like that",0.1744,10,June 2021,"['Italian', 'Pizza']",5.0
264,264,Don Asador,"Leider komplett überbewertet. Wir hatten mit 5 Personen 2x die große 1 KG Premium Platte. Diese war allerdings zu mind. 1/3 ungenießbar, da die Fleischqualität deutlich zu wünschen übrig lässt. Teilweise werden Stücke durchzogen mit Sehnen oder einem Bestandteil von 90% Fett rausgegeben. 

Der Laden...Mehr",German,"Unfortunately completely overrated.We had the large 1 kg premium record with 5 people.However, at least 1/3 was inedible, since the meat quality leaves significantly to be desired.In some cases, pieces are passed out with tendons or an component of 90% fat.

The shop ... more",-0.34,10,November 2022,"['Steakhouse', 'Grill']",5.0
296,296,Prado de Flores,"Zum Essen kann man nur das Allerbeste sagen, noch nie so gute Paella gegessen wie hier - kompliment.

Punktabzug gibt es für die fragwürdige Toilette. Personal ist zwar nett gewesen aber nicht so ganz serviceorientiert wie erhofft, nach der Rechnung mussten wir dreimal nachfragen.",German,"To eat you can only say the very best, never eat as good as here as here - compliment.

Points are deducted for the questionable toilet.Personnel was nice but not as entirely service -oriented as hoped, we had to ask three times after the invoice.",0.7778,30,December 2019,"['Mediterranean', 'Spanish']",4.5
3505,3584,Don Asador,"Wir hatten uns dieses Restaurant für den NYE in Barcelona ausgesucht. Wir sind den Bewertungen bei TripAdvisor gefolgt und haben unseren Tisch über TheFork reserviert, das Menü für den NYE wurde hier für 120 € pro Person angegeben. 

Im Nachgang haben wir erfahren, dass andere...im Restaurant für das gleiche Menü 100 € bezahlt haben. Dieser Preis wurde auch auf der Internetseite des Restaurants angegeben. Auf Nachfrage wurde uns nur geantwortet ""Es ist Silvester"". 

Ein Aufschlag für die Verwendung eines ""Reservierungsportals"" ist nachvollziehbar, in Summe 40 € erscheinen uns aber etwas viel.

Das Essen an sich war sehr lecker und die Getränke wurden auch zügig nachgefüllt. Bei 120 € pro Menü erwarten wir allerdings vom Service mehr als dass der Aperitif, der erste Gang und der zweite Gang gleichzeitig serviert werden und alles beim Essen kalt wird. Das Fleisch konnten wir dann zwar nochmal erwärmen lassen, der Geschmack ist aber nicht mehr wie vorher.

Außerdem war nach dem üblichen Dessert (drei Gänge) Schluss, der angekündigte ""Süße Tisch"" mit weiteren Desserts, einem Glas Cava und den traditionellen Trauben wurde uns nicht serviert.

Daher insgesamt eher enttäuschend obwohl das Essen lecker war.Mehr",German,"We had chosen this restaurant for the NYE in Barcelona.We followed the reviews at Tripadvisor and reserved our table via Thefork, the menu for the NYE was given here for € 120 per person.

Afterwards we learned that others ... paid € 100 in the restaurant for the same menu.This price was also given on the restaurant's website.Upon request, we were only answered ""It is New Year's Eve"".

A surcharge for the use of a ""reservation portal"" is understandable, but a little much seems to us in total 40 €.

The food itself was very tasty and the drinks were also refilled quickly.At € 120 per menu, however, we expect more from the service than that the aperitif, the first gear and the second gear are served at the same time and everything gets cold when eating.We were then able to heat the meat again, but the taste is no longer as before.

In addition, after the usual dessert (three courses), the announced ""sweet table"" with further desserts, a glass of Cava and the traditional grapes was not served.

Therefore overall rather disappointing even though the food was delicious",0.4497,20,December 2022,"['Steakhouse', 'Grill']",5.0
3512,3591,Don Asador,"Komplett überbewertet! Ja, es gibt Steaks und ja, die sind ok. Nicht mehr und nicht weniger. Das Personal ist freundlich und bemüht, die Preise ok.  Der Service ist ausreichend. Die Einrichtung ist eher einer Bar, als einem Restaurant oder Steakhouse zuzuordnen. Die Karte ist mit...Mehr",German,"Completely overrated!Yes, there are steaks and yes, they are ok.No more and no less.The staff is friendly and tried, the prices ok.The service is sufficient.The facility is more of a bar than a restaurant or steakhouse.The card is with ... more",0.5738,30,April 2022,"['Steakhouse', 'Grill']",5.0
3539,3618,Babula Bar 1937,"Service nett, Tapas durchschnittlich, geschmacklich nichts besonderes, Lamm war zart und gut, Mozarella war okay, Ceviche nicht!Mehr",German,"Service nice, tapas average, nothing special, lamb was tender and good, Mozarella was okay, Ceviche wasn't! More",0.6842,30,August 2021,"['Mediterranean', 'European']",5.0
