level_0,index,Restaurant,Review original,Language,Translated Review,Compound,Rating,Date,Cuisine,Total Rating
1187,1214,Bodega Biarritz 1881 Tapas bar,"Solo menu a sorpresa!
Due adulti e due bambini di cinque anni.
Ci hanno detto che era disponibile solo il menu tapas a sorpresa. In pratica ti servono le tapas che vogliono servirti alla Modica cifra di 40€ a coppia.
Ovviamente anche i bimbi di...cinque anni sono costretti a prendere il menu a sorpresa, 40€ addebitati anche a loro.
Sapore di fregatura.Più",Italian,"Surprise menu only!
Two adults and two children of five years.
They told us that only the surprise Tapas menu was available.In practice you need the tapas that want to serve you at the modest sum of € 40 per couple.
Obviously also the children of ... five years are forced to take the surprise menu, 40 € charged to them too.
Fregatura flavor.più",0.2714,10,February 2023,"['Mediterranean', 'Spanish']",5.0
1407,1454,Jara Sushi Degustación,"Oltre che aver prenotato per quattro persone ci hanno detto che c’era posto solo per due. Dopo 20 min ci hanno fatto sedere  tutti e 4. Non è possibile che sappiano solo lo spagnolo e non L inglese, infatti pensavo fosse all you can eat...e invece non lo era. Come avrete capito non riuscivamo a comunicare non essendo padronanti dello spagnolo.
Cibo buono e pregiato ma il prezzo per noi non ne valeva la pena, e neanche la preparazione del personalePiù",Italian,"In addition to having booked for four people they told us that there was only two place.After 20 minutes they made us sit all 4. It is not possible that only Spanish and English know, in fact I thought it was all you can eat ... and instead it was not.As you may have understood, we could not communicate not being mastery of the Spaniard.
Good and precious food but the price for us is not worth it, nor the preparation of the staff",0.3184,10,August 2022,"['Japanese', 'Sushi']",5.0
4650,4783,Jara Sushi Degustación,"Oltre che aver prenotato per quattro persone ci hanno detto che c’era posto solo per due. Dopo 20 min ci hanno fatto sedere  tutti e 4. Non è possibile che sappiano solo lo spagnolo e non L inglese, infatti pensavo fosse all you can eat...e invece non lo era. Come avrete capito non riuscivamo a comunicare non essendo padronanti dello spagnolo.
Cibo buono e pregiato ma il prezzo per noi non ne valeva la pena, e neanche la preparazione del personalePiù",Italian,"In addition to having booked for four people they told us that there was only two place.After 20 minutes they made us sit all 4. It is not possible that only Spanish and English know, in fact I thought it was all you can eat ... and instead it was not.As you may have understood, we could not communicate not being mastery of the Spaniard.
Good and precious food but the price for us is not worth it, nor the preparation of the staff",0.3184,10,August 2022,"['Japanese', 'Sushi']",5.0
4717,4850,La Cala Barceloneta,"Abbiamo preso 3 pizze, una paella mista e una bistecca.
La bistecca era abbastanza buona, la paella veramente scarsa, la carne era immangiabile. La pizza non era propriamente una pizza, l’impasto era surgelato, sembrava un cracker e non aveva quasi pomodoro, solo formaggio e per...di più costava ben 11€.
Non lo consiglio per niente.Più",Italian,"We took 3 pizzas, a mixed paella and a steak.
The steak was quite good, the paella really scarce, the meat was inedible.The pizza was not properly a pizza, the dough was frozen, it looked like a cragker and had almost no tomato, only cheese and for ... the more it cost € 11.
I don't recommend it at all.",0.3971,20,Marzo 2022,"['Cafe', 'Mediterranean']",5.0
4845,4978,Bar Xapako,"Locale brutto, cibo pessimo. Tapas servite ancora surgelate. Almeno non costa troppo. Sconsiglio vivamente",Italian,"Ugly place, bad food.Tapas still served frozen.At least does not cost too much.I advise against",-0.7783,10,,"['Bar', 'Mediterranean']",5.0
4867,5000,Bella Venezia,"Cibo abbastanza buono, esperienza negativa:

Uno dei due primi ordinati è arrivato sbagliato (gnocchi al pesto invece che gnocchi ai quattro formaggi) 
Focaccia bianca omaggiata come antipasto e invece al momento del conto ci siamo ritrovati sullo scontrino altri primi più costosi per compensare la...focaccia che inizialmente doveva essere offerta

Vedete voi se andarci..Più",Italian,"Quite good food, negative experience:

One of the first two ordered came wrong (Gnocchi with pesto instead of gnocchi with four cheeses)
White focaccia paid as an appetizer and instead at the time of the bill we found ourselves on the receipt other more expensive first ones to compensate for the ... focaccia that initially had to be offered

You see if you go there ..",-0.5955,20,,['Italian'],5.0
4870,5003,Bella Venezia,"La pizza non è buona, sia per l’impasto che per la farcitura, i primi sono da scartare! Il locale è fin troppo semplice, il conto è salato per ciò che si mangia…l’unica nota positiva è il personale molto gentile",Italian,"The pizza is not good, both for the dough and for the filling, the former are to be discarded!The place is all too simple, the account is salty for what you eat ... the only positive note is the very kind staff",0.7335,20,August 2022,['Italian'],5.0
14318,14599,Prado de Flores,"Se siete italiani non ordinate la pasta, lo dico per il vostro bene. Il resto del menu non posso dirvi nulla perché non l’abbiamo provato. Locale carino e personale gentile.",Italian,"If you are Italian do not order the pasta, I say it for your good.I can't tell you the rest of the menu because we didn't try it.Cute place and kind staff.",0.5267,20,January 2023,"['Mediterranean', 'Spanish']",4.5
14392,14673,La Cala Barceloneta,"Abbiamo preso 3 pizze, una paella mista e una bistecca.
La bistecca era abbastanza buona, la paella veramente scarsa, la carne era immangiabile. La pizza non era propriamente una pizza, l’impasto era surgelato, sembrava un cracker e non aveva quasi pomodoro, solo formaggio e per...di più costava ben 11€.
Non lo consiglio per niente.Più",Italian,"We took 3 pizzas, a mixed paella and a steak.
The steak was quite good, the paella really scarce, the meat was inedible.The pizza was not properly a pizza, the dough was frozen, it looked like a cragker and had almost no tomato, only cheese and for ... the more it cost € 11.
I don't recommend it at all.",0.3971,20,Marzo 2022,"['Cafe', 'Mediterranean']",5.0
19350,14599,Prado de Flores,"Se siete italiani non ordinate la pasta, lo dico per il vostro bene. Il resto del menu non posso dirvi nulla perché non l’abbiamo provato. Locale carino e personale gentile.",Italian,"If you are Italian do not order the pasta, I say it for your good.I can't tell you the rest of the menu because we didn't try it.Cute place and kind staff.",0.5267,20,January 2023,"['Chinese', 'American']",5.0
