level_0,index,Restaurant,Review original,Language,Translated Review,Compound,Rating,Date,Cuisine,Total Rating
331,331,BelleBuon,"Entramos en un chiringuito,entrada tapada,muy estrecho,muchas mesas,oscuro,la comida no nos gustó y nos sentó mal.",Spanish,"We entered a beach bar, covered, very narrow, many tables, dark, the food did not like us and we sat badly.",-0.6381,30,February 2023,"['Italian', 'Neapolitan']",5.0
402,402,La Patsa Lab,"Malísimo, hicimos reserva y al parecer algo les falló y no nos quisieron recibir, la tipa q nos atendió súper pesada, no lo recomiendo porque es segunda vez q nos pasa esto",Spanish,"Very bad, we made a reservation and apparently something failed them and they did not want us to receive, the guy who attended us super heavy, I do not recommend it because it is the second time that this happens to us",-0.6731,10,,"['Italian', 'Mediterranean']",5.0
416,416,Bodega Biarritz 1881 Tapas bar,"Huid de aquí! Tapas mediocres  y tramposas.  Ni los guiris de al lado se las han comido.. un mezclote de guisos sin calidad, como mucho digeribles.",Spanish,"Huid from here!Mediocre and cheat tapas.Nor the guiris next door have eaten them .. a mix of stews without quality, as much digestible.",-0.5093,10,,"['Mediterranean', 'Spanish']",5.0
421,421,Bodega Biarritz 1881 Tapas bar,"En una esquina del Barrio Gótico de Barcelona, encontramos este pequeño bar de tapas con altas expectativas de comer algo rico, ya que es uno de los recomendados en TripAdvisor. Al llegar tuvimos de una espera de 30mins. en un pasillo muy angosto. Si bien...a nosotros nos ubicaron en una mesa relativamente espaciosa, el lugar en sí no está preparado para recibir muchos comensales, por lo que sentarse en una mesa puede demorar mucho tiempo. Y hay carteles que avisan que no se puede seguir de sobremesa tomando tragos… Sobre las tapas, este fue el promedio de los tres comensales…

ACLARACIÓN: el menú es prefijado, hay opción de 40€ incluyendo 1 aperitivo y 8 tapas con 2 chupitos o de 50€ que incluye también una “tabla ibérica”. Las tapas son sorpresa.

pollo: 8,3
carne y champignons: 8
tartita de brocoli: 8
estofado: 8
pastel de papa: 7,67
paella: 8
pan relleno: 8,67
merluza con zanahoria: 7
TOTAL: 7,95Más",Spanish,"In a corner of the Gothic neighborhood of Barcelona, we find this small tapas bar with high expectations of eating something rich, since it is one of the recommended in TripAdvisor.When we arrived we had a 30min waiting.In a very narrow hall.While ... we were located at a relatively spacious table, the place itself is not prepared to receive many guests, so sitting at a table can take a long time.And there are posters that warn that you cannot continue to meet drinks ... on the tapas, this was the average of the three diners ...

Clarification: The menu is preferred, there is € 40 option including 1 snack and 8 tapas with 2 sucks or € 50 that also includes an “Iberian table”.The tapas are surprise.

Chicken: 8.3
Meat and Champignans: 8
Brocoli Tartita: 8
STEPHADO: 8
Pope cake: 7.67
Paella: 8
Filling bread: 8.67
Carrot hake: 7
Total: 7.95 more",0.4468,30,February 2023,"['Mediterranean', 'Spanish']",5.0
455,455,La Gastronómica Platillos,"Local de calle Calabria. Tiene más aspecto de bar q decrestaurante. Mesas altas, taburetes, carta tipo bar…
La carta es limitada en cuanto a oferta y a la vez original ya que se conciben como tapas lo q en otros sitios son platos.
Los platos...están muy bien preparados, tanto q sorprenden. El servicio genial. 

Lo q yo encontré mejorable es el local. Es pequeño y se hace muy ruidoso si te toca sl lado un grupo de 6-8 personas.

Precio bien para la cacina q tienen!Más",Spanish,"Calabria street local.It looks more like a bar that is decided.High tables, stools, bar type letter ...
The letter is limited in terms of supply and at the same time as they are conceived as tapas what in other places are dishes.
The dishes ... are very well prepared, so much that they surprise.The great service.

What I found improvable is the place.It is small and becomes very noisy if you have a group of 6-8 people.

Price well for the cacina they have!",0.8822,30,February 2023,"['Mediterranean', 'Spanish']",5.0
554,568,Lato Café - Breakfast Brunch y Ceviches,Fuimos quizás con las expectativas  altas . Lo hemos encontrado  correcto pero nada de otro mundo . ....nada de especial.,Spanish,We were perhaps with high expectations.We have found it correct but nothing from another world..... nothing special.,-0.438,30,September 2022,"['Latin', 'South American']",5.0
577,604,Con Gracia,"Teníamos grandes expectativas pero nos ha defraudado, el menú degustacion a nuestro parecer no pasa de correcto pero sin maravillar para mi opinión esta sobrevalorado en las opiniones de TripAdvisor. No vale lo que se paga. Ambiente correcto y servicio agradable.",Spanish,"We had great expectations but has let us down, the tasting menu in our opinion does not happen correctly but without marveling for my opinion it is overrated in TripAdvisor's opinions.It is not worth what is paid.Correct atmosphere and pleasant service.",0.7185,30,August 2022,"['Mediterranean', 'Spanish']",4.5
656,683,Jara Sushi Degustación,"Primero y antetodo, disculpas al restaurante por la crítica negativa, es mi primera vez escribiendo un comentario en un restaurante, pero acabamos de salir con mi pareja de cenar y estamos muy decepcionados. Hemos ido a celebrar su cumpleaños.

Al entrar, el restaurante es muy...pequeño y con decoración muy llana. Solamente hay una mesa y luego hay dos barras pequeñas con dos sillas cada una. Ningún problema con esto.

Una vez sentados, vienen a mostrarte los pescados
y lo que tienen hoy en el menú. Te explican que tienen dos menús especiales. Uno de 50€ con 20 piezas y otro de 70€ con 27 piezas. (Bebida a parte).

Pedimos el menú de Omakase de 50€, sugerencia del restaurante. Por desilusión nuestra, todo son makis y solamente un Nigiri. El menú no puede estar formado por solamente makis.

La cualidad de la comida es normal, es correcta. Pero en ningún momento es WOW por el precio.
Las porciones además son muy justas por lo pagado.

En favor a ellos, el servicio es muy bueno. Nos preguntaron si estábamos satisfechos, y les comentamos la verdad, que no.
Como compensación nos regalaron un nigiri de toro.
A su contra, nos sentimos un poco presionados por solamente tener una hora para comer. De ocho a nueve, cuando justamente escogemos comer en la barra porque allí nos dijeron que teníamos más tiempo. 

En resumen, calidad, precio, local no vale los 50€. Y menos para comer cara la pared. Sentí que es un restaurante normal pero nada WOW por lo pagado.

Estoy encantado de pagar cuando la comida, porción o decoración es a nivel. Pero sinceramente y me sabe mal por la crítica al restaurante, no los vale.
De hecho no entendemos como tiene tantas críticas tan positivas. 

Hay muchos mejores restaurantes en Barcelona para comer sushi. Con mayor calidad, cantidad y decoración.

Por último, no entendemos porque te enseñan los pescados al entrar. Tengo la sensación de haber comido mucho arroz y poco pescado. 

Nos quedamos muy decepcionados.

Lo siento por la crítica negativa. 

Un saludoMás",Spanish,"First and before, apologize to the restaurant for negative criticism, it is my first time writing a comment in a restaurant, but we just dated my dinner partner and we are very disappointed.We have gone to celebrate his birthday.

Upon entering, the restaurant is very ... small and with very flat decoration.There is only one table and then there are two small bars with two chairs each.No problem with this.

Once sitting, they come to show you the fish
And what they have today in the menu.They explain that they have two special menus.One of € 50 with 20 pieces and another of € 70 with 27 pieces.(Drink part).

We ask for the € 50 € menu, restaurant suggestion.For ours disappointment, everything is makis and only a nigiri.The menu cannot be formed by Makis.

The quality of food is normal, it is correct.But at no time is Wow for the price.
The portions are also very fair for the paid.

In favor of them, the service is very good.They asked us if we were satisfied, and we told you the truth, no.
As compensation they gave us a Toro Nigiri.
To his against, we feel a little pressed for only having an hour to eat.From eight to nine, when we just chose to eat at the bar because there they told us we had more time.

In short, quality, price, local is not worth € 50.And less to eat the wall.I felt that it is a normal restaurant but nothing was paid.

I am delighted to pay when the food, portion or decoration is at the level.But sincerely and knows me badly for criticism of the restaurant, it is not worth them.
In fact we do not understand how it has as many criticisms so positive.

There are many better restaurants in Barcelona to eat sushi.With higher quality, quantity and decoration.

Finally, we do not understand why fish show you when you enter.I have the feeling of having eaten a lot of rice and little fish.

We were very disappointed.

I'm sorry for negative criticism.

Health",0.6163,20,February 2023,"['Japanese', 'Sushi']",5.0
728,755,Anema E Core,Me serví una copa de sangría con una cucaracha dentro. Se lo enseñe al camarero y me dijo que era un trozo de pera y no nos cambiaron la sangría. Para rematar la pizza tenía un pelo. Increible,Spanish,I served a glass of bleeding with a cockroach inside.He showed it to the waiter and told me that it was a piece of pear and they did not change the bleeding.To finish the pizza I had a hair.Incredible,0.0,10,March 2022,"['Italian', 'Pizza']",5.0
2935,2982,La Gastronomica Burgers,"I'we had lot of burgers in my lifetime (and have even been flipping them myself). And I have to say that the burgers in La Gastronomica were not among the best. They were just... fine. Maybe I had too high hopes because of the high...ratings.

The place itself was small and suitable for a fast eat.More",Spanish,"I'we had lot of burgers in my lifetime (and have even been flipping them myself). And I have to say that the burgers in La Gastronomica were not among the best. They were just... fine. Maybe I had too high hopes because of the high...ratings.

The place itself was small and suitable for a fast eat.More",0.0598,30,February 2023,['Street Food'],5.0
2983,3030,La Patsa Lab,"Good gnocchi, smiling Chef BUT 3 mistakes in our order, forgot one dish for one of the kids. Waiter not friendly at all. Made the experience very disappointing. 
We were probably just unlucky…",Spanish,"Good gnocchi, smiling Chef BUT 3 mistakes in our order, forgot one dish for one of the kids. Waiter not friendly at all. Made the experience very disappointing. 
We were probably just unlucky…",-0.8584,20,February 2023,"['Italian', 'Mediterranean']",5.0
3176,3223,Kiltro Restobar,"Overall it is a nice place with very friendly staff, but my food was not very enjoyable. My quesadillas were fried so hard they were brownish (who even fries quesadillas this days??) and fish tacos had a not pleasant taste. Food could be better. Drinks...and people are great.More",Spanish,"Overall it is a nice place with very friendly staff, but my food was not very enjoyable. My quesadillas were fried so hard they were brownish (who even fries quesadillas this days??) and fish tacos had a not pleasant taste. Food could be better. Drinks...and people are great.More",-0.392,30,,"['Mexican', 'Latin']",5.0
3203,3250,Don Asador,"We were recommended this restaurant and before we arrived in Barcelona, we tried to reserve a table for a group of 6 twice by sending  them emails, no reply....SHAME!",Spanish,"We were recommended this restaurant and before we arrived in Barcelona, we tried to reserve a table for a group of 6 twice by sending  them emails, no reply....SHAME!",-0.1759,20,,"['Steakhouse', 'Grill']",5.0
3769,3848,Lato Café - Breakfast Brunch y Ceviches,Fuimos quizás con las expectativas  altas . Lo hemos encontrado  correcto pero nada de otro mundo . ....nada de especial.,Spanish,We were perhaps with high expectations.We have found it correct but nothing from another world..... nothing special.,-0.438,30,,"['Latin', 'South American']",5.0
3777,3856,Lato Café - Breakfast Brunch y Ceviches,Acudimos la semana pasada y encontramos un personal simpático y servicio agradable. Por tanto la comida era algo normal y nada de excepcional.,Spanish,We went last week and find a nice staff and pleasant service.Therefore the food was normal and nothing exceptional.,0.7269,30,May 2022,"['Latin', 'South American']",5.0
3787,3866,Cremat Lounge,Sitio limpio . Comida aceptable nada más que te deje un recuerdo inolvidable.  Una hamburguesa con un pepinillo como guarnición.  Nada de extraordinario,Spanish,Clean site.Acceptable food nothing more than leaves you an unforgettable memory.A hamburger with a pickle like garnish.Nothing extraordinary,0.6369,30,May 2022,"['American', 'International']",5.0
