level_0,index,Restaurant,Review original,Language,Translated Review,Compound,Rating,Date,Cuisine,Total Rating
303,303,La Gastronómica Burgers,"Riquísimas burguers y como en casa!

Muy buena atención de los chicos y las hamburguesas con mucho sabor, sin duda a recomendar la de carne mechada y la Hot ( sabrosísima) 

Muy buenas sensaciones, a repetir sin duda:)",Spanish,"Delicious Burguers and as at home!

Very good attention from boys and hamburgers with a lot

Very good feelings, to repeat without a doubt :)",0.8752,50,February 2023,['Street Food'],5.0
304,304,La Gastronómica Burgers,"Hamburguesas muy ricas, especialmente la de Costilla y La Blue. Pese a tener una carta pequeña tiene más que suficiente a ofrecer. Los postres también buenísimos, con una mención especial al coulant de almendras!

Pero sin duda lo mejor el camarero, una atención excelente y...un don de gentes de 10!!

Sin duda para repetirMás",Spanish,"Very rich hamburgers, especially that of rib and the blue.Despite having a small letter, it has more than enough to offer.The desserts also great, with a special mention to the Almond Count!

But without a doubt the best waiter, an excellent attention and ... a gift of people of 10 !!

Without a doubt to repeat",0.9469,50,,['Street Food'],5.0
305,305,La Gastronómica Burgers,"Hemos ido ya varias veces y puedo asegurar que es uno de los mejores sitios de hamburguesas de la ciudad. La comida es de calidad con raciones generosas, y las  las patatas con sus salsas caseras. El  trato de la gente es buenísimo y el...local es muy acogedor. Definitivamente repetiremos!Más",Spanish,"We have already gone several times and I can assure that it is one of the best hamburger sites in the city.The food is of quality with generous rations, and the potatoes with their homemade sauces.People's treatment is great and the ... local is very cozy.We will definitely repeat!",0.9535,50,November 2022,['Street Food'],5.0
306,306,La Gastronómica Burgers,"La mejor cena de negocios-familiar que he tenido.
La comida una pasada, de buenisima calidad y con gran cantidad.
Mucha variedad de salsas con experimentación.",Spanish,"The best family-family dinner I have had.
The food one past, of great quality and with a lot.
A lot of variety of sauces with experimentation.",0.8519,50,January 2023,['Street Food'],5.0
307,307,La Gastronómica Burgers,Hamburguesas riquísimas en el centro de la ciudad!! Buen sitio para ir con amigos y en grupo. Recomendable!!,Spanish,Delicious hamburgers in the city center !!Good place to go with friends and in groups.Recommendable!!,0.8972,50,November 2022,['Street Food'],5.0
308,308,La Gastronómica Burgers,"Burguers y postres TOP. Camarero encantador. Lugar acogedor en el centro de la Ciudad. Si regreso, repetiré seguro!. .",Spanish,"Burguers and Top Desserts.Lovely waiter.Cozy place in the city center.If I return, I will repeat safe!.",0.2714,50,December 2022,['Street Food'],5.0
309,309,La Gastronómica Burgers,"Estuvimos comiendo como recomendacion de la web. Trato exquisito, comida espectacular. PAra repetir cada vez qeu visite Barcelona",Spanish,"We were eating as a web recommendation.Exquisite treatment, spectacular food.To repeat every time I visit Barcelona",0.0,50,December 2022,['Street Food'],5.0
310,310,La Gastronómica Burgers,"Íbamos porque lo conocíamos de hace tiempo por los platillos y descubrimos sus geniales hamburguesas.
Definitivamente acertamos, el camarero encantador y sus recomendaciones sin duda nos ayudaron. Probad el picante de la mayonesa habanero!",Spanish,"We were because we knew him for a long time for the dishes and discovered his great hamburgers.
We definitely succeed, the lovely waiter and his recommendations undoubtedly helped us.Try the spicy habanero mayonnaise!",0.9336,50,December 2022,['Street Food'],5.0
311,311,La Gastronómica Burgers,Hamburguesas buonissima con una calidad de carne muy alta. Una carne en maduración riquísima. Y el trato aún mejor,Spanish,Buonissima hamburgers with a very high meat quality.A flesh in delicious maturation.And the treatment even better,0.765,50,,['Street Food'],5.0
312,312,La Gastronómica Burgers,"Fuimos mi pareja y yo a cenar con unas expectativas altas y la verdad, no nos decepcionó, al contrario, las superó con creces.
Al llegar nos atendió el que parecía ser el responsable; un chico SÚPER simpático y que nos explicó genial toda la carta...Más",Spanish,"We were my partner and I to have dinner with high expectations and the truth, it did not disappoint us, on the contrary, it far exceeded them.
Upon arrival, the one who seemed to be responsible was attended;A super nice boy and who explained the whole letter great ... more",0.949,50,December 2022,['Street Food'],5.0
313,313,La Gastronómica Burgers,"fuimos 4 personas. El camarero super amable y muy majo. La comida muy rica. El sitio es pequeño, pero tiene terraza con 3 o 4 mesa. 
 Muy recomedable si te pilla por la zona . Conocía el restaurante pero no la hamburguesería y fue un...Más",Spanish,"We were 4 people.The super friendly and very nice waiter.Very rich food.The site is small, but it has a terrace with 3 or 4 table.
 Very recommendable if you catch you in the area.I knew the restaurant but not the hamburger and it was one ... more",0.7922,50,December 2022,['Street Food'],5.0
314,314,Desoriente,"Excelente recomendación. Cocina vegana fusión de estilo asiatico, platos elaborados, sabrosos y cocinados al momento. Todo casero! El trato personal, tb es excelente. Volveremos!",Spanish,"Excellent recommendation.Vegan Kitchen Fusion of Asian style, elaborate, tasty and cooked plates at the moment.All homemade!Personal treatment is excellent.We will be back!",0.6467,50,,"['Asian', 'Japanese Fusion']",5.0
315,315,Desoriente,"Vine con una amiga sin saber que era comida vegana y ha sido una buena experiencia. 
El personal muy amable, te dan buenas recomendaciones. 
El top de lo que pedimos fue el brócoli, también tengo que destacar que la tarta sacher estaba muy rica y...a mi amiga le encanto la de mango! 
Volveremos!!Más",Spanish,"I came with a friend without knowing that it was vegan food and has been a good experience.
Very friendly staff give you good recommendations.
The top of what we asked for was the broccoli, I also have to emphasize that the Sacher cake was very rich and ... my friend loved the mango!
We will return !!",0.978,50,February 2023,"['Asian', 'Japanese Fusion']",5.0
316,316,Desoriente,Todos los platos estuvieron exiquisitos!!! Los cócteles son súper originales y deliciosos. Un lugar imperdible en Barcelona,Spanish,All dishes were exiquitos !!!The cocktails are super original and delicious.An unmissable place in Barcelona,0.795,50,February 2023,"['Asian', 'Japanese Fusion']",5.0
