review,rating,date,language,restaurant
"Von hervorragender Qualität, die Bedienung ist super nett und das Essen erste Klasse.
Der Preis ist viel zu tief. Reservation war am Mittwoch um 20:30 nicht nötig.",50,November 2022,DE,Brugarol Barcelona
"Mit Abstand unser Bestes essen während unseres Barcelona Aufenthaltes. Ein kleines sehr nettes Restaurant mit einem unkomplizierten und sehr zuvorkommendem Team. Wir hatten das 9-Gang Menü. Die Komposition, die Qualität, die Optik und der Geschmack Waren schlichtweg Sensationell! Der Preis von 40 € oh Menü...ist mehr als nur fair und angebracht. Fünf Sterne ⭐️⭐️⭐️⭐️⭐️von uns und eine unbedingte Empfehlung – rechtzeitige Reservierungen erforderlich!Mehr",50,August 2022,DE,Brugarol Barcelona
"Die kreativen Tapas mit dem teilweise japanischen Touch sind wirklich ein Erlebnis, sowohl geschmacklich wie auch visuell.",50,Mai 2022,DE,Brugarol Barcelona
Ich hab schon länger nichts mehr kommentiert... irgendwie fehlt mir die Zeit! Aber für dieses Restaurant musste ich definitiv etwas schreiben. Wir waren an meinem Geburtstag hier zum Abendessen und ich werde das Erlebnis mit wenigen Worten beschreiben: Einfach unglaublich perfekt! Beim super Service angefangen...bis hin zum absolut fantastisch guten Essen. Das beste Erlebnis in Barcelona!!!! Vielen Dank dafür!Mehr,50,März 2022,DE,Brugarol Barcelona
Herausragendes Menu zu unschlagbarem Preis. Mit viel Liebe zum Detail zubereitet. Spitzenservice! Gleich erneut für in zwei Tagen gebucht,50,Mai 2021,DE,Brugarol Barcelona
"Rundum hervorragend! Brilliant designte Tapas, die auch noch hervorragend geschmeckt haben, wurden vom sympathischen Team beim Servieren detalliert erklärt.",50,März 2020,DE,Brugarol Barcelona
"Eine gelungene Symbiose aus Tapas mit asiatischem Touch. 
Wir haben den Restaurant-Tipp durch Tripadvisor bekommen und waren vollkommen überrascht, wie kreativ und einzigartig lecker das Essen war. Die beiden jungen Köche haben jedes einzelne Gericht frisch hinterm Tresen zubereitet. Die Bedienung war sehr freundlich und...hat jeden Gang bis ins Detail erklärt. 
Eine Reservierung ist ratsam, da das Restaurant sehr klein ist. 
Von uns ganz klare fünf von fünf Sternen! Wir werden -beim nächsten Besuch in Barcelona- wiederkommen.Mehr",50,März 2020,DE,Brugarol Barcelona
"Wir haben durch Zufall diese kleine Restaurant entdeckt und gottseidank einen Tisch bekommen. Die beiden Betreiber waren außer ordentlich herzlich und sehr sympathisch. Schön zu sehen wenn junge Leute so fleißig sind! Die Tapas außer ordentlich kreativ und sehr Intensiv! 
Die beiden Betreiber kreieren Gerichte...die wir so als Tapas noch nicht kennen gelernt haben bzw. kennenlernen durften! Ein wahres Erlebnis und das gang für Gang. Zum Abschluss durften wir sogar noch ein Foto mit den beiden Jungs machen. Auch wir haben ein Restaurant und wissen wie viel Arbeit dahinter steckt. Hut ab und Gratulation weiter so!!!Mehr",50,November 2019,DE,Brugarol Barcelona
"Ich sage es lieber vorweg – wir haben vorher schon viele Tapas probiert, aber überzeugend fanden wir wenige. Doch im Brugarol werden leckere Kleinigkeiten kreiert, die unglaublich clever und lecker sind. Und das wird alles von einem Team erstellt, das mit Herzblut und Spaß dabei...ist. Der Abend war grandios – und das Essen auch!Mehr",50,November 2019,DE,Brugarol Barcelona
"Klein, aber fein. Keine Massenabfertigung. Tische werden abends nur einmal besetzt. Sehr kreative Tapas. Das Degustationsmenü gibt einen guten Überblick, was die beiden Köche hinter der Bar zaubern können. sehr freundliche und fröhliche Bedienung. Unbedingt reservieren.",50,November 2019,DE,Brugarol Barcelona
"Es war das bester Restaurant in BCN. Unbedingt reservieren, wenn man dort essen möchte. Die drei Betreiber des Restaurant machen einen tollen Job. Die Küche ist köstlich. Jedes Gericht ist besonders. Ein Feuerwerk im Mund. Wir hätten am liebsten die ganze Karte gegessen. Besonders die...Mehr",50,November 2019,DE,Brugarol Barcelona
"Exzellente Tapas, sehr freundliche Bedienung, auch das Konzept mit lokalen Zutaten ist sehr ansprechend. Wir (Familie mit 3 Teenagern) hatten alle verschiedene Tapas, wie Tartar, Bravas, Käseplatte, Brugarol Tomaten, Ochazuke, Nachspeise und 2 Gläser Wein, die Speisen alle frisch zubereitet a La Minute, bezahlt ca....Mehr",50,Oktober 2019,DE,Brugarol Barcelona
Durch Zufall bin ich auf dieses 10 Monate alte Restaurant gestossen und fand sowohl Internetauftritt als die abgebildeten Speisen sehr ansprechend. Habe gleich reserviert. Das Restaurant ist sehr klein und so bekamen wir leider nur am Fenstertresen zwei Plätze. Das war am Ende aber auch...Mehr,50,Oktober 2019,DE,Brugarol Barcelona
"Der Zufall trieb uns hier herein, oder war es eher der heftige Hunger. Egal. Kaum ist die automatische Schiebetür zur Seite geglitten,  werden wir strahlend begrüßt und  sofort wird uns ein 4ertisch zur Verfügung gestellt. Freundlich ,charmant und mit viel Enthusiasmus werden wir über die...Mehr",50,August 2019,DE,Brugarol Barcelona
"Wir hatten das Degustationsmenü, das sehr lecker war. Die Kellnerin war sehr freundlich und engagiert und die geringe Größe des Restaurants war positiv. Reservierung im Voraus unbedingt erforderlich.",50,Dezember 2019,DE,Brugarol Barcelona
"Das Degustationsmenü ist WOW! ! ! Tolles Essen! Schöner Service! Fantastischer Wein. Vielen Dank für einen schönen Abend, wir werden nächstes Jahr wieder hierher kommen.",50,August 2020,DE,Brugarol Barcelona
