review,rating,date,language,restaurant
"Delicioso,  vintage , muy buen trato, repetiremos seguro, los huevos benedic son una muy buena elección",50,diciembre de 2022,ES,Faire Brunch & Drinks
"Fuimos a Faire con los niños a comer algo y acertamos. La carta sorprende por ser muy original y tanto a los niños como a nosotros nos aptecía probar varios platos. Estaba todo muy rico, los productos frescos y de calidad. Disfrutamos mucho y seguro...que volvemos!Más",50,enero de 2022,ES,Faire Brunch & Drinks
"Muy bonito, personal muy amable. La comida està suculento. Y  la decoracion es muy bonita. Lo recomiendo a 100%.",50,noviembre de 2022,ES,Faire Brunch & Drinks
"El servicio ha sido un 10. 
Han sido rápidos, atentos y detallistas.... Una amplia carta para poder elegir lo que más te apetezca.",50,noviembre de 2022,ES,Faire Brunch & Drinks
"Probamos varios de sus platos, la hamburguesa muy sabrosa, con el boniato de acompañamiento espectacular y la tarta de chocolate y la de zanahoria dos opciones sabrosisimas!",50,noviembre de 2022,ES,Faire Brunch & Drinks
"Tienen un brunch increíble, muy buenos ingredientes y hay opciones veganas 
El ambiente es increíble y el personal muy amable 
La galleta de matcha es un must",50,noviembre de 2022,ES,Faire Brunch & Drinks
"Local muy buen decorado. Sirven brunch vegetariano y con muchas opciones veganas. Tienen café de especialidad. Cuidan mucho del producto que usan para cada uno de sus platos y eso se nota, no sientes pesadez al terminar de comer. Además, todo el personal muy atento...y servicial. Sin duda volveré.Más",50,octubre de 2022,ES,Faire Brunch & Drinks
Buenísimo y recomendado! El lugar y la comida son realmente buenos! La atención también muy agradable y amena. Buena ubicación y comida rica,50,octubre de 2022,ES,Faire Brunch & Drinks
Nos ha encantado la comida y la decoración del local. Muy recomendable por la iniciativa que impulsan. 🌱👍,50,octubre de 2022,ES,Faire Brunch & Drinks
"Lugar excelente, con personal excelente y comida excelente! 100% recomendable y volveré! Muy top! Gracias",50,septiembre de 2022,ES,Faire Brunch & Drinks
"Si estais buscando un brunch perfecto en la ciudad de Barcelona este va a ser una super acertada opcion, atención impecable, comida increible y decoración vintage super acogedora. Mi brunch favorito a partir de ahora es Faire!☺️",50,septiembre de 2022,ES,Faire Brunch & Drinks
"Es un buen sitio para comer ,todo está delicioso
El personal es muy amable y simpático.
Lo recomiendo!",50,septiembre de 2022,ES,Faire Brunch & Drinks
"Súper recomendable, platos muy saludables y riquísimos. La atención excelente
Los detalles de decoración estilo vintage",50,septiembre de 2022,ES,Faire Brunch & Drinks
Ambiente muy agradable y atención muy buena por parte del personal. Comida de calidad !! Para repetir ! Cafés muy buenos también,50,septiembre de 2022,ES,Faire Brunch & Drinks
"Comida de muy buena calidad, servicio excelente, muy rápido y amable y un lugar agradable. Realmente lo recomiendo.",50,septiembre de 2022,ES,Faire Brunch & Drinks
