review,rating,date,language,restaurant
Excellent endroit très cosy avec une carte variée. Le best : Buratta truffe champignons œufs excellent,50,février 2023,FR,Faire Brunch & Drinks
"Très bonne adresse pour manger un bon brunch, les œufs sont très bon, particulièrement les œufs florentines et les tartines d’avocats. 
Le restaurant est très bien décoré et la mini terrasse à l’arrière est vraiment plaisante.",50,juin 2021,FR,Faire Brunch & Drinks
"Endroit agréable, équipe super sympathique qui parle espagnol anglais français.
Très jolie expérience végétarienne 🌱 
Et les smoothies…. Incroyables",50,novembre 2022,FR,Faire Brunch & Drinks
"Excellent, tout est bon les jus , le burger végétarien est bluffant, les oufs à la truffe un délice, le service est bon , un endroit à découvrir si vous êtes fan de brunchs…",50,novembre 2022,FR,Faire Brunch & Drinks
"Tout était parfait ! De l'accueil à la déco rétro jusqu'au brunch. On s'est régalé, c'était vraiment copieux et très frais. Le thé accompagné d'épices à ajouter soi-même à notre guise. Le latte délicieux servi dans un grand verre sculpté. Merci pour ce super moment...qui nous permet de bien commencer la journée !!Plus",50,novembre 2022,FR,Faire Brunch & Drinks
"Génial! Cadre trop beau, et un brunch parfait 🤩… (on ne s’est même pas rendus compte que c’était végétarien!) Et en plus ils parlent toutes les langues!",50,septembre 2022,FR,Faire Brunch & Drinks
"Cortado excellent, mousse préparée à la perfection.
Présentation du café et smoothie raffinée et soignée.
personnel aimable, le tout dans un endroit branché.",50,avril 2022,FR,Faire Brunch & Drinks
"Brunch copieux et frais dans un restaurant décoré avec goût (thème des années 50).
Le personnel est adorable et efficace.
Ouverture du jeudi au dimanche, mais d'ici peu le restaurant sera ouvert tous les jours de la semaine.",50,mars 2022,FR,Faire Brunch & Drinks
"Du choix et de l’originalité, le concept de pouvoir choisir 4 saveurs différentes c’est top! C’est gourmand,  ça reste chaud, pratique la petite boîte si c’est à emporter.Plus",50,février 2023,FR,"Tino, esto no es una pizzería"
"Super endroit, les Tino pizzas sont excellentes et le concept est très original. Il y en a pour tout les goûts, les arômes sont vraiment excellents ! Je recommande !",50,février 2023,FR,"Tino, esto no es una pizzería"
"Vraiment tous super bon mon préféré c’est celui au fromage de chèvre 

Celui à la viande végétal est très gingembre 

Le chocolat fruits était pas super bien cuit mais très très bon 

Et le poulet pesto mamaaaaa",50,janvier 2023,FR,"Tino, esto no es una pizzería"
"C’est la première fois que nous mangeons chez tino nous nous sommes régalés c’est un super concept 
On reviendra",50,janvier 2023,FR,"Tino, esto no es una pizzería"
"Ça vaut franchement le détour nous avons adoré, il sont tous super bon. C était notre première mais pas la dernière 🤤. Super sympa et rapide le top.",50,décembre 2022,FR,"Tino, esto no es una pizzería"
"Retour à Barcelone et retour chez Tino pour mon repas du soir. Tout est excellent, les ingrédients sont frais et le service est rapide et efficace. Le patron m'a convaincu de tester une recette végane et, à ma grande surprise, j'ai adoré. 
A tester son...hésitation ni modération.Plus",50,novembre 2022,FR,"Tino, esto no es una pizzería"
"Une innovation que nous avons adorée. Des options veganes, une livraison rapide et surtout, de la nourriture de qualité. Au top !",50,novembre 2022,FR,"Tino, esto no es una pizzería"
"J’ai passé quelques jours à Barcelone en famille et nous sommes tombés sur ce restaurant avec un concept que nous ne connaissions pas et ce fut une agréable surprise. 
Le fait de pouvoir choisir différentes compositions en une seule pizza partagée en 4 est super...sympa quand on veut goûter de tout !! 
Personnellement j’ai adoré les recettes végane comme la steeve Jobs avec sa compote de pomme, un vrai régal pour les papilles. Bien évidemment les recettes à la viande sont très bonne, coup de cœur pour la Pork Favor… 
Une très bonne découverte que je recommande si vous êtes de passage !!Plus",50,novembre 2022,FR,"Tino, esto no es una pizzería"
"Excellent restaurant , je recommande fortement 👍🏻👍🏻le personnel super gentil !😁
Super contexte , original , pas chère et très bon 😋",50,octobre 2022,FR,"Tino, esto no es una pizzería"
Excellente qualité et service irréprochable. Plus original qu’une pizza et plus de choix possible. Je recommande fortement. 👌🏻,50,octobre 2022,FR,"Tino, esto no es una pizzería"
Restaurant à essayer au moins une fois. Ce qui propose est vraiment original et les prix sont très raisonnable. Personnellement j'adore et je le recommande.,50,septembre 2022,FR,"Tino, esto no es una pizzería"
"Aujourd’hui en me baladant à Barcelone j’ai découvert un endroit pour me restaurer trop sympa
On y mange super bien pas cher et trop bon.
Le propriétaire du lieu très sympa à faire absolument 👍.
Merci pour l’accueil ont reviendra 👌
Juan et Samuel",50,septembre 2022,FR,"Tino, esto no es una pizzería"
"Nouveau concept entre la pizza et les empanadas, on peut choisir des tinos différents pour composer sa box. Produits de qualité et bon rapport qualité prix.
Le gérant est super sympa et il parle français en plus.

Mention spéciale pour le cookie vegan en dessert...Plus",50,août 2022,FR,"Tino, esto no es una pizzería"
"Ça fait déjà plusieurs fois que j'ai l'occasion de goûter aux spécialités de ce ""take away"" de street food (ils servent des tinos, qui s'inspirent de la pizza) et c'est tjs une belle opportunité. Depuis ma première fois les recettes ont évoluées et se sont...Plus",50,juillet 2022,FR,"Tino, esto no es una pizzería"
"Voilà 2 fois que je passe chez Tino, dès que je viens à BCN en fait, et c'est tjs une réussite, ces petites boules qui font penser à des pizzas sont généreuses et savoureuses, je me suis particulièrement régalé avec le Steeve Jobs (vegan c'est...Plus",50,juillet 2022,FR,"Tino, esto no es una pizzería"
"Proprio qui parle français et très sympathique 
Nous avons pris 4 boules et c'était très bon, bien garni et original 
Tout est fait devant vous à la commande 
Très bon dessert vegan (cookie) 
Nous y retournerons si vous revenons à Barcelone",50,juillet 2022,FR,"Tino, esto no es una pizzería"
"Quelle découverte! Les produits sont frais, savoureux et les TINOS sont très copieux 😋 Des options véganes qui sont également succulentes ! Je recommande et je retournerai à coup sûr! N’oubliez pas de prendre la petite limonade et le dessert oreo, un vrai petit bonheur...Plus",50,juillet 2022,FR,"Tino, esto no es una pizzería"
"Nous nous sommes arrêtés entre amis et le concept est génial! Nous avons super bien mangé, l’accueil était impeccable! Nous y retournerons à coup sûr lors de notre prochain passage à Barcelone!",50,juillet 2022,FR,"Tino, esto no es una pizzería"
"Les Tinos sont excellents et super copieux ! Ils sont tous excellents mais mention spéciale pour celui au pulled pork qui est vraiment incroyable
Le service est rapide et les Tinos restent chaud assez longtemps en take away c'est parfait pour aller manger à la...Plus",50,juillet 2022,FR,"Tino, esto no es una pizzería"
"Très bon concept, chacun mange à sa faim. Nous avons pris 4 et chacune était très bonne avec beaucoup de goût. L’accueil est chaleureux. Belle découverte, je recommande vivement! Edith B",50,juin 2022,FR,"Tino, esto no es una pizzería"
Un endroit cosy et très sympathique pour prendre un brunch copieux concocté avec des produits frais. Personnel chaleureux et aux petits soins.,50,février 2023,FR,Lato Café - Breakfast Brunch y Ceviches
Excellent et service impeccable et souriant! Je recommande sans hésiter pour un petit dej en famille avant une journée de visite!,50,février 2023,FR,Lato Café - Breakfast Brunch y Ceviches
"Le meilleur thé chai 🙂
Tout est Exellent 
Et le personnel super sympa ..
Pour un super brunch , allez y les yeux fermés",50,janvier 2023,FR,Lato Café - Breakfast Brunch y Ceviches
"La nourriture était au top. Le service également, Mlle Julia était super gentille !

Je recommande les yeux fermés ! À refaire !",50,juillet 2022,FR,Lato Café - Breakfast Brunch y Ceviches
"Très bon brunch.
Les produits sont frais et ont du goût. 
L’ambiance est très agréable. 
Une valeur sûre pour le matin ou le midi.",50,juillet 2022,FR,Lato Café - Breakfast Brunch y Ceviches
Excellent restaurant très bon accueil Les œufs bénédictine sont excellents cadre sympa je recommande ce restaurant !,50,juin 2022,FR,Lato Café - Breakfast Brunch y Ceviches
"Genial ,subjugué, les papilles en folie
Nous n avons pas hésité à refaire pas mal de km à pieds pour goûter de nouveaux plats
N hesitez surtout pas
Cadre idyllique et direction/employés adorables",50,mai 2022,FR,Lato Café - Breakfast Brunch y Ceviches
"Accueil agréable, chaleureux, le serveur parle très bien français les plats sont copieux et excellent. Je recommande sans soucis",50,avril 2022,FR,Lato Café - Breakfast Brunch y Ceviches
Brunch d anniversaire en famille avec amis . Mets variés . Dès ceviches excellents. On mange avec les yeux avant de déguster les plats. Le service très agréable merci pour ces bons moments,50,avril 2022,FR,Lato Café - Breakfast Brunch y Ceviches
"Très bon, personnel très agréable, menus originaux et adaptés aux enfants. Accueil très chaleureux, prix attractifs.",50,février 2022,FR,Lato Café - Breakfast Brunch y Ceviches
Nous avons commandé un brunch et on était très satisfaits pour la quantité la qualité. Je raccomande 👌,50,février 2022,FR,Lato Café - Breakfast Brunch y Ceviches
"Avec mon amie on a ADORÉ ! Plat délicieux  et Personnel sympathique, sûre on y retourne. 

Recommandable 100%",50,janvier 2022,FR,Lato Café - Breakfast Brunch y Ceviches
"Très très bon , on ses régalé.
On recommande ++
Bien servi , assiette bien présenter le top du top 
Merci",50,janvier 2022,FR,Lato Café - Breakfast Brunch y Ceviches
"Accueillis par un serveur souriant, prévenant et gentil, mon mari, moi même et nos deux enfants nous sommes régalés. Des produits frais et goûteux composent de superbes assiettes qui ont ravi nos papilles. Des jus de fruits harmonieux et vitaminés nous ont boosté pour toute...Plus",50,juillet 2021,FR,Lato Café - Breakfast Brunch y Ceviches
"Excellent restaurant pour le brunch, tout est bon et beau, le service est irréprochable et peut même être fait en français. Le brunch s’est prolongé jusqu’au repas du midi pour pouvoir goûter pleins de choses, un délice!
Y aller sans hésiter !",50,juin 2021,FR,Lato Café - Breakfast Brunch y Ceviches
"J'y suis allé avec mes amis et j'ai adoré l'endroit. L'idée d'un brunch tropical / andin est géniale! Notre premier choix: les Benedicts (gaufre au yucca, bacon et œufs pochés!) Et les toasts français (ils viennent avec une sauce au tamarin?). Les jus étaient très...bons et le café de spécialité super savoureux et très bien présenté (j'ai un lama sur mon cappuccino?). Le personnel était gentil aussi. Une surprise tout à fait spéciale à Barcelone!Plus",50,octobre 2020,FR,Lato Café - Breakfast Brunch y Ceviches
"J'ai vraiment adoré l'endroit.
Décoration, service, variété des plats tout était excellent.
Rapport qualité / prix aussi, tous les ingrédients sont frais et j'ai adoré la nourriture.
Le propriétaire est super gentil
Vraiment apprécié et reviendra certainement.
PS
Ils ont une belle terrasse à l'extérieur,...donc si vous pensez venir avec votre chien, n'hésitez pas: -)Plus",50,octobre 2020,FR,Lato Café - Breakfast Brunch y Ceviches
