review,rating,date,language,restaurant
Περισσότερα,50,Φεβρουάριος 2023,COM.GR,Faire Brunch & Drinks
,50,Φεβρουάριος 2023,COM.GR,Faire Brunch & Drinks
,50,Ιανουάριος 2023,COM.GR,Faire Brunch & Drinks
Περισσότερα,50,Ιανουάριος 2023,COM.GR,Faire Brunch & Drinks
Περισσότερα,50,Δεκέμβριος 2022,COM.GR,Faire Brunch & Drinks
Περισσότερα,50,Νοέμβριος 2022,COM.GR,Faire Brunch & Drinks
,50,Νοέμβριος 2022,COM.GR,Faire Brunch & Drinks
"Πρόκειται για ενα fast food που ψήνει οκτώ διαφορετικές γευσεις σαν γεμιστή πίτσα αλλα και πολύ διαφορετικό από την πίτσα. Εξαιρετικοί συνδυασμοί, ωραία υλικά, φιλικό περιβάλλον. 
Κατι πολύ διαφορετικό και πολύ νόστιμο για φαγητό στο χέρι.
Αξιζει τουλάχιστον μια επίσκεψη.",40,Δεκέμβριος 2022,COM.GR,"Tino, esto no es una pizzería"
Αν σου αρέσει η πίτσα πρέπει οπωσδήποτε να δοκιμάσεις tino. Πολύ καλής ποιότητας υλικά και φρέσκα πιτάκια. Ανυπομονώ για την επόμενη φορά!,50,Ιούνιος 2022,COM.GR,"Tino, esto no es una pizzería"
Περισσότερα,50,Οκτώβριος 2022,COM.GR,Lato Café - Breakfast Brunch y Ceviches
,50,Οκτώβριος 2022,COM.GR,Lato Café - Breakfast Brunch y Ceviches
Περισσότερα,50,Σεπτέμβριος 2022,COM.GR,Lato Café - Breakfast Brunch y Ceviches
,50,Σεπτέμβριος 2022,COM.GR,Lato Café - Breakfast Brunch y Ceviches
Περισσότερα,50,Αύγουστος 2022,COM.GR,Lato Café - Breakfast Brunch y Ceviches
Περισσότερα,50,Ιούλιος 2022,COM.GR,Cremat Lounge
"Το μέρος ήταν κοντά και είχαν φανταστικό φαγητό και εξαιρετική εξυπηρέτηση. Θα είναι πίσω ελπίζουμε σύντομα, όχι πολύ καλή ποιότητα πίτσα κοντά.",50,Μάρτιος 2020,COM.GR,Dal Presidente Bar
"Τι υπέροχη ομάδα ανθρώπων! Εξετάζοντας το μενού έξω, χαιρετήσαμε αμέσως τη σύζυγο του ιδιοκτήτη, ο οποίος ρώτησε αν είχαμε οποιαδήποτε ερωτήματα σχετικά με το φαγητό. Είχαμε αρκετές ζωντανές συνομιλίες με το προσωπικό, που αποδείχθηκε τόσο αξιομνημόνευτο όσο οι αυθεντικοί ιταλικοί καρφίτσες που μας εξυπηρέτησαν.",50,Ιούλιος 2019,COM.GR,Dal Presidente Bar
Ο ιδιοκτήτης είναι τόσο όμορφος και χαρούμενος που η πίτσα είναι ακόμα καλύτερο που είπε ότι η οικογένεια είναι για την Ιταλία και πρότεινε να δοκιμάσει τα ζυμαρικά αλλά να επιλέξει μια άλλη πίτσα επειδή η γεύση του πρώτου. Το δεύτερο ολοκληρώθηκε! Δοκιμάστε αυτό το...πλασέμποΠερισσότερα,50,Ιούλιος 2019,COM.GR,Dal Presidente Bar
"Η υπηρεσία που λαμβάνετε είναι εξαιρετική, πολύ φιλική και παθιασμένη με τα φαγητά και τα ποτά του.
Είχαμε μια πίτσα για να μοιραστώ και ήταν απίστευτο. Θα συνιστούσε σε όλους. Θα επιστρέψουμε",50,Ιούλιος 2019,COM.GR,Dal Presidente Bar
"Hola la comida era muy bien. Η περίοδος της πίτσας είναι τέλεια και η καφετέρια είναι μαραβιλόσο. Σήμερα, τα δίκτυα και τα λιμάνια είναι ελεύθερα.
Η υπηρεσία είναι μεγάλη και το ζευγάρι που τρέχει το εστιατόριο είναι πολύ καλό.

Θα έρθουμε και πάλι εδώ",50,Ιούνιος 2019,COM.GR,Dal Presidente Bar
"Εκτελείται από ένα υπέροχο ιταλικό ζευγάρι Alessio και Carol. Πολύ φιλική εξυπηρέτηση, εξαιρετικό φαγητό, ειδικά η romana πίτσας και ο καλύτερος ιταλικός καφές στην πόλη! Έχουν επίσης μια μεγάλη επιλογή μπύρας. Εάν βρίσκεστε στην περιοχή σίγουρα ελέγξτε αυτό το μέρος έξω!",50,Ιούνιος 2019,COM.GR,Dal Presidente Bar
