review,rating,date,language,restaurant
"Had a wonderful meal here! The best bit was the service! Really friendly guy! Had a great night! Food was lovely, not a massive menu, but had chicken, beef or pulled pork burgers which were lovely! And we tried the chicken wings which were also...delicious! It’s very small so does not always have room! But give it a go!More",50,February 2023,IN,La Gastronomica Burgers
"Incredible burgers. The different kinds of meat were sooo juicy, the local sauces were just special. Everything was neat to the last detail. But the best thing was the friendly staff and their recommendations.",50,February 2023,IN,La Gastronomica Burgers
"Nice burgers in a small setting (roughly a dozen seats inside and a half dozen outside).  Burgers are taste good and are pretty good size (180 g); they come with french fries.  The beer on tap was also good (Alhambra).  Waiter was friendly and good....If you need a burger, I can recommend it -- note prices are those of a high end burger joint.More",40,February 2023,IN,La Gastronomica Burgers
"I'we had lot of burgers in my lifetime (and have even been flipping them myself). And I have to say that the burgers in La Gastronomica were not among the best. They were just... fine. Maybe I had too high hopes because of the high...ratings.

The place itself was small and suitable for a fast eat.More",30,February 2023,IN,La Gastronomica Burgers
"Good option if you are looking for a quality hamburger in the heart of the city. I really liked the bread, and you could tell that the ingredients were very fresh. If you're hungry and in the mood for a good burger, this is your...place. The site looked clean and tidy!More",50,February 2023,IN,La Gastronomica Burgers
"Fantastic burger and excellent service. I recommend trying the habanero chilli sauce.
I went for dinner with family and friends. The guy serving us was really nice.",50,February 2023,IN,La Gastronomica Burgers
"This burger was simple amazing! It’s one of the best we’ve had! We had the BBQ Bacon Cheese and it was cooked to perfection! It wasn’t greasy and the best bit, it had just what was ordered (so not hot lettuce or soggy tomato!). Really...good value for money!

We also had the reasonably priced desserts, the almond cake and the chocolate fondant. Again, absolutely delicious! 

The service by the waiter was considerate and very helpful, we felt at ease with him straightaway and he offered good recommendations!

We cannot recommend a visit to this place enough!More",50,February 2023,IN,La Gastronomica Burgers
one of the best burgers I've ever had. Great meat and lot of various flavours. We have taken BBq and pulled pork burger and both were delicious!,50,February 2023,IN,La Gastronomica Burgers
"We ordered the basic cheeseburger and the bacon cheeseburger. Both were excellent especially when you’ve eaten too much tapas and want something familiar and hearty: The service was personal, waiting staff who spoke fluent English took the time to explain each burger properly. Excellent.",50,February 2023,IN,La Gastronomica Burgers
A very cool and cosy burger joint. Absolutely delicious sandwiches. A must try for burger lovers. Only walk-in no reservations due to the size of the place. Extremely friendly staff. Truly enjoyed it.,50,January 2023,IN,La Gastronomica Burgers
"I really recommend this place. The burgers were amazing, staff was really friendly and happy to help and the atmosphere was really nice as well. Wish it could be a little bit bigger.",50,January 2023,IN,La Gastronomica Burgers
"Joel! What an impression you made on us, your English was brilliant and you was very welcoming and friendly. 

We looked for suggestions on where to eat before coming to Barca and this was at the top and for what someone might call - a...burger connoisseur, I had to stop by. 

Honestly if you want something different, I really recommend the Pulled Pork burger, Joel informed us of the great preparation that the pork goes through and I read through some other reviews after ordering it, I agree with them that it was THE BEST PULLED PORK BURGER IVE EVER HAD. So juicy, fresh, delicious and different. Most places load pulled pork on top of a beef burger but this was purely just pulled pork and you will not be disappointed. 

The burgers come with fries which are fresh, taste great and are not too heavy. 

The atmosphere was nice, the interior designing was cool and a unique place to be. If I find myself in Barca again and fancying a burger, I won’t hesitate to come back. Thanks Joel.More",50,January 2023,IN,La Gastronomica Burgers
"The food was out of this world (to quote my partner). Honestly it was THAT GOOD. I haven’t even left yet at the time of writing this review. 

Honestly, I wish we hadn’t had lunch earlier today, my partner couldn’t eat all of hers and...we both felt bad leaving any on the plate. 

I had a BBQ Bacon Burger and my partner had the Pulled Pork. The food couldn’t have been better. 

The restaurant has a lovely friendly chilled out vibe and serves a range of beers and soft drinks. But the food is honestly to die for. If I came back to Barcelona again, I would definitely re-visit. I only wish I had left time on this trip to check out their other restaurant! 

Wow. Try it. A minimalist menu, cooked to perfection at a very reasonable price. 5/5!More",50,January 2023,IN,La Gastronomica Burgers
"Everything was cooked to perfection. Amazing atmosphere in a cosy restaurant. The burgers were cooking flawlessly. The meat was juicy and succulent. And don’t even get me started about the habanero mayo, words  cannot describe. the flavors were melting on my tongue.  And JUST when...you think nothing can get better there comes Joel. My knight in shining amour, what a man. I tipped him 20% and felt like I did a disservice doing so as his service was as worth way more. This was our last meal in Barcelona, a meal we will never forget. Joel, I miss you I hope to see u againMore",50,December 2022,IN,La Gastronomica Burgers
The food here is amazing! My husband had the blue cheese burger and I had the pulled pork. It was the BEST pulled pork I’ve ever had. Different then American pulled pork and BETTER. The service was excellent! Joel was such a great server and...help!More,50,January 2023,IN,La Gastronomica Burgers
"Unusual and delicious combinations of tastes. Well worth a visit!
While making our reservation we didn't realize all dishes were vegetarian or vegan. That was a pleasant surprise for us flexitarians. Yet even for those that typically are wary of meatless dishes - the flavors...are so rich and balanced you don't even realize there is none inside.More",50,February 2023,IN,Desoriente
I really tasteful selection of tapas! Interesting sushis  and very friendly service :) Would go again. Love that it’s vegan.,40,February 2023,IN,Desoriente
"Excellent original food, friendly and attentive service and good value for money! Try the Oishi broccoli - to die for. We will come back.",50,February 2023,IN,Desoriente
"My wife and I had a delicious dinner here. The broccoli starter is incredible, and we really enjoyed the edamame croquettes and the ramen.",50,February 2023,IN,Desoriente
"The best of the best. Service and food amazing ♥️
All the starters menu were insane
Will come back for sure",50,February 2023,IN,Desoriente
"I am not vegan yet and this was absolutely mind blowing. The broccoli is out of this world, totally order this! Also the foie sushi, absolutely delicious. 100% coming back next week :) thank you!",50,February 2023,IN,Desoriente
Great vegan food! We had the broccoli which was incredible and can’t wait to come back to try the rest of the  sushi!,50,February 2023,IN,Desoriente
The food was absolutely delicious and the cocktails were incredible. The service was also impeccable,50,February 2023,IN,Desoriente
Amazing food and very good customer service. All dishes we have tried were incredibly tasty. Definitely the best vegan sushi we have ever tried.,50,February 2023,IN,Desoriente
Very tasty even for non vegan people. Also the cocktails are delicious. The waiter suggested some dishes to choose from.,50,February 2023,IN,Desoriente
"Having read all the good reviews we decided to give this place a try. My son hadn’t realised it was mainly vegan food but very much enjoyed the “meat” in his rock and roll sushi. My jackfruit burger was also good. We unfortunately had a...very long wait due to a mixup with our order, and would have only given four stars, but (despite us not having complained about the wait) the chef proactively offered us free desserts so they get the extra star back for great customer service.More",50,February 2023,IN,Desoriente
"FOOD , EXPERIENCE and SERVICE !! great place to eat and great location to visit. God save Desoriente!",50,January 2023,IN,Desoriente
"We had a fantastic evening, service was great, all the team were super friendly! 
Every dish we had was delicious, made with love and well thought out. I wish we lived nearer as we’ll be thinking about those spring rolls forever! You have to try...the snickers too!More",50,January 2023,IN,Desoriente
"Great food, we ate vegan ramen and sushi and it was delicious. Kind service and they are dog friendly:)",50,January 2023,IN,Desoriente
"I was looking for a ""comfy"" place to have dinner with some friends and came across this one. Loved the decoration and atmosphere and our waiter was super friendly. We ordered some starters to share and everyone had a main course. I can highly recommend...the wasabi croquettes and Oishi Broccoli - amazing dishes. 
I like the fact that they only have 3 main dishes to choose from (but if you're a bit picky with food as I am, that might be too little). My friend had Sushi, which was nice but as it's a big amount, it was a little too much of the same taste for her. The Ramen was apparently really good and the Bao was ok. I had the Pad Sa Thai and as I already had a lot of ""peanut"" taste in all other dishes, it was a little too much.
Nonetheless, I def recommend this place. Friendly staff, interesting drinks, amazing starters and good main dishes.More",40,January 2023,IN,Desoriente
"We visited two times during our stay in Barcelona and enjoyed delicious risotto, pastas, and Antipasti:) The service was great and especially the seafood risotto was excellent!! Would highly recommend. 
모든 음식이 맛있었지만 특히 해산물 리조또가 매우 맛있었어요! 샐러드랑 같아 시키면 나오는 포카치아 빵도 정말...맛있어요!More",50,February 2023,IN,BelleBuon
"Very good vegan option near Modernista. Lots of choices for veg.. pizaa, pasta, risotto. Waiters were very knowledgeable and on feet to suggest items they prepare best for taste of the clients.",50,February 2023,IN,BelleBuon
"We’d read many reviews about the quality of the food and the service and it certainly lived up to expectations. Such a friendly, welcoming place with excellent and knowledgeable staff. The fresh home made pasta is something else. I had the classic lasagna and it...emwas fabulous! A must visit.More",50,February 2023,IN,BelleBuon
"The best Tagliatelle con porcini, crema de parmigiano e tartufo nero fresco I’ve eaten in my hole life! Tiramisu also amaizing! I recommend it to all the Italian lovers cuisine!",50,February 2023,IN,BelleBuon
Superb food!  Wonderful service. Great value. Make a reservation. Try one of the many lasagnas or fresh pastas. And try the sangria.,50,February 2023,IN,BelleBuon
"My husband requested Italian food for his 83rd birthday and Wow! He got it.  Our first visit after many recommended it and we were not disappointed.  Good thing we reserved- the restaurant was packed but not noisy.  People were busy eating.  I had the spinach...lasagna- which was excellent- just a hint of nutmeg in the spinach and yummy cheese topping.  My husband had the tagliatelle with mushroom and truffle.  I think it was the best dish of the night.  Our son ordered a pizza which was good but he said he’s had better but a generous portion.  Our daughter in law also had lasagna but with mushrooms.  I liked hers best.  We split a generous Caprese salad sadly lacking in basil but the amazing tiramisu made up for that.  Very pleasant server and the owner came to the table several times to see how we liked everything. Except that we were a bit cold being close to the front door on a freezing night, a perfect celebration.More",50,January 2023,IN,BelleBuon
"Growing up in NY, my wife and I know Italian food. This is awesome Italian food! Epic. Little Italy, Godfather, Rome. And the owner is a trip. Engaging, fun and playful making excellent wine recommendations with ample tastings. The burrata was unbelievable. My wife loved...her pumpkin ravioli. as did I. I savored every bite of my lasagna and reluctantly shared it. I can still taste it. It is the standard for all lasagnas to come. Definitely worth the trip.More",50,December 2022,IN,BelleBuon
"Not only the food is amazing, and of excellent quality, but the service is impeccable…this is the best Italian restaurant in the whole city",50,December 2022,IN,BelleBuon
"A piece of Italy in the middle of Barcelona, excellent food and incredible service, do not miss it if you come to the city!",50,December 2022,IN,BelleBuon
"One not to be missed. Cosy, friendly restaurant with the best authentic Italian food. We cancelled another restaurant for the following evening so that we could eat here again! Can’t wait to return.",50,December 2021,IN,BelleBuon
"The experience in this restaurant was very good. The menu is big, the food is fresh and delicious. The staff is very friendly, helpful and professional. The portions are large and the wine is good. Really enjoyed lasagna with porcini mushrooms and truffle. 
The only...thing is that place is so popular that you need to book it in advance but it's so worth it.More",50,November 2022,IN,BelleBuon
"Absolutely amazing meal. I chose this based on the Tripadvisor reviews, and didn’t book as I didn’t think it would be too busy at 7pm. I dragged my reluctant family up there amidst much moaning and we arrived just as they opened up. All the...tables inside the restaurant were booked and we were lucky enough to snag one of the three tables in a gazebo outside. 

The waiting staff gave us good tips and we ended up sharing the best bruschetta I’ve ever tasted and an incredible tagliatelle with mushrooms and fresh truffle as a starter. My mum was steered to have her carbonara made with fresh pasta, I chose gnocchi with Parmesan cream and truffle and my daughter chose the mushroom lasagne. All three mains were delicious but the mushroom lasagne was simply incredible. 

My family have apologised for doubting me and agree that it was well worth going a bit out of our way for such an amazing meal.More",50,November 2022,IN,BelleBuon
