review,rating,date,language,restaurant
"모든 음식이 맛있습니다. 그중에 Boneless Beef Chuck flap ta...il은 육즙이 살아 있는게
단연 최고였습니다. 그리고, 돼지고기는 9시간 조리를 해서 그런지 정말 부드러웠습니다. 2가지 매뉴 추천드립니다더 보기",50,2019년 12월,CO.KR,La Gastronomica Burgers
"가게는 아담하지만 직원들도 친절하고 음식들도 다른데서 찾기 힘든 종류랄까요? 처음...접해보는 음식이었는데 거부감 없이 아주맛있었어요!!
문어 연어 고기 모두 추천합니다더 보기",50,2019년 9월,CO.KR,La Gastronomica Burgers
"시킨 네가지 요리 (생선, 포크립, 문어, 하몽타파스) 모두 최고인데 그 중 가장... 맛있는 것은 생선요리였어요. 담백하면서 부드러운 치즈와 토마토 소스의 조화는 최고입니다!더 보기",50,2019년 4월,CO.KR,La Gastronomica Burgers
"리뷰보고 갔는데 생선, 고기 모두 맛있어요.
띤또는 그동안 마셔본것중 최고네요.
...다만 가지나 포크립 소스는 조금 짰어요
그리고 자리가 얼마 없습니다더 보기",40,2019년 1월,CO.KR,La Gastronomica Burgers
"두번이나 방문하게된 이곳은 숙소 근처에서 저녁을 먹으려 하다가 방문했다. 
누구나... 다 아는 맛집이 아님 내가 아는 맛집을 찾는 것 같았고 모든 음식들은 호로록 넘어갈 정도로 맛있었다!!!! 첫 방문날 너무 배가고파서 여러개 시키려는 나에게 너무 많다고 제지해준 직원에게 너무 고맙다ㅋㅋㅋ
포크 립과 타파스하나로 너무 충분했고 서비스와 음식 맛에 너무나 만족을 느낀나는 다음날도 또 가게되었다!
다음에 바르셀로나를 들린다면 제일 먼저 이곳에서 식사를 할 것이다></더 보기",50,2019년 1월,CO.KR,La Gastronomica Burgers
"아주 좋았습니다. 음식도 맛이 있었고 종업원들도 매우 친절했습니다.관광객보다는 현...지인이 많은 집으로 떠들썩하고 편안한 분위기입니다. 음식 나올때마다 먹는 방법도 하나하나 알려주시고 관광객인것을 알고 더 배려해주는 느낌이었어요. 
하몽도 짜지않고 맛있고 pork rib도 입맛에 잘맞았습니다. 추천합니다~~~!!!!더 보기",50,2018년 11월,CO.KR,La Gastronomica Burgers
순위도 높고 호텔근처라서 방문했는데 총 안주 3개와 와인을 시켰습니다. 안주는 추...천해달라고 했는데 대부분 고기류로 추천해줬고 고기 2개에 생선 하나 시켰는데 고기하나는 우리엄마가 실패한 갈비찜 맛이 났습니다. 갑자기 엄마생각이 나더라고요. 이렇게 유명한 음식점에서 엄마의 갈비찜 맛이 난다고 말해주고 싶었어요. 나머지 안주는 맛있었고 나중에 안 사실인데 여기 해산물이 유명하더라고요. 망할 종업원. 근데 여기서 인생 와인을 만났습니다. 추천와인이었는데(망할 종업원 취소) 너무 맛있어서 한국와서도 찾았는데 없더라고요. 어쨌든 추천합니다!더 보기,50,2018년 5월,CO.KR,La Gastronomica Burgers
"문어와 구운 계란 라몬 이베 리코
디저트 치즈 무스는 좋은 선택입니다
독창적 인 가구가있는 매우 특별한 장소.
직원들은 매우 친절합니다
우리는 명령",50,2020년 3월,CO.KR,La Gastronomica Burgers
"정말 훌륭한 음식, 친절한 서비스 및 전혀 비싸지 않습니다! 식당은 크지 않기 때문에 일찍 오시는 것이 좋습니다.더 보기",50,2020년 2월,CO.KR,La Gastronomica Burgers
Tripadvisor는 우리를 여기에 데려 갔다. 그리고 그것은 정말로 가치가 있었다! 작은 메뉴이지만 우리는 거의 모든 것을 시도했고 정말 맛있었습니다!더 보기,50,2020년 1월,CO.KR,La Gastronomica Burgers
"sous-vide 방법으로 요리 한 나쁜 음식은 아니지만 갈비뼈는 지방이 많았습니다. 부분은 작지만 웨이터는 앞에서 설명했다.
우리의 평가 가격 / 품질은 5 중 3입니다.더 보기",30,2020년 1월,CO.KR,La Gastronomica Burgers
"이 얼마나 멋진 식사. 직원들은 훌륭하고 지식이 풍부하며 친절합니다. 음식은 바르셀로나 최고의 음식 중 하나입니다.
나는 La Gastronomica가 그것을 검토 할 필요가 있다고 생각하지 않는다. 그러나 팁을 위해 동전을 가져가는 것을 잊어 버렸다. 그래서 나는 정직한 리뷰를 할 수 없었다.",50,2019년 7월,CO.KR,La Gastronomica Burgers
"훌륭한 직원이있는 멋진 레스토랑, 레스토랑은 아주 작지만 친절하고 분위기가 좋습니다. 공정하게 가격이 책정 된 좋은 음식은 기꺼이 권할 것입니다.",50,2019년 7월,CO.KR,La Gastronomica Burgers
"우리는 TA를 경유하여이 장소를 발견했다. 그리고 우리가 처음 구경했을 때. 우리에게는 짧은 시간이 있었다. 그러나 돼지 갈비는 매우 맛이 좋았다. 우리는 그 다음날 되돌아 왔고, 2 시간 이상 머물렀다. 음식의 나머지는 또한 매우 맛이 좋았다. 그리고 나는 확실히 안심 스테이크 (그것은 오늘의 전문이었다)를 추천 할...텐데. 서비스는 정말로 멋졌고 빠르다. 서버는 매우 친절했고 우리가 원하는 테이블을 얻는 데 도움이되는 날을 기억했습니다.더 보기",50,2019년 7월,CO.KR,La Gastronomica Burgers
