review,rating,date,language,restaurant
Mais,50,fevereiro de 2023,PT,Faire Brunch & Drinks
,50,fevereiro de 2023,PT,Faire Brunch & Drinks
,50,janeiro de 2023,PT,Faire Brunch & Drinks
Mais,50,janeiro de 2023,PT,Faire Brunch & Drinks
Mais,50,dezembro de 2022,PT,Faire Brunch & Drinks
Mais,50,novembro de 2022,PT,Faire Brunch & Drinks
,50,novembro de 2022,PT,Faire Brunch & Drinks
"Pedimos uma box com Tinos: Chicky Pesto, Pull Fiction, Tacotino e Tarantino. Estavam todos ótimos! Tarantino é incrivel! Comemos também o cheesecake de limão com crumble que surpreendeu pela positiva, com um toque caramelizado. De salientar a simpatia do staff, muito prestáveis. Preço muito em...conta comparativamente a outros lugares. Uma experiência a repetir sem dúvida alguma!Mais",50,fevereiro de 2022,PT,"Tino, esto no es una pizzería"
"Excelente produto 
Recomendo a todos! 
A comida chegou com ótima qualidade e o produto e dos melhores que já provei!
Muito bom mesmo",50,janeiro de 2022,PT,"Tino, esto no es una pizzería"
"Fui com meus amigos e adorei o lugar. A ideia de um brunch Tropical / Andino é genial! Nossa primeira escolha: os Benedicts (waffle de mandioca, bacon e ovos pochê!) E as torradas francesas (eles vêm com molho de tamarindo?). Os sucos eram muito bons...e os cafés especiais super saborosos e muito bem apresentados (ganhei lhama no meu cappuccino?). O pessoal foi bom também. Uma surpresa muito especial em Barcelona!Mais",50,outubro de 2020,PT,Lato Café - Breakfast Brunch y Ceviches
"Eu realmente amei o lugar.
Decoração, serviço, variedade de pratos, tudo foi excelente.
Valor para o seu dinheiro também, todos os ingredientes são frescos e eu amei a comida.
Dono são super legais
Gostei muito e com certeza voltarei.
PS
Eles têm um belo terraço...externo, então se você pensa em vir com seu cachorro, fique à vontade: -)Mais",50,outubro de 2020,PT,Lato Café - Breakfast Brunch y Ceviches
"Um lugar muito agradável e o pessoal é muito amigável. As ""panquecas clássicas"" são muito saborosas! Você precisa experimentá-los. Também tem uma grande variedade de pratos sem glúten e sem lactose. Sexta e sábado é noite de ceviche e coquetéis. O Pisco sour era tão...bom. Um restaurante muito simpático que não pode deixar de visitar!Mais",50,setembro de 2020,PT,Lato Café - Breakfast Brunch y Ceviches
Mais,50,outubro de 2022,PT,Cremat Lounge
Mais,50,setembro de 2022,PT,Cremat Lounge
Mais,50,agosto de 2022,PT,Cremat Lounge
Mais,50,julho de 2022,PT,Cremat Lounge
"O bar esta perfeito para estar com a sua namorada tranquila e poder comunicarse, o dono muito gente boa nos ajudou com muitas informacoes da cidade, e tem uns funcionarios muitos respeituosos que podem te ajudar em muitas coisas.",50,fevereiro de 2020,PT,Dal Presidente Bar
